Pransa_no	Adhyaya_no	Kandika_no	Text_no	Hymn
1	2	3	13	The girdles (shall consist of a rope) made of Muñga grass, a bow-string, (or a rope) made of hemp.
1	2	3	14	The skins (shall be) those of a black antelope, of a spotted deer, (or) of a he-goat.
1	2	3	15	The staff shall reach the crown of the head, the forehead, (or) the tip of the nose, (and be made) of a tree fit for a sacrifice. The details have been stated above.
1	2	3	16	Let him beg, (employing a formula) consisting of seven syllables, with the word bhavat in the beginning, with the word bhikshâ in the middle, and with the (verb expressing) the request at the end; and let him not pronounce loudly (the syllables) kshâ and hi.
1	2	3	17	A Brâhmana (student) shall ask for alms, placing (the word) 'Lady' first, a Kshatriya placing it in the middle, (and) a Vaisya placing it at the end (of the formula), from (men of) all castes.
1	2	3	18	The (persons fit to be asked) are Brâhmanas and so forth, who follow (their lawful) occupations.
1	2	3	19	Let him daily fetch fuel out of the forest and offer (it in the sacred fire).
1	2	3	20	(A student shall be) truthful, modest, and devoid of pride.
1	2	3	21	He shall rise before (his teacher in the morning) and go to rest after (him in the evening).
1	2	3	22	He shall never disobey the words of his teacher except (when he is ordered to commit) a crime causing loss of caste.
1	2	3	23	Let him converse with women so much (only) as his purpose requires.
1	2	3	24	Let him avoid dancing, singing, playing musical instruments, the use of perfumes, garlands, shoes, (or) a parasol, applying collyrium (to his eyes), and anointing (his body).
1	2	3	25	Let him take hold (of his teacher's) right (foot) with the right (hand), and of the left (foot) with the left hand.
1	2	3	26	If he desires long life and (bliss in) heaven, (he may act) at his pleasure (in the same manner) towards other holy (men), after having received permission from his teacher.
1	2	3	27	(Let him say), 'I N. N., ho! (salute thee),' touching his ears, in order to compose the internal organ.
1	2	3	28	(Let him embrace his teacher's leg) below the knee down to the feet.
1	2	3	29	(A student shall not embrace his teacher) when he (himself) is seated, or lying down, or impure, nor when (his teacher) is seated, lying down, or impure.
1	2	3	30	If he can (find water to sip), he shall not remain impure even during a muhûrta.
1	2	3	31	If he carries a load of fuel or holds a pot, flowers, or food in his hands, he shall not salute; nor (shall he do it) on similar occasions.
1	2	3	32	Let him not salute (the teacher) standing too close,
1	2	3	33	Nor, if he has reached the age of puberty, the young wives of brothers and the young wives of the teacher.
1	2	3	34	To sit together with (these persons) in a boat, on a rock, on a plank, on an elephant, on the roof of a house, on a mat, or in wheeled vehicles is permissible.
1	2	3	35	(The pupil) must assist his teacher in making his toilet, shampoo him, attend him while bathing, eat his leavings, and so forth.
1	2	3	36	(But he) should avoid the remnants of food left by his (teacher's) son, though he may know the Veda together with the Aṅgas,
1	2	3	37	And to assist at the toilet of, to shampoo, to attend in the bath, and to eat the remnants of food left by a young wife of his (teacher).
1	2	3	38	Let him run after (his teacher) when he runs, walk after him when he walks, attend him standing when he stands.
1	2	3	39	Let him not sport in the water while bathing.
1	2	3	40	Let him swim (motionless) like a stick.
1	2	3	41	To study under a non-Brâhmanical teacher (is permitted) in times of distress.
1	2	3	42	(The pupil shall) obey and walk after him as long as the instruction (lasts).
1	2	3	43	(According to some this is improper, because) just that (mutual relation) sanctifies both of them.
1	2	3	44	And (the behaviour) towards brothers, sons, and (other) pupils (of the teacher shall be regulated) in the same manner.
1	2	3	45	But officiating priests, a father-in-law, paternal and maternal uncles who are younger than (oneself must be honoured by) rising and (by being) addressed.
1	2	3	46	Kâtya (declares that) the salutation shall be returned.
1	2	3	47	For (the propriety of that rule) is apparent (from the story) about Sisu Âṅgirasa.
1	2	4	1	If merit and wealth are not (obtained by teaching), nor (at least) the due obedience, one should die with one's learning; one should not sow it on barren soil.
1	2	4	2	As fire consumes dry grass, even so the Veda, asked for, (but) not honoured, (destroys the enquirer). Therefore let him not proclaim the Veda to those who do not show him honour according to their ability.
1	2	4	3	They proclaim to him a command to the following effect;
1	2	4	4	'Brahman, forsooth, made the created beings over to Death. The student alone it did not make over to him.' He (Death) spake, 'Let me have a share in him.' (Brahman answered), 'That night in which he may neglect to offer a piece of sacred fuel (shall belong to thee),'
1	2	4	5	'Therefore a student who passes a night without offering a piece of sacred fuel, cuts it off from the length of his life, Therefore let the student offer a piece of sacred fuel, lest he spend a night, shortening his life.'
1	2	4	6	'A long sacrificial session begins he who commences his studentship. That (night) in which, after being initiated, he (first) offers a piece of sacred fuel corresponds to the Prâyanîya (Atirâtra of a sacrificial session); that night in which (he offers it last), intending to take the final bath, corresponds to the Udayanîya (Atirâtra), Those nights which (lie) between (these two terms correspond) just to the nights of his sacrificial session.'
1	2	4	7	'A Brâhmana who becomes a student of the Veda, enters existent beings in a fourfold manner, (viz.) with one quarter (he enters) Fire, with one quarter Death, with one quarter the Teacher, the fourth quarter remains in the Soul. When he offers to Fire a piece of sacred fuel, he thereby buys back even that quarter which (resides) in Fire, hallowing it, he places it in himself; that enters into him. Now when making himself poor and, becoming shameless, he asks for alms (and) lives as a student of the Veda, he thereby buys back the quarter which (resides) in Death; hallowing it, he places it in himself; that enters into him. Now when he obeys the orders of his Teacher, he thereby buys back that quarter which (resides) in the Teacher; hallowing it, he places it in himself; that enters into him. [Now when he recites the Veda, he thereby buys back the quarter which resides in the Soul. Hallowing it, he places it in himself; that enters into him.] Let him not go to beg, after he has bathed (on finishing his studentship). . . . If he does not find another woman whom he can ask for alms,, let him beg even from his own teacher's wife or from his own mother. The seventh (night) shall not pass without his asking for alms. [(He commits) sin if he does not go out to ask for alms and does not place fuel on the fire. If he neglects that during seven (days and) nights, he must perform the penance prescribed for one who has broken the vow of studentship.] All the Vedas come to him who knows that and acts thus.'
1	2	4	8	'As a blazing fire shines, even so shines he who, knowing this, thus fulfils the duties of studentship, after he has bathed (on leaving his teacher).' Thus speaks the Brâhmana.
1	3	5	1	Now (follow the duties) of a Snâtaka.
1	3	5	2	He shall wear a lower garment and upper garment.
1	3	5	3	Let him carry a staff made of bamboo,
1	3	5	4	And a pot filled with water.
1	3	5	5	Let him wear two sacrificial threads.
1	3	5	6	(He shall possess) a turban, an upper garment (consisting of) a skin, shoes, and a parasol. (He shall keep) a sacred fire and (offer) the new and full moon (Sthâlîpâkas).
1	3	5	7	He shall cause the hair of his head, of his beard, and of his body, and his nails to be cut on the Parva days.
1	3	5	8	His livelihood (he shall obtain in the following manner):
1	3	5	9	Let him beg uncooked (food) from Brâhmanas, Kshatriyas, Vaisyas, or carpenters,
1	3	5	10	Or (cooked) food (even from many).
1	3	5	11	Let him remain silent (when he goes to beg).
1	3	5	12	Let him perform with that all Pâkayagñas, offered to the gods and manes, and the rites, securing welfare.
1	3	5	13	Baudhâyana declares that by (following) this rule the most excellent sages reach the highest abode of Pragâpati Parameshthin.
1	4	6	1	Now (those who know the law) prescribe the carrying of a waterpot.
1	4	6	2	It is declared (in the Vedas) that fire (resides) in the right ear of a goat, in the right hand of a Brâhmana, likewise in water (and) in a bundle of Kusa grass. Therefore after personal purification let him wipe (his water-vessel) on all sides with his (right) hand, (reciting the mantra), 'Blaze up, O fire;' for that (is called) encircling it with fire and is preferable to heating (the pot on the fire).
1	4	6	3	With reference to this matter they prescribe also (the following rules): 'If he thinks in his heart that (the pot) has been slightly defiled, let him light Kusa or (other) grass and heat (the pot) on all sides, keeping his right hand turned towards it.'
1	4	6	4	'If (pots) have been touched by crows, dogs, or other (unclean animals, they shall be heated, until they are of) the colour of fire, after the (paryagnikarana has been performed).'
1	4	6	5	(Pots) which have been defiled by urine, ordure, blood, semen, and the like must be thrown away.
1	4	6	6	If his waterpot has been broken, let him offer one hundred (oblations) reciting the Vyâhritis, or mutter (the Vyâhritis as often).
1	4	6	7	(Reciting the text), 'Earth went to earth, the mother joined the mother; may we have sons and cattle; may he who hates us be destroyed,' he shall collect the fragments, throw them into water, repeat the Gâyatrî at least ten times and take again another (pot).
1	4	6	8	Taking refuge with Varuna, (he shall recite the mantra), 'That (belongs) to thee, Varuna; again to me, Om,' (and) meditate on the indestructible.
1	4	6	9	'If he has received (the new vessel) from a Sûdra, let him recite (the Gâyatrî) one hundred (times). (If he has received it) from a Vaisya, fifty (repetitions of the Gâyatrî) are prescribed, but (on receiving it) from a Kshatriya twenty-five, (and on taking it) from a Brâhmana ten.'
1	4	6	10	Those who recite the Veda are doubtful whether he shall fetch water after the sun has, set or shall not fetch it.
1	4	6	11	The most excellent (opinion is) that he may fetch it.
1	4	6	12	Let him restrain his breath, while he fetches water.
1	4	6	13	Fire, forsooth, takes up water.
1	4	6	14	It is declared (in the Veda), 'When he has washed his hands and feet with water from his water-vessel, he is impure for others, as long as the moisture (remains). He purifies himself only. Let him not perform other religious rites (with water from his pot).'
1	4	6	15	Baudhâyana (says), 'Or if on the occasion of each personal purification (he washes himself with other water) up to the wrist, (he will become) pure.'
1	4	6	16	Now they quote also (the following verses):
1	4	7	1	'Formerly (the use of) a waterpot has been prescribed by Brahman and the chief sages for the purification of twice-born men. Therefore he shall always carry one.' 'He who desires his own welfare, shall use it without hesitation, for purifying (his person), for drinking, and for performing his twilight devotions.'
1	4	7	2	Let him do it with a believing heart; a wise man must not corrupt his mind. The self-existent [paragraph continues] (Brahman) came into existence with a water-vessel. Therefore let him perform (his rites) with a water-vessel.
1	4	7	3	Let him hold it in his right hand when he voids urine and excrements, in the left when he sips water. That is (a) settled (rule) for all good men.
1	4	7	4	For as the sacrificial cusp (kamasa) is declared to be pure on account of its contact with the Soma-juice, even so the water-vessel is constantly pure through its contact with water.
1	4	7	5	Therefore let him avoid (to use) it for the worship of the manes, the gods, and the fire.
1	4	7	6	Therefore let him not go on a journey without a waterpot, nor to the boundary of the village, nor from one house to the other.
1	4	7	7	Some (declare that he must not go without it) a step further than the length of an arrow.
1	4	7	8	Baudhâyana (says that he shall not go without it) if he wishes to fulfil his duties constantly.
1	4	7	9	(The divine) Word declares that (this is con-firmed) by a Rik-shaped (passage).
1	5	8	1	Now (follows the description of) the means of purification.
1	5	8	2	The body is purified by water, the understanding by knowledge, the soul by abstention from injuring living beings, the internal organ by truth.
1	5	8	3	Purifying the internal organ (is called) internal purification.
1	5	8	4	We will explain (the rules of) external purification.
1	5	8	5	The sacrificial thread (shall be made) of Kusa grass, or cotton, (and consist) of thrice three strings.
1	5	8	6	(It shall hang down) to the navel.
1	5	8	7	(In putting it on) he shall raise the right arm, lower the left, and lower the head.
1	5	8	8	The contrary (is done at sacrifices) to the manes.
1	5	8	9	(If the thread is) suspended round the neck, (it is called) nivîta.
1	5	8	10	(If it is) suspended below (the navel, it is called) adhopavîta.
1	5	8	11	Let him perform (the rite of personal) purification, facing the east or the north, (and) seated in a pure place; (let him) place his right arm between his knees and wash both hands up to the wrist and both feet (up to the ankles).
1	5	8	12	Let him not use for sipping the remainder of the water with which he has washed his feet.
1	5	8	13	But if he uses (that) for sipping, let him do it, after pouring (a portion of it) on the ground.
1	5	8	14	He shall sip out of the Tîrtha sacred to Brahman.
1	5	8	15	The part (of the hand) at the root of the thumb (is called) the Tîrtha sacred to Brahman.
1	5	8	16	The part above the thumb (is called the Tîrtha) sacred to the manes, the part at the tips of the fingers that sacred to the gods, the part at the root of the fingers that sacred to the Rishis.
1	5	8	17	(Let him not use for sipping water that has trickled) from the fingers, nor (water) that is covered with bubbles or foam, nor (water that is) hot, or alkaline, or salt, or muddy, or discoloured, or has a bad smell or taste.
1	5	8	18	(Let him not sip water) laughing, nor talking, nor standing, nor looking about, nor bending his head or his body forward, nor while the lock on his crown is untied, nor while his throat is wrapped up, nor while his head is covered, nor when he is in a hurry, nor without wearing the sacrificial thread, nor stretching his feet out, nor while his loins are girt (with a cloth), nor without holding his right arm between his knees, nor making a sound.
1	5	8	19	Let him thrice drink water that reaches his heart.
1	5	8	20	Let him wipe (his lips) thrice.
1	5	8	21	Some (declare that he shall do it) twice.
1	5	8	22	A woman and a Sûdra (shall perform) both (acts) once (only).
1	5	8	23	Now they quote also (the following verse): A Brâhmana is purified by water that reaches his heart, a Kshatriya by (water) reaching his throat, a Vaisya by (water barely) taken into the mouth, a woman and a Sûdra by touching (it) with the extremity (of the lips).
1	5	8	24	'If (drops) adhere to his teeth, (they must be considered pure) like the teeth, because they are fixed (in the mouth) like the teeth. Let him not sip water on their account in case they fall. If they flow out, he will be pure.'
1	5	8	25	Now they quote also (the following verse): If anything adheres to the teeth, (it is pure) like the teeth; and if he swallows (it or) whatever else may be in the mouth (or) may remain after sipping water, (he will become) pure.'
1	5	8	26	(After sipping) he shall touch the cavities (of the head) with water, the feet, the navel, the head, (and) lastly the left hand.
1	5	8	27	If he becomes impure while holding (a vessel) made of metal, he shall put it down, sip water and sprinkle it, when he is going to take it up.
1	5	8	28	Now if he becomes impure (while he is occupied) with food, he shall put it down, sip water and sprinkle it, when he is going to take it up.
1	5	8	29	Now if he becomes impure (while occupied)with water, he shall put it down, sip water and sprinkle it, when he is going to take it up
1	5	8	30	That is contrary (to the rule) in (the case of an earthen) vessel.
1	5	8	31	In (the case of a vessel) made of wood there is an option.
1	5	8	32	Defiled (objects) made of metal must be scoured with cowdung, earth, and ashes, or with one of these (three).
1	5	8	33	Copper, silver, and gold (must be cleaned) with acids.
1	5	8	34	Earthen vessels must be heated.
1	5	8	35	(Objects) made of wood must be planed.
1	5	8	36	(Objects) made of bamboo (must be cleaned) with cowdung,
1	5	8	37	(Objects) made of fruits with a rope of cow-hair,
1	5	8	38	Skins of black deer with (ground) Bel nut and rice,
1	5	8	39	Blankets (of the hair of the mountain goat) with Areka nuts,
1	5	8	40	(Cloth) made of (sheep's) wool by the (rays of the) sun,
1	5	8	41	Linen (cloth) with a paste of yellow mustard,
1	5	8	42	Cotton cloth with earth,
1	5	8	43	Skins (other than deer-skins shall be treated) like cotton cloth,
1	5	8	44	Stones and gems like (objects) made of metal,
1	5	8	45	Bones like wood,
1	5	8	46	Conch-shells, horn, pearl-shells, and ivory like linen cloth.
1	5	8	47	Or (they may be cleaned) with milk.
1	5	8	48	(Objects) which have been defiled by urine, ordure, blood, semen, or a dead body, (but) are agreeable to the eye and the nose, shall be rubbed seven times with one of the substances mentioned above.
1	5	8	49	(Objects) not made of metal which are in the same condition must be thrown away.
1	5	8	50	The cups and vessels (used) at a sacrifice (must be cleaned) according to the injunction (of the Veda).
1	5	8	51	The Veda (declares), 'They do not become impure through Soma.'
1	5	8	52	'Time, fire, purity of mind, water and the like (fluids), smearing with cowdung and ignorance (of defilement) are declared to be the sixfold (means of) purification for created beings.'
1	5	8	53	Now they quote also (the following verse):[paragraph continues] 'A clever man, who knows (the rules of) purification and is desirous of righteousness, shall perform (the rites of) purification, after having fully considered the time, and the place (of the defilement), likewise himself, (as well as) the object (to be cleaned) and the substance (to be employed), the purpose of the object, the cause (of the defilement), and the condition (of the thing or person defiled).'
1	5	9	1	The Veda declares that the hand of an artisan is always pure, so is every vendible commodity exposed for sale and food obtained by begging, which a student holds in. his hand.
1	5	9	2	A calf is pure on the flowing (of the milk), a bird on the fall of the fruit, women at the time of dalliance, and a dog when he catches a deer.
1	5	9	3	All mines and places of manufacture are pure excepting distilleries of spirituous liquor; continuously flowing streams of water and dust raised by the wind cannot be contaminated.
1	5	9	4	The flowers and fruit of flowering and fruit-bearing trees which grow in unclean places are likewise not impure.
1	5	9	5	On touching a tree standing on a sacred spot, a funeral pile, a sacrificial post, a Kandâla or a person who sells the Veda, a Brâhmana shall bathe dressed in his clothes.
1	5	9	6	One's own couch, seat, clothes, wife, child, and waterpot are pure for oneself; but for strangers they are impure.
1	5	9	7	A seat, a couch, a vehicle, ships (and boats), the road and grass are purified by the wind, if they have been touched by Kandâlas or outcasts.
1	5	9	8	Grain on the threshing-floor, water in wells and reservoirs, and milk in the cowpen are fit for use even (if they come) from a person whose food must not be eaten.
1	5	9	9	The gods created for Brâhmanas three means of purification, (viz.) ignorance of defilement, sprinkling with water, and commending by word of mouth.
1	5	9	10	Water collected on the ground with which cows slake their thirst is a means of purification, provided it is not strongly mixed with unclean (substances), nor has a (bad) smell, nor is discoloured, nor has a (bad) taste.
1	5	9	11	But land becomes pure, according to the degree of the defilement, by sweeping the (defiled) spot, by sprinkling it with water, by smearing it with cowdung, by scattering (pure earth) on it, or by scraping it.
1	5	9	12	Now they quote also (the following verse):
1	5	10	1	'A drop of water which is allowed to fall (on the ground) purifies a bull's hide of land, whether (the land) has been (previously) swept or not, provided no impure substance is visible on it.'
1	5	10	2	Food which is cooked out of sight must be illuminated (with fire) and be sprinkled with water,
1	5	10	3	Likewise eatables bought in the market.
1	5	10	4	For the Veda (declares), 'For the gods who are (easily) disgusted and desirous of purity do notenjoy the offerings made by a man destitute of faith.'
1	5	10	5	After reflecting (for a, long time on the respective value of) the (food) of a pure man destitute of faith and of an impure person who has faith, the gods declared both to be equal. But the Lord of created beings said to them, 'That is not equal, it is unequal. The food of a man destitute of faith is worthless, that which is purified by faith is preferable.'
1	5	10	6	Now they quote also (the following verses): 'Want of faith is the greatest sin; for faith is the highest austerity. Therefore the gods do not eat offerings given without faith.'
1	5	10	7	'A foolish man does not reach heaven, though he may offer (sacrifices) or give (gifts).'
1	5	10	8	'He is called a foolish man whose conduct is blemished by doubts, and who, clinging to his own fancies, transgresses (the rules of) the Sâstras, because he opposes the fulfilment of the sacred law.'
1	5	10	9	But pot-herbs, flowers, fruit, roots, and annual plants (must be) sprinkled (with water).
1	5	10	10	Having placed dry grass, wood of trees unfit for sacrifices or a clod of earth (on the ground), let him void faeces or urine, turning his face during the day towards the north and at night towards the south and wrapping up his head.
1	5	10	11	(After voiding) urine he shall clean (the organ once) with earth and water,
1	5	10	12	The hand three times.
1	5	10	13	In like manner (he shall clean himself with earth and water after voiding) faeces.
1	5	10	14	The number (of the applications of both is) thrice three for both feet and the hand.
1	5	10	15	After an effusion of semen (he shall purify himself) in the same manner as after voiding urine.
1	5	10	16	He shall wash himself, after he has untied or put on the cloth round his loins,
1	5	10	17	Or he may touch moist grass, cowdung, or earth.
1	5	10	18	While he is engaged in (the performance of) religious rites, he shall avoid to touch (the part of his body) below the navel.
1	5	10	19	The Veda (declares), 'A man's (body) is pure above the navel, it is impure below the navel.'
1	5	10	20	Sûdras living in the service of Âryans shall trim (their hair and nails) every month; their mode of sipping water (shall be) the same as that of Âryans.
1	5	10	21	A Vaisya may live by usury.
1	5	10	22	But (a sum of) twenty-five (kârshâpanas shall bear an interest) of five mâshas (per mensem).
1	5	10	23	Now they quote also (the following verses) 'He who, acquiring property cheap, employs (it so that it yields) a higher price, is called a usurer, and blamed in all (treatises on) the sacred law.' '(Brahman) weighed in the scales the crime of killing a learned Brâhmana against (the crime of) usury; the slayer of the Brâhmana remained at the top, the usurer sank downwards.'
1	5	10	24	'Let him treat Brâhmanas who tend cattle, those who live by trade, (and) those who are artisans, actors (and bards), servants or usurers, like Sûdras.'
1	5	10	25	But men of the first two castes may, at their pleasure, lend (money at interest) to one who neglects his sacred duties, to a miser, to an atheist, or to a very wicked man.
1	5	10	26	Through the neglect of sacrifices, of (lawful) marriages, of the study of the Veda, and of (learned) Brâhmanas, (noble) families (even) are degraded.
1	5	10	27	The offence of neglecting a Brâhmana cannot be committed against a fool who is unacquainted with the Veda. For (in offering sacrifices) one does not pass by a brilliant fire and throw the oblations into ashes.
1	5	10	28	Families which are deficient in (the knowledge of) the Veda, are degraded by (keeping) cows, horses and vehicles, by agriculture and by serving the king.
1	5	10	29	But even poor families which are rich in (the knowledge of) the Veda obtain rank among the (noble) families and gain great fame.
1	5	10	30	The (study of) the Veda impedes (the pursuit of) agriculture, (the pursuit of) agriculture impedes (the study of) the Veda. He who is able (to do it), may attend to both; but he who is unable (to attend to both), shall give up agriculture.
1	5	10	31	A fat, bellowing, raging humped bull, who does not restrain himself, who hurts living creatures and speaks according to his pleasure, forsooth, does not reach the (abode of) the gods; (but) those who are small like atoms, (being) emaciated (by austerities and fasts), go thither.
1	5	10	32	If, erring, in his youth he commits at any time good or evil acts of any kind, (they will all remain without result). (For) if in his later age he lives righteously, he will obtain (the reward of) that (virtuous conduct) alone, not (the punishments of his former) crimes.
1	5	10	33	Let him always be sorrowing in his heart, when he thinks of his sins, (let him) practise austerities and be careful; thus he will be freed from sin.
1	5	10	34	'Where drops of water touch the feet of a man who offers water for sipping to others, no defilement is caused by them. They are equally (pure) as (water) collected on the ground.'
1	5	11	1	Referring to deaths and births, they declare that the impurity of Sapindas lasts ten days; excepting officiating priests, men who have performed the initiatory ceremony of a Soma-sacrifice, and students of the Veda.
1	5	11	2	But amongst Sapindas Sapinda-relationship (extends) to the seventh person.
1	5	11	3	(If children die) before the completion of the seventh month or before teething, (the relatives) shall bathe.
1	5	11	4	In (the case of a child) that dies before the completion of its third year or before teething, offerings of funeral cakes and water are not prescribed, and one should not burn its (body);
1	5	11	5	Nor when unmarried maidens die.
1	5	11	6	Some do it in the case of married daughters.
1	5	11	7	That (is done) in order to gain the good-will of the people. Women are considered to have no business with the sacred texts.
1	5	11	8	'The relatives of unmarried women become pure after three days. But the uterine brothers become pure by (following) the rule mentioned before.'
1	5	11	9	Moreover, the great-grandfather, the grand-father, the father, oneself, the uterine brothers, the son by a wife of equal caste, the grandson, (and) the great-grandson--these they call Sapindas, but not the (great-grandson's) son;--and amongst these a son and a son's son (together with their father are) sharers of an undivided oblation.
1	5	11	10	The sharers of divided oblations they call Sakulyas.
1	5	11	11	If no other (relations) are living, the property (of a deceased male) descends to them (the Sapindas).
1	5	11	12	On failure of Sapindas, the Sakulyas (inherit).
1	5	11	13	On failure of them, the teacher who (holds the place of a spiritual) father, a pupil, or an officiating priest shall take it,
1	5	11	14	On failure of them, the king. Let him give that property to persons well-versed in the three Vedas.
1	5	11	15	But the king should never take for himself the property of a Brâhmana.
1	5	11	16	Now they quote also (the following verse): The property of a Brâhmana destroys (him whotakes it), together with sons and grandsons; poison kills one man only. (Therefore) they do not declare poison to be (the worst) poison. The property of a Brâhmana is called (the worst) poison.'
1	5	11	17	If a birth and a death occur together, one. and the same period of ten (days and) nights (shall serve for both).
1	5	11	18	Now if (other deaths or births) happen before the completion of the ten (days and) nights (of impurity), the first period of ten (days and) nights (shall suffice, provided the new cause of impurity occurs) before the end of the ninth day.
1	5	11	19	On a birth, indeed, the parents (alone) become impure during ten days.
1	5	11	20	Some (declare that) the mother (alone becomes impure), because (people) avoid (lying-in women alone).
1	5	11	21	Others (say that) the father (alone becomes impure) because the semen is the chief cause (of the generation).
1	5	11	22	For sons who were born without mothers, are mentioned in the revealed texts.
1	5	11	23	But (the correct opinion is that) both the parents (become impure) because they are equally connected (with the event).
1	5	11	24	But when a death (has happened, the relatives of the deceased), allowing the youngest to begin, shall pass their sacrificial threads over the right shoulder and under the left arm, descend into the water at a bathing-place, submerge (their bodies), emerge (out of the water), ascend the bank, sip water, pour out libations for the (deceased, repeating the last four acts) severally three times thereafter, ascend the bank, sip water, touch a coal, water or the like at the door of their house, and sit during ten days on mats, eating food that does not contain pungent condiments or salt.
