Prapathaka	Kandika_no	Text_no	Hymn
1	3	10	In the morning the first (oblation) with (the formula), 'To Sûrya Svâhâ!' the second again silently, again in the middle and in the north-eastern part (of the fire).
1	3	11	Having put a piece of wood (on the fire), and having again sprinkled (water) round it, he should pour out again his joined hands full of water in the same way ; in the Mantras he says, 'Thou hast given thy consent' (instead of 'Give thy consent').
1	3	12	Having circumambulated the fire so as to turn his right side towards it, having poured out the remains of water, and filled the vessel again, and put it (in its proper place), (he may do) whatever his business is.
1	3	13	In that way, from that time (in which he has begun to offer the two daily sacrifices) he should sacrifice, or should have sacrificed, over the (sacred) domestic fire, till the end of his life.
1	3	14	Here now they say:
1	3	15	'If they like, his wife may offer the morning and evening oblations over the domestic fire. For his wife is (as it were) his house, and that fire is the domestic fire.'
1	3	16	When the morning meal or the evening meal is ready, he should make (his wife) say, 'It is ready!'—
1	3	17	In an unbroken voice (?), having made himself pure,
1	3	18	He replies in a loud voice, 'Om!' Then ina low voice: 'To that (food) I bring adoration. May it not fail!'
1	4	1	He then should silently offer the Balis.
1	4	2	Let him speak only what refers to the due preparation of the food. With guests he may converse, if he likes.
1	4	3	He then should take some portion of food which is fit for sacrifice, should pour over it some liquid fit for sacrifice (such as ghee, milk, or curds), and should sacrifice it silently in the fire with his hand.
1	4	4	The first oblation is sacred to Pragâpati, the second to (Agni) Svishtakrit.
1	4	5	He then should offer the Balis, inside or outside (the Agnyagâra), having well cleansed the ground.
1	4	6	Let him pour out water once, and put down Balis in four places, and finally sprinkle once (water on the four Balis).
1	4	7	Or let him for each Bali which he puts down, sprinkle (water) before and afterwards.
1	4	8	What he puts down first, that is the Bali belonging to the Earth. What in the second place, to Vâyu. What in the third place, to the Visve devâs. What in the fourth place, to Pragâpati.
1	4	9	Then he should offer other Balis (near) the water-pot, the middle (post, and) the door: the first Bali is sacred to the Waters, the second to the Herbs and Trees, the third to the Ether.
1	4	10	Then he should offer another Bali in the bed or in the privy. That Bali belongs either to Kâma or to Manyu.
1	4	11	Then (another Bali) on the heap of sweepings; that (belongs) to the hosts of Rakshas.
1	4	12	The remnants of the Balis he should besprinkle with water, and should pour them out towards the south from right to left; they belong to the Fathers.
1	4	13	Let him sacrifice in the fire sitting.
1	4	14	Let him make the oblation to the Fathers sitting; the other (Balis he may offer) as it happens.
1	4	15	He should, however, offer those Balis himself as long as he stays at home.
1	4	16	Or another person who must be a Brâhmana (should offer them for him).
1	4	17	Both the husband and his wife (should offer them):
1	4	18	This is the rule for householders.
1	4	19	The wife in the evening, the man in the morning: thus (it is stated).
1	4	20	He should offer such Balis of all food whatever, be it prepared for the Fathers, or for auspiciouspurposes (for instance, for being offered to Brâhmanas), or for (ordinary) purposes.
1	4	21	Only in the case of a sacrifice (this rule) ceases.
1	4	22	If rice and barley are prepared for one and the same meal, he should, having offered (Balis) of the one or the other (kind of food), consider his duty as fulfilled.
1	4	23	If the food is cooked at different times for one meal, he should perform this Bali ceremony only once.
1	4	24	If food is prepared at different places for one family, he should perform this Bali ceremony only from (the food which is prepared in) the kitchen belonging to the householder.
1	4	25	However (of the persons belonging to the family) he whose food becomes ready before (that of the householder), (that person) should offer the prescribed portion in the fire, and give to a Brâhmana his share (of the food), and then should eat himself.
1	4	26	He whose (food becomes ready) after (that of the householder), should only eat.
1	4	27	Here they say also:
1	4	28	'At the end of that offering of Balis let him pronounce a wish. Then it will be fulfilled to him.'
1	4	29	He himself, however, should offer the Âsasya Bali, from the barley(-harvest) till the rice(-harvest), and from the rice(-harvest) till the barley(-harvest). This is called the Âsasya Bali.
  This Bali is called â-sasya, because it is offered until (â) the next crop (sasya) is ripe. As to the regulation that the sacrificer has to offer it himself, compare above,
1	4	30	Thus he obtains long life.
1	4	31	When a donation has been made, he should offer a Bali of chaff, of the scum of boiled rice, and of water. This is sacred to Rudra. This is sacred to Rudra.
1	5	1	Now at the times of the new moon and of the full moon (the following ceremonies are performed).
1	5	2	Let him fast on that full-moon day (when the full moon rises) at the meeting (of day and night).
1	5	3	The following day, according to some (teachers).
1	5	4	And on that day on which the moon is not seen, (he should fast, considering it) as the new-moon day.
1	5	5	The ends of the half-months are the time for fasting, the beginnings for sacrifice.
1	5	6	With the sacrificial food of the new-moonsacrifice he celebrates the first half (of the month), with that of the full-moon sacrifice the second.
1	5	7	Full-moon is the greatest distance of sun and moon; new-moon is their nearest approach.
1	5	8	That day on which the moon is not seen, that he should take as the day of new-moon.
1	5	9	Sometimes he may also while (the moon) is (still) visible (accept it as the day of new-moon); for (already then the moon) has made its way.
1	5	10	The time of full-moon is reckoned in three ways: (when the full moon rises at) the meeting (of day and night), or when it rises after sunset, or when it stands high (in the sky at sunset).
1	5	11	Now on what day it becomes full—
1	5	12	The doctrine on this point has to be studiedseparately. One should study it, or should ascertain separately (the exact time of) the Parvan from those who know it.
1	5	13	Now on the day which is the fast-day, on that day, in the forenoon, having offered his morning oblation, he besmears that surface on which the fire is placed, on all sides with cow-dung.
1	5	14	He then gets the pieces of wood ready (which are to be put on the fire)—of Khadira or of Palâsa wood.
1	5	15	If Khadira or Palâsa wood cannot be obtained, it may be wood—as far as it serves the purpose—of any tree, with the exception of Vibhîdaka, Tilvaka, Bâdhaka, Nîva, Nimba, Râgavriksha, Salmali, Aralu, Dadhittha, Kovidâra, Sleshmâtaka wood.
1	5	16	The Barhis consists of Kusa grass cut off at the points at which the blades diverge from the main stalk.
1	5	17	(The blades should be) cut off near the roots at (the ceremonies directed to) the Fathers.
1	5	18	If that (i.e. Kusa grass) cannot be obtained, (he may take) any kind of grass, with the exception of Sûka grass, of Saccharum reed, of such grass as is apt to break, of Balbaga grass, of Mutava, of Amphidonax reed, of Suntha.
1	5	19	(He should get ready the following things, viz.) Âgya, rice or barley to be cooked for the sacrifice, the pot in which the oblation of cooked rice (or barley) is prepared, the pot-ladle, the Sruva, the water fetched from a hidden place—
1	5	20	And the other things which we shall mention in the course of (our exposition of) the ritual.
1	5	21	On that day he should not go away (from his house on a journey, &c.);
1	5	22	Even from a distant place he should return to his house.
1	5	23	(On that day) he may buy goods from others, but not sell (such goods).
1	5	24	Let him not speak much.
1	5	25	Let him strive to speak the truth.
1	5	26	In the afternoon husband and wife, after having bathed, should eat fast-day food which is pleasant to them. It should contain butter (and should be prepared) in the due way.
1	6	1	Thus has spoken Mânatantavya: 'Unoffered indeed becomes the offering of a man who does not eat fast-day food.
1	6	2	'He becomes powerless. Hunger will attack him. He does not gain favour among people. His offspring will be perverse.
1	6	3	'But he who eats fast-day food, becomes powerful. Hunger will not attack him. He gainsfavour among people. His offspring will be still more blessed.
1	6	4	'Therefore (husband and wife) should eat fast-day food which is pleasant to them.'
1	6	5	Let them sleep that night on the ground.
1	6	6	They should spend that night so as to alternate their sleep with waking, entertaining themselves with tales or with other discourse.
1	6	7	But they should avoid doing anything unholy (such as cohabiting together).
1	6	8	It is said, that when on a journey, he should not fast.
1	6	9	For (say they, in that case) the observance has to be kept by his wife.
1	6	10	Let him do (herein) what he likes.
1	6	11	In the same way also one who has set up the (Srauta) fires should fast—
1	6	12	And (he should observe) what is enjoined by the sacred tradition.
1	6	13	Now in the forenoon, after (the sacrificer) has offered his morning oblation, and has walked round the fire on its front side, and strewn to the south of the fire eastward-pointed Darbha grass—
1	6	14	(The Brahman) stations himself to the east of that (grass), facing the west, and with the thumb and the fourth finger of his left hand he takes one grass blade from the Brahman's seat and throws it away to the south-west, in the intermediate direction (between south and west), with (the words), 'Away has been thrown the dispeller of wealth.'
1	6	15	Having touched water, he then sits down on the Brahman's seat, with (the words), 'I sit down on the seat of wealth.'
1	6	16	Facing the fire he sits silently, raising his joined hands, till the end of the ceremony.
1	6	17	Let him speak (only) what refers to the due performance of the sacrifice.
1	6	18	Let him not speak what is unworthy of the sacrifice.
1	6	19	If he has spoken what is unworthy of the sacrifice, let him murmur a verse, or a Yagus, sacred to Vishnu.
1	6	20	Or let him only say, 'Adoration to Vishnu!'
1	6	21	If one wishes, however, to do himself the work both of the Hotri and of the Brahman, he should in the same way place on the Brahman's seat a parasol, or an outer garment, or a water-pot, or abolster of Darbha grass, and should return in the same way (in which he has gone to the Brahman's seat), and then should perform the other (duties).
1	7	1	He then washes the mortar, the pestle, and the winnowing basket, strews to the west of the fire eastward-pointed Darbha grass, and puts (the mortar, &c.) on (that grass).
1	7	2	He then pours out, with a brazen vessel or with the pot in which the oblations of cooked rice are prepared, the grain destined for sacrifice, rice or barley—
1	7	3	Once pronouncing the name of the deity (to whom the offering will be made): 'Agreeable to such and such (a deity) I pour thee out;' twice (it is done) silently.
1	7	4	Then to the west, with his face turned eastward, he begins to husk the grain, with his right hand lying over the left.
1	7	5	After the grain has three times been winnowed, he should wash it thrice (if it is destined) for the gods, they say, twice, if for men, once, if for the Fathers.
1	7	6	Having put a (Darbha) purifier (into the potin which the oblation is to be prepared), he should pour the grain (into it).
1	7	7	He should cook the mess of sacrificial food so that it is well cooked, stirring it up (with the pot-ladle) from left to right.
1	7	8	When it has been cooked, he should sprinkle (Âgya) on it, should take it from the fire towards the north, and should again sprinkle (Âgya) on it.
1	7	9	Having put wood on the fire, he should strew Kusa grass round it on all sides, to the east, to the south, to the north, to the west—
1	7	10	On all sides in three layers or in five layers—
1	7	11	Thick, so that always an uneven number (of blades) are put together.
1	7	12	(He should strew) eastward-pointed grass, covering the roots with the points.
1	7	13	Or he should strew it to the west (of the fire), and should draw (some of the grass which he has strewn) from the south end and (some) from the north end, in an easterly direction.
1	7	14	He should (arrange the grass so as to) lay the points of the southern blades uppermost.
1	7	15	This rule for strewing (grass) round (the fire is valid) for all (ceremonies) at which oblations are made.
1	7	16	Some lay also branches of Samî wood or of Parna wood round (the fire).
1	7	17	To the north (of the fire) a Sruva full of water (is placed): this is the Pranîta water;
1	7	18	If there is (such water). Or it may be dispensed with, say some (teachers).
1	7	19	Having put the mess of cooked food on the Barhis, and put wood (on the fire), he prepares the Âgya.
1	7	20	(He may take) ghee, or oil made from Tila seeds, or curds, or milk, or rice gruel.
1	7	21	From that same Barhis (he takes two Darbha blades and) makes purifiers (of them), of the length of one span.
1	7	22	Putting an herb between (them and the instrument with which he cuts them), he cuts them off, not with his nail, with (the words), 'Purifiers are ye, sacred to Vishnu.'
1	7	23	He then wipes them with water, with (the words), 'By Vishnu's mind ye are purified.'
1	7	24	Having purified (the Âgya by pouring it into the Âgya pot, over which he has laid a Darbha purifier), he purifies it (in the pot) with the two northward-pointed purifiers (in the following way):
1	7	25	Holding them with his two thumbs and fourth fingers, he purifies (the Âgya) three times, from west to east, once with the Yagus: 'May the god Savitri purify thee with this uninjured purifier, with the rays of the good sun;' twice silently.
1	7	26	He then should sprinkle them with water and should throw them into the fire.
1	7	27	Then, having put that Âgya on the fire, he should take it from (the fire) towards the north.
1	7	28	This is the way to prepare the Âgya.
1	8	1	To the east (is placed) the Âgya, to the west the mess of cooked food.
1	8	2	Having sprinkled (water) round (the fire) and poured Âgya on the mess of cooked food, he begins to sacrifice simply with the pot-ladle, picking out portions of the sacrificial food (without 'underspreading' and pouring Âgya over the Havis).
1	8	3	If he intends, however, to sacrifice so as to 'underspread' (the Havis with Âgya) and to pour (Âgya) over it, let him sacrifice first the two Âgya portions (in the following way):
1	8	4	He should take four portions of Âgya—five portions (are taken) by the Bhrigus—and should sacrifice from west to east, on the northern side with (the formula), 'To Agni Svâhâ!' on the southern side with (the words), 'To Soma Svâhâ!'
1	8	5	He then cuts off (two or three Avadânas) from the Havis, having 'spread under' (Âgya).
1	8	6	(Two Avadânas) from the middle and from the east side, if he (belongs to the families who) makefour Avadânas. (Three Avadânas) from the middle, from the east and from the west side, if (he belongs to those who) make five Avadânas.
1	8	7	He sprinkles (Âgya) on the cut-off portions.
1	8	8	He anoints the places from which he has cut them off (with Âgya) in order that the strength (of the Havis) may not be lost.
1	8	9	He should sacrifice over the middle of the fire with (the words), 'To Agni Svâhâ!'—
1	8	10	Once or thrice, in that same way.
1	8	11	Now for the Svishtakrit (oblation), after having 'spread under' (Âgya), he cuts off once a very big (Avadâna) from the eastern part of the northern part (of the Havis), Twice he should sprinkle (Âgya) on it.
1	8	12	But if he (belongs to the families who) make five Avadânas, he should 'spread under' twice, and cut off (the Avadâna), and sprinkle (Âgya) on it twice.
1	8	13	He does not anoint the place from which he has cut off, in order that the strength (of the Havis) may be lost.
1	8	14	With the words, 'To Agni Svishtakrit[paragraph continues] Svâhâ!' he should sacrifice it over the eastern part of the northern part (of the fire).
1	8	15	He should sacrifice oblations of Âgya on (the chief oblations of cooked sacrificial food), with the Mahâvyâhritis.
1	8	16	The insertion (stands) before the Svishtakrit (oblation).
1	8	17	If different sacrifices are performed together, there is only one sweeping (of the ground) round (the fire) , one (putting of) fuel (on the fire) , one Barhis, one sprinkling (of water) round (the fire) , one Âgya, and one offering of the two Âgyabhâgas .
1	8	18	Having cut off (the Avadânas) for all (the single sacrifices), he sacrifices the Svishtakrit oblation only once.
1	8	19	After he has sacrificed, he should throw that pot-ladle (which he has used in the preceding ceremonies) into the fire.
1	8	20	Or having washed it, he should take with it (the rest of the sacrificial food), and should eat that.
1	8	21	The Sruva he should not throw into the fire, say some (teachers).
1	8	22	By one who has not set up the sacred fires, the mess of cooked food should be offered to Agni at the festivals both of the full and of the new moon.
1	8	23	To Agni, or to Agni and Soma, by one who has set them up, at the full-moon (sacrifice);
1	8	24	To Indra, or to Indra and Agni, or to Mahendra, at the new-moon (sacrifice).
1	8	25	Or also one who has set up the sacred fires, should offer it to Agni at the festivals both of the full and of the new moon.
1	8	26	Having put a piece of wood (on the fire), and having afterwards sprinkled (water) round (the fire), he performs the Yagñavâstu ceremony (in the following way):
1	8	27	From that same Barhis he should take a handful of Kura grass, and should dip it thrice into the Âgya or into the Havis, the points, the middle, and the roots, with (the words), 'May the birds come, licking what has been anointed.'
1	8	28	He then should besprinkle that (handful of grass) with water, and should throw it into the fire with (the verse), 'Thou who art the lord of cattle, Rudra, who walkest with the lines (of cattle), the manly one: do no harm to our cattle; let this be offered to thee! Svâhâ!
1	8	29	This (ceremony) they call Yagñavâstu.
1	9	1	He then should take away the remnants of the Havis in a northern direction, should take them out (of the vessel in which they are), and should give them to the Brahman.
1	9	2	He should try to satiate him.
1	9	3	They say indeed with regard to sacrifice: 'Through the Brâhmana's being satiated (with sacrificial food) I become satiated myself.'
1	9	4	Then (he should give to the Brahman) what other food has just become ready.
1	9	5	Then he should try to gain the favour of Brâhmanas by (gifts of) food.
1	9	6	A full vessel constitutes the fee for the sacrifice; that he should give to the Brahman.
1	9	7	A brazen vessel or a wooden cup which has been filled with food, with prepared food or with raw food, or even only with fruits: this they call a full vessel.
1	9	8	The Brahman is the only officiating priest at the Pâkayagñas.
1	9	9	(The sacrificer) himself is Hotri.
1	9	10	A full vessel  is the lowest sacrificial fee at a Pâkayagña.
1	9	11	The highest is unlimited.
1	9	12	Thus Sudâs Paigavana, after having offered the sacrifice of a mess of cooked food to Indra and[paragraph continues] Agni, gave one hundred thousand (cows as the sacrificial fee).
1	9	13	Now if he should not be able to get for the morning or for the evening oblation, or for the sacrifices of the full or of the new moon at his (sacred) domestic fire, any substance fit for sacrifice or a person who could sacrifice (instead of himself, if he is prevented): what ought he to do?
1	9	14	Until the evening oblation the (time for the) morning oblation is not elapsed, nor the (time for the) evening oblation until the morning oblation. Until the new moon the (time for the) sacrifice of the full moon is not elapsed, nor the (time for the) sacrifice of the new moon until the full moon.
1	9	15	During that interval he should try to obtain sacrificial food or to find a sacrificer.
1	9	16	Or (if he does not succeed in this) he should cook fruits or leaves of trees or herbs which are sacrificially pure, and should sacrifice them.
1	9	17	Or he should at least sacrifice water; thus has said Pâkayagña, the son of Idâ. For (even if he offers only water) the sacrifice has been performed.
1	9	18	And there is an expiation for one who has not sacrificed.
1	9	19	And, (says Pâkayagña,) a Brâhmana should not omit to keep his vow.
1	9	20	Here they say also:
1	9	21	He should keep (his vow) during that time in which he does not sacrifice, by abstaining from food.
1	9	22	When he then has obtained (the necessary substances for sacrificing), he should make up for the (omitted) oblations.
1	9	23	For thus also his vow has been duly kept.
1	9	24	These rules (which have been given with regard to the sacrifices of the full and new moon) are valid for the Havis oblations which will be stated hereafter.
1	9	25	After the end of the Mantra follows the word Svâhâ.
1	9	26	At Âgya oblations he should only prepare that Âgya  and should sacrifice it, picking out portions of it. (He should) not (sacrifice) the two Âgya portions nor the Svishtakrit.
1	9	27	At Âgya oblations he should, if no special rule is given, sacrifice with the Mahâvyâhritis before and after (the chief ceremonies).
1	9	28	As at the wedding, thus at the tonsure (of the child's head), the initiation (of the Brahmakârin), and at the cutting of the beard.
1	9	29	At the end of the ceremony the Vâmadevya is sung for the sake of averting evil. The Vâmadevya is sung for the sake of averting evil.End of the First Prapâthaka.
2	1	1	Under a propitious Nakshatra let him take a wife—
2	1	2	Who should possess the auspicious characteristics in due way.
2	1	3	If he can find no such (woman, he should take) earth-clods—
2	1	4	From an altar, a furrow, a pool, a cow-stable, a place where four roads meet, a gambling-place, a place where corpses are burnt, and from sterile soil;
2	1	5	A ninth (earth-clod) mixed of all.
2	1	6	(These he should make) equal (and should) make marks at them.
2	1	7	Taking them in his hand he should offer them to the girl, and (reciting the formula): 'Right alone is the first; right nobody oversteps; on right this earth is founded. May N.N. become this universe!'—he should pronounce her name and should say: 'Take one of these.'
2	1	8	If she takes one of the first four (clods), he should marry her,
2	1	9	And according to some (teachers) also, if (she takes) the mixed one.
2	1	10	After she has been washed with Klîtaka, barley and beans, a friend should besprinkle her three times at her head, so that her whole body becomes wet, with Surâ of first quality, with (the formula), 'Kâma! I know thy name. Intoxication thou art by name,' &c. . (In the passage of the formula), 'Bring hither N.N.,' he should pronounce the husband's name. (The Mantras should have) the word Svâhâ at their end. With the two following verses he should wash her private parts.
2	1	11	That has to be done by (female) relatives (of the bride).
2	1	12	At the wedding wood has been put on the fire to the east of the house, on a surface besmeared (with cow-dung).
2	1	13	Then one of the people who assist at the wedding, fills a cup with 'firm' water, and having walked with the water-pot round the fire on its front side, silent, wrapped in his robe, he stations himself to the south (of the fire), facing the north
2	1	14	Another person with a goad (walks in the same way and stations himself in the same place).
2	1	15	They place roasted grain mixed with Samî leaves, to the amount of four handfuls, in a winnowing basket behind the fire,
2	1	16	And an upper mill-stone.
2	1	17	Now (the girl) whose hand he is going to seize, has been washed, (her whole body) including her head.
2	1	18	The husband should put on her a (new) garment which has not yet been washed, with the verse, 'They who spun' , and with (the verse), 'Put on her, dress her' .
2	1	19	Leading forward (from the house to the sacred fire, the bride) who is wrapped in her robe and wears the sacrificial cord over her left shoulder, he should murmur (the verse), 'Soma gave her to the Gandharva' .
2	1	20	While she, to the west of the fire, pushes forward with her foot a rush-mat or something else of that kind, veiled (with clothes), he should make her say: 'May the way which my husband goes, be open to me.'
2	1	21	If she does not murmur (these words out of shame, &c.), he should murmur (them, saying), 'To her' (instead of 'To me').
2	1	22	She should make the end of the rush-mat  reach the end of the Barhis.
2	1	23	On the east end of the rush-mat she sits down to the right of the bridegroom.
2	1	24	While she touches his right shoulder with her right hand, he sacrifices six oblations of Âgya with (the verse), 'May Agni go as the first,' and the following (verses) —
2	1	25	And (three oblations) with the Mahâvyâhritis, one by one;
2	1	26	A fourth with (the four Mahâvyâhritis) together.
2	2	1	After the sacrifice they both arise.
2	2	2	The husband passes behind her back, stations himself to the south, with his face turned to the north, and seizes the woman's joined hands.
2	2	3	(Standing) to the east (of the girl) her mother or her brother, having taken the roasted grain, should make the bride tread on the stone with the tip of her right foot.
2	2	4	The bridegroom murmurs: 'Tread on this stone' .
2	2	5	Her brother filling once his joined hands with roasted grain, pours it into the bride's joined hands.
2	2	6	After (Âgya) has been spread under and poured over (the fried grain), she sacrifices that in the fire without opening her joined hands, with (the verse which the bridegroom [?] recites), 'This woman says' .
2	2	7	(The verses), 'The god Aryaman,' and, 'Pûshan'[paragraph continues]  (are repeated) at the two following (oblations of fried grain).
2	2	8	After that sacrifice the husband, passing (behind her back), returns in the same way, and leads her round the fire so that their right sides are turned towards it, or a Brâhmana versed in the Mantras (does the same), with (the verse), 'The maid from the fathers' .
2	2	9	After she has thus been lead round, she stands as before , and treads (on the stone) as before , and he murmurs the (Mantra) as before , and (her brother) pours (the fried grain into her hands) as before , and she sacrifices as before .
2	2	10	In the same way three times.
2	2	11	After (she) has poured the remnants (of the fried grain) into the fire, they make (her) step forward in a north-easterly direction with (the formula), 'For sap with one step' .
2	2	12	She should put forward her right foot (first) and should follow with the left.
2	2	13	(The bridegroom) should say (to her), 'Do not put the left (foot) before the right.'
2	2	14	The lookers-on he should address with (the verse), 'Auspicious ornaments wears this woman' .
2	2	15	To the west of the fire the water-carrier follows (their way) and besprinkles the bridegroom on his forehead, and also the other one (i.e. the bride),with this verse (which the bridegroom murmurs), 'May (the Visve devâs) anoint (or, unite)' .
2	2	16	After she has been (thus) besprinkled, he puts up her joined hands with his left hand, seizes with his right hand her right hand with the thumb, her hand being turned with the palm upwards, and murmurs these six verses referring to the seizing of (a girl's) hand, 'I seize thy hand' .
2	2	17	When (these verses) are finished, they carry her away—
2	3	1	To a convenient house of a Brâhmana, which is situated in a north-easterly direction.
2	3	2	There wood has been put on the (nuptial) fire.
2	3	3	To the west of the fire a red bull's hide has been spread out, with the neck to the east and with the hair outside.
2	3	4	On that they make the woman, who has to keep silence, sit down.
2	3	5	And (there) she remains sitting until the stars appear.
2	3	6	When (somebody) has said that a star has appeared, (the husband) sacrifices six oblations of Âgya with the (six verses) commencing with (the verse), 'In the junctions of the lines' .
2	3	7	The remnants of each oblation he should pour out over the bride's head.
2	3	8	After the sacrifice they arise, go out (of the house), and he shows her the 'firm star' (i.e. the polar-star).
2	3	9	(Repeating the formula): 'Firm art thou. May I, N.N., become firm in the house of N.N., my husband'—she should pronounce her husband's and her own name.
2	3	10	And (he shows her besides the star) Arundhatî.
2	3	11	(She says): 'I (N.N.) am held fast,' &c., as above .
2	3	12	He then addresses her with the verse, 'Firm is the sky' .
2	3	13	After she has been addressed (thus), she respectfully calls her Guru by his Gotra name.
2	3	14	Thus she breaks her silence.
2	3	15	From that time through a period of three nights they should both avoid eating saline or pungent food, and should sleep together on the ground without having conjugal intercourse.
2	3	16	Here, they say, an Argha reception (should be offered to the young husband).
2	3	17	Some say (that this reception should be offered) when (the bridegroom and his companions) have arrived (at the house of the bride's father).
2	3	18	The first food which he eats, should be foodfit for sacrifice, over which he has murmured .
2	3	19	Or he should prepare on the following day a mess of cooked food, of which they eat together.
