Adhyaya	Text_no	Hymn
2	5	Now follows the restraint (samyamana) instituted by Pratardana (the son of Divodâsa): they call it the inner Agni-hotra. So long as a man speaks, he cannot breathe, he offers all the while his prâna (breath) in his speech. And so long as a man breathes, he cannot speak, he offers all the while his speech in his breath. These two endless and immortal oblations he offers always, whether waking or sleeping. Whatever other oblations there are (those, e. g. of the ordinary Agnihotra, consisting of milk and other things), they have an end, for they consist of works (which, like all works, have an end). The ancients, knowing this (the best Agnihotra), did not offer the (ordinary) Agnihotra.
2	6	Uktha  is Brahman, thus said Sushkabhriṅgâra. Let him meditate on it (the uktha) as the same with the Rik, and all beings will praise him as the best. Let him meditate on it as the same with the Yagus, and all beings will join before himas the best. Let him meditate on it as the same with the Sâman, and all beings will bow before him as the best . Let him meditate on it as the same with might, let him meditate on it as the same with glory, let him meditate on it as the same with splendour. For as the bow is among weapons the mightiest, the most glorious, the most splendid, thus is he who knows this among all beings the mightiest, the most glorious, the most splendid. The Adhvaryu conceives the fire of the altar, which is used for the sacrifice, to be himself. In it he (the Adhvaryu) weaves the Yagus portion of the sacrifice. And in the Yagus portion the Hotri weaves the Rik portion of the sacrifice. And in the Rik portion the Udgâtri weaves the Sâman portion of the sacrifice. He (the Adhvaryu or prâna) is the self of the threefold knowledge; he indeed is the self of it (of prâna). He who knows this is the self of it (becomes prâna ).
2	7	Next follow the three kinds of meditation of the all-conquering (sarvagit) Kaushîtaki. The all-conquering Kaushîtaki adores the sun when rising, having put on the sacrificial cord , having brought water, and having thrice sprinkled the water-cup, saying: 'Thou art the deliverer, deliver me from sin.' In the same manner he adores the sun when in the zenith, saying: 'Thou art the highest deliverer, deliver me highly from sin.' In the same manner he adores the sun when setting, saying: 'Thou art the full deliverer, deliver me fully from sin.' Thus he fully removes whatever sin he committed by day and by night. And in the same manner he who knows this, likewise adores the sun, and fully removes whatever sin he committed by day and by night.
2	8	Then (secondly) let him worship every month (in the year) at the time of the new moon, the moon as it is seen in the west in the same manner (as before described with regard to the sun), or let him send forth his speech toward the moon with two green blades of grass, saying: 'O thou who art mistress of immortal joy, through that gentle heart of mine which abides in the moon, may I never weep for misfortune concerning my children.'The children of him (who thus adores the moon) do not indeed die before him. Thus it is with a man to whom a son is already born.Now for one to whom no son is born as yet. He mutters the three Rik verses. 'Increase, O Soma! may vigour come to thee' (Rv. I, 91, 16; IX, 31, 4).'May milk, may food go to thee' (Rv. I, 91, 18); 'That ray which the Âdityas gladden.'Having muttered these three Rik verses, he says: 'Do not increase by our breath (prâna), by our offspring, by our cattle; he who hates us and whom we hate, increase by his breath, by his offspring, by his cattle. Thus I turn the turn of the god, I return the turn of Âditya .' After these words, having raised the right arm (toward Soma), he lets it go again .
2	9	Then (thirdly) let him worship on the day of the full moon the moon as it is seen in the east in the same manner, saying: 'Thou art Soma, the king, the wise, the five-mouthed, the lord of creatures. The Brâhmana is one of thy mouths; with that mouth thou eatest the kings (Kshatriyas); make me an eater of food by that mouth! The king is one of thy mouths; with that mouth thou eatest the people (Vaisyas); make me an eater of food by that mouth! The hawk is one of thy mouths; with that mouth thou eatest the birds; make me an eater of food by that mouth! Fire is one of thy mouths; with that mouth thou eatest this world; make me an eater of food by that mouth! In thee there is the fifth mouth; with that mouth thou eatest all beings; make me an eater of food by that mouth! Do not decrease by our life, by our offspring, by our cattle; he who hates us and whom we hate, decrease by his life, by his offspring, by his cattle. Thus I turn the turn of the god, I return the turn of Âditya.' After these words, having raised the right arm, he lets it go again.
2	10	Next (having addressed these prayers to Soma) when being with his wife, let him stroke herheart, saying: 'O fair one, who hast obtained immortal joy by that which has entered thy heart through Pragâpati, mayest thou never fall into sorrow about thy children .' Her children then do not die before her.
2	11	Next, if a man has been absent and returns home, let him smell (kiss) his son's head, saying: 'Thou springest from every limb, thou art born from the heart, thou, my son, art my self indeed, live thou a hundred harvests.' He gives him his name, saying: 'Be thou a stone, be thou an axe, be thou solid  gold; thou, my son, art light indeed, live thou a hundred harvests.' He pronounces his name. Then he embraces him, saying: 'As Pragâpati (the lord of creatures) embraced his creatures for their welfare, thus I embrace thee,' (pronouncing his name.) Then he mutters into his right ear, saying: 'O thou, quick Maghavan, give to him' (Rv. III, 36, 10 ). 'O Indra, bestow the best wishes' (Rv. II, 21, 6), thus he whispers into his left ear. Let him then thrice smell (kiss) his head, saying: 'Do not cut off (the line of our race), do not suffer. Live a hundred harvests of life; I kiss thy head, O son, with thy name.' He then thrice makes a lowing sound over his head, saying: 'I low over thee with the lowing sound of cows.'
2	12	Next follows the Daiva Parimara , the dying around of the gods (the absorption of the twoclasses of gods, mentioned before, into prâna or Brahman). This Brahman shines forth indeed when the fire burns, and it dies when it burns not. Its splendour goes to the sun alone, the life (prâna, the moving principle) to the air.This Brahman shines forth indeed when the sun is seen, and it dies when it is not seen. Its splendour goes to the moon alone, the life (prâna) to the air.This Brahman shines forth indeed when the moon is seen, and it dies when it is not seen. Its splendour goes to the lightning alone, its life (prâna) to the air.This Brahman shines forth indeed when the lightning flashes, and it dies when it flashes not. Its splendour goes to the air, and the life (prâna) to the air.Thus all these deities (i. e. fire, sun, moon, lightning), having entered the air, though dead, do not vanish; and out of the very air they rise again. So much with reference to the deities (mythological). Now then with reference to the body (physiological).
2	13	This Brahman shines forth indeed when one speaks with speech, and it dies when one does not speak. His splendour goes to the eye alone, the life (prâna) to breath (prâna).This Brahman shines forth indeed when one sees with the eye, and it dies when one does not see. Its splendour goes to the ear alone, the life (prâna) to breath (prâna).This Brahman shines forth indeed when one hears with the ear, and it dies when one does not hear. Its splendour goes to the mind alone, the life (prâna) to breath (prâna).This Brahman shines forth indeed when one thinks with the mind, and it dies when one does not think. Its splendour goes to the breath (prâna) alone, and the life (prâna) to breath (prâna).Thus all these deities (the senses, &c.), having entered breath or life (prâna) alone, though dead, do not vanish; and out of very breath (prâna) they rise again. And if two mountains, the southern and northern, were to move forward trying to crush him who knows this, they would not crush him. But those who hate him and those whom he hates, they die around him.
2	14	Next follows the Nihsreyasâdâna  (the accepting of the pre-eminence of prâna (breath or life) by the other gods). The deities (speech, eye, ear, mind), contending with each for who was the best, went out of this body, and the body lay without breathing, withered, like a log of wood. Then speech went into it, but speaking by speech, it lay still. Then the eye went into it, but speaking by speech, and seeing by the eye, it lay still. Then the ear went into it, but speaking by speech, seeing by the eye, hearing by the car, it lay still. Then mind went into it, but speaking by speech, seeing by the eye, hearing by the ear, thinking by the mind, it lay still. Then breath (prâna, life) went into it, and thence it rose at once. All these deities, having recognised the pre-eminence in prâna, and having comprehended prâna alone as the conscious self (pragñâtman) , went out of this body with all these (five different kinds ofprâna), and resting in the air (knowing that prâna had entered the air), and merged in the ether (âkâsa), they went to heaven. And in the same manner he who knows this, having recognised the pre-eminence in prâna, and having comprehended prâna alone as the conscious self (pragñâtman), goes out of this body with all these (does no longer believe in this body), and resting in the air, and merged in the ether, he goes to heaven, he goes to where those gods (speech, &c.) are. And having reached this he, who knows this, becomes immortal with that immortality which those gods enjoy.
2	15	Next follows the father's tradition to the son, and thus they explain it . The father, when going to depart, calls his son, after having strewn the house with fresh grass, and having laid the sacrificial fire, and having placed near it a pot of water with a jug (full of rice), himself covered with a new cloth, and dressed in white. He places himself above his son, touching his organs with his own organs, or he may deliver the tradition to him while he sits before him. Then he delivers it to him. The father says: 'Let me place my speech in thee.' The son says: 'I take thy speech in me.' The father says: 'Let me place my scent (prâna) in thee.' The son says: 'I take thy scent in me.' The father says: 'Let me place my eye in thee.' The son says: 'I take thy eye in me.' The father says: 'Let me place my ear in thee.' The son says: 'I take thy ear in me.' The father says: 'Let me place my tastes of food in thee.' The son says: 'I take thy tastes of food in me.' The father says: 'Let me place my actionsin thee! The son says: 'I take thy actions in me.' The father says: 'Let me place my pleasure and pain in thee.' The son says: 'I take thy pleasure and pain in me.' The father says: 'Let me place happiness, joy, and offspring in thee.' The son says: 'I take thy happiness, joy, and offspring in me.' The father says: 'Let me place my walking in thee.' The son says: 'I take thy walking in me .' The father says: 'Let me place my mind in thee.' The son says: 'I take thy mind in me.' The father says: 'Let me place my knowledge (pragñâ) in thee.' The son says: 'I take thy knowledge in me.' But if the father is very ill, he may say shortly: 'Let me place my spirits (prânas) in thee,' and the son: 'I take thy spirits in me.'Then the son walks round his father keeping his right side towards him, and goes away. The father calls after him: 'May fame, glory of countenance, and honour always follow thee.' Then the other looks back over his left shoulder, covering himself with his hand or the hem of his garment, saying: 'Obtain the heavenly worlds (svarga) and all desires.'If the father recovers, let him be under the authority of his son, or let him wander about (as an ascetic). But if he departs, then let them despatch him, as he ought to be despatched, yea, as he ought to be despatched .
3	1	Pratardana, forsooth, the son of Divodâsa (king of Kâsî), came by means of fighting and strength to the beloved abode of Indra. Indra said to him 'Pratardana, let me give you a boon to choose.' And Pratardana answered: 'Do you yourself choose that boon for me which you deem most beneficial for a man.' Indra said to him: 'No one who chooses, chooses for another; choose thyself,' Then Pratardana replied: 'Then that boon to choose is no boon for me.'Then, however, Indra did not swerve from the truth, for Indra is truth. Indra said to him: 'Know me only; that is what I deem most beneficial for man, that he should know me. I slew the three-headed son of Tvashtri; I delivered the Arunmukhas, the devotees, to the wolves (sâlâvrika); breaking many treaties, I killed the people of Prahlâda in heaven, the people of Puloma in the sky, the people of Kâlakañga on earth . And not one hair of me was harmed there. And he who knows me thus, by no deed of his is his life harmed, not by the murder ofhis mother, not by the murder of his father, not by theft, not by the killing of a Brahman. If he is going to commit a sin, the bloom  does not depart from his face.'
3	2	Indra said: 'I am prâna, meditate on me as the conscious self (pragñâtman), as life, as immortality. Life is prâna, prâna is life. Immortality is prâna, prâna is immortality. As long as prâna dwells in this body, so long surely there is life. By prâna he obtains immortality in the other world, by knowledge true conception. He who meditates on me as life and immortality, gains his full life in this world, and obtains in the Svarga world immortality and indestructibility.'(Pratardana said): 'Some maintain here, that the prânas become one, for (otherwise) no one could at the same time make known a name by speech, see a form with the eye, hear a sound with the car, think a thought with the mind. After having become one, the prânas perceive all these together, one by one. While speech speaks, all prânas speak after it. While the eye sees, all prânas see after it. While the car hears, all prânas hear after it. While the mind thinks, all prânas think after it. While the prâna breathes, all prânas breathe after it.''Thus it is indeed,' said Indra, 'but nevertheless there is a pre-eminence among the prânas .
3	3	Man lives deprived of speech, for we see dumb people. Man lives deprived of sight, for we seeblind people. Man lives deprived of hearing, for we see deaf people. Man lives deprived of mind, for we see infants. Man lives deprived of his arms, deprived of his legs, for we see it thus. But prâna alone is the conscious self (pragñâtman), and having laid hold of this body, it makes it rise up. Therefore it is said, Let man worship it alone as uktha . What is prâna, that is pragñâ (self-consciousness); what is pragñâ (self-consciousness), that is prâna, for together they (pragñâ and prâna) live in this body, and together they go out of it. Of that, this is the evidence, this is the understanding. When a man, being thus asleep, sees no dream whatever, he becomes one with that prâna alone . Then speech goes to him (when he is absorbed in prâna) with all names, the eye with all forms, the ear with all sounds, the mind with all thoughts. And when he awakes, then, as from a burning fire sparks proceed in all directions, thus from that self the prânâs (speech, &c.) proceed, each towards its place; from the prânas the gods (Agni, &c.), from the gods the worlds.Of this, this is the proof, this is the understanding. When a man is thus sick, going to die, falling into weakness and faintness, they say: 'His thought has departed, he hears not, he sees not, he speaks not, he thinks not.' Then he becomes one with that prâna alone. Then speech goes to him (who is absorbed in prâna) with all names, the eye with allforms, the ear with all sounds, the mind with all thoughts. And when he departs from this body, he departs together with all these .
3	4	Speech gives up to him (who is absorbed in prâna) all names, so that by speech he obtains all names. The nose gives up to him all odours, so that by scent he obtains all odours. The eye gives up to him all forms, so that by the eye he obtains all forms. The ear gives up to him all sounds, so that by the ear he obtains all sounds. The mind gives up to him all thoughts, so that by the mind he obtains all thoughts. This is the complete absorption in prâna. And what is prâna is pragñâ (self-consciousness), what is pragñâ (self-consciousness) is prâna. For together do these two live in the body, and together do they depart.Now we shall explain how all things become one in that pragñâ (self-consciousness).
3	5	Speech is one portion taken out  of pragñâ (self-conscious knowledge), the word is its object, placed outside. The nose is one portion taken out of it, the odour is its object, placed outside. The eye is one portion taken out of it, the form is its object, placed outside. The ear is one portion taken out of it, the sound is its object, placed outside. The tongue is one portion taken out of it, the taste of food is its object, placed outside. The two handsare one portion taken out of it, their action is their object, placed outside. The body is one portion taken out of it, its pleasure and pain are its object, placed outside. The organ is one portion taken out of it, happiness, joy, and offspring are its object, placed outside. The two feet are one portion taken out of it, movements are their object, placed outside. Mind is one portion taken out of it, thoughts and desires are its object, placed outside.
3	6	Having by pragñâ (self-conscious knowledge) taken possession of speech, he obtains by speech all words. Having by pragñâ taken possession of the nose, he obtains all odours. Having by pragñâ taken possession of the eye, he obtains all forms. Having by pragñâ taken possession of the ear, he obtains all sounds. Having by pragñâ taken possession of the tongue, he obtains all tastes of food. Having by pragñâ taken possession of the two hands, he obtains all actions. Having by pragñâ taken possession of the body, he obtains pleasure and pain. Having by pragñâ taken possession of the organ, he obtains happiness, joy, and offspring. Having by pragñâ taken possession of the two feet, he obtains all movements. Having by pragñâ taken possession of mind, he obtains all thoughts.
3	7	For without pragñâ (self-consciousness) speech does not make known (to the self) any word . 'Mymind was absent,' he says, 'I did not perceive that word.' Without pragñâ the nose does not make known any odour. 'My mind was absent,' he says, 'I did not perceive that odour.' Without pragñâ the eye does not make known any form. 'My mind was absent,' he says, 'I did not perceive that form.' Without pragñâ the ear does not make known any sound. 'My mind was absent,' he says, 'I did not perceive that sound.' Without pragñâ the tongue does not make known any taste. 'My mind was absent,' he says, 'I did not perceive that taste.' Without pragñâ the two hands do not make known any act. 'Our mind was absent,' they say, 'we did not perceive any act.' Without pragñâ the body does not make known pleasure or pain. 'My mind was absent,' he says, 'I did not perceive that pleasure or pain.' Without pragñâ the organ does not make known happiness, joy, or offspring. 'My mind was absent,' he says, 'I did not perceive that happiness, joy, or offspring.' Without pragñâ, the two feet do not make known any movement. 'Our mind was absent,' they say, 'we did not perceive that movement.' Without pragñâ no thought succeeds, nothing can be known that is to be known.
3	8	Let no man try to find out what speech is, let him know the speaker. Let no man try to find out what odour is, let him know him who smells. Let no man try to find out what form is, let him know the seer. Let no man try to find out what sound is, lethim know the hearer. Let no man try to find out the tastes of food, let him know the knower of tastes. Let no man try to find out what action is, let him know the agent. Let no man try to find out what pleasure and pain are, let him know the knower of pleasure and pain. Let no man try to find out what happiness, joy, and offspring are, let him know the knower of happiness, joy, and offspring. Let no man try to find out what movement is, let him know the mover. Let no man try to find out what mind is, let him know the thinker. These ten objects (what is spoken, smelled, seen, &c.) have reference to pragñâ (self-consciousness), the ten subjects (speech, the senses, mind) have reference to objects. If there were no objects, there would be no subjects; and if there were no subjects, there would be no objects. For on either side alone nothing could be achieved. But that (the self of pragñâ, consciousness, and prâna, life) is not many, (but one.) For as in a car the circumference of a wheel is placed on the spokes, and the spokes on the nave, thus are these objects (circumference) placed on the subjects (spokes), and the subjects on the prâna. And that prâna (breath, the living and breathing power) indeed is the self of pragñâ (the self-conscious self), blessed, imperishable, immortal. He does not increase by a good action, nor decrease by a bad action. For he (the self of prâna and pragñâ) makes him, whom he wishes to lead up from these worlds, do a good deed; and the same makes him, whom he wishes to lead down from these worlds, do a bad deed . And he is the guardian of the world, he isthe king of the world, he is the lord of the universe,--and he is my (Indra's) self, thus let it be known, yea, thus let it be known!
4	1	Pratardana, forsooth, the son of Divodâsa (king of Kâsî), came by means of fighting and strength to the beloved abode of Indra. Indra said to him 'Pratardana, let me give you a boon to choose.' And Pratardana answered: 'Do you yourself choose that boon for me which you deem most beneficial for a man.' Indra said to him: 'No one who chooses, chooses for another; choose thyself,' Then Pratardana replied: 'Then that boon to choose is no boon for me.'Then, however, Indra did not swerve from the truth, for Indra is truth. Indra said to him: 'Know me only; that is what I deem most beneficial for man, that he should know me. I slew the three-headed son of Tvashtri; I delivered the Arunmukhas, the devotees, to the wolves (sâlâvrika); breaking many treaties, I killed the people of Prahlâda in heaven, the people of Puloma in the sky, the people of Kâlakañga on earth . And not one hair of me was harmed there. And he who knows me thus, by no deed of his is his life harmed, not by the murder ofhis mother, not by the murder of his father, not by theft, not by the killing of a Brahman. If he is going to commit a sin, the bloom  does not depart from his face.'
4	2	Indra said: 'I am prâna, meditate on me as the conscious self (pragñâtman), as life, as immortality. Life is prâna, prâna is life. Immortality is prâna, prâna is immortality. As long as prâna dwells in this body, so long surely there is life. By prâna he obtains immortality in the other world, by knowledge true conception. He who meditates on me as life and immortality, gains his full life in this world, and obtains in the Svarga world immortality and indestructibility.'(Pratardana said): 'Some maintain here, that the prânas become one, for (otherwise) no one could at the same time make known a name by speech, see a form with the eye, hear a sound with the car, think a thought with the mind. After having become one, the prânas perceive all these together, one by one. While speech speaks, all prânas speak after it. While the eye sees, all prânas see after it. While the car hears, all prânas hear after it. While the mind thinks, all prânas think after it. While the prâna breathes, all prânas breathe after it.''Thus it is indeed,' said Indra, 'but nevertheless there is a pre-eminence among the prânas .
4	3	Man lives deprived of speech, for we see dumb people. Man lives deprived of sight, for we seeblind people. Man lives deprived of hearing, for we see deaf people. Man lives deprived of mind, for we see infants. Man lives deprived of his arms, deprived of his legs, for we see it thus. But prâna alone is the conscious self (pragñâtman), and having laid hold of this body, it makes it rise up. Therefore it is said, Let man worship it alone as uktha . What is prâna, that is pragñâ (self-consciousness); what is pragñâ (self-consciousness), that is prâna, for together they (pragñâ and prâna) live in this body, and together they go out of it. Of that, this is the evidence, this is the understanding. When a man, being thus asleep, sees no dream whatever, he becomes one with that prâna alone . Then speech goes to him (when he is absorbed in prâna) with all names, the eye with all forms, the ear with all sounds, the mind with all thoughts. And when he awakes, then, as from a burning fire sparks proceed in all directions, thus from that self the prânâs (speech, &c.) proceed, each towards its place; from the prânas the gods (Agni, &c.), from the gods the worlds.Of this, this is the proof, this is the understanding. When a man is thus sick, going to die, falling into weakness and faintness, they say: 'His thought has departed, he hears not, he sees not, he speaks not, he thinks not.' Then he becomes one with that prâna alone. Then speech goes to him (who is absorbed in prâna) with all names, the eye with allforms, the ear with all sounds, the mind with all thoughts. And when he departs from this body, he departs together with all these .
4	4	Speech gives up to him (who is absorbed in prâna) all names, so that by speech he obtains all names. The nose gives up to him all odours, so that by scent he obtains all odours. The eye gives up to him all forms, so that by the eye he obtains all forms. The ear gives up to him all sounds, so that by the ear he obtains all sounds. The mind gives up to him all thoughts, so that by the mind he obtains all thoughts. This is the complete absorption in prâna. And what is prâna is pragñâ (self-consciousness), what is pragñâ (self-consciousness) is prâna. For together do these two live in the body, and together do they depart.Now we shall explain how all things become one in that pragñâ (self-consciousness).
