Chapter_No	Text_no	Hymn
3	9	Let (the plaintiff) make an answer which corresponds to (the contents of) the plaint. If he does not (make an answer), the king shall cause him to make one, by employing (any of) the (four) methods of conciliation, division, and the rest, till the matter has been cleared up.
3	10	When, in the case of a denial (on the part of the defendant) the plaintiff himself admits such (denial) as correct, it has to be considered as a confession, and one half of the (ordinary) fine shall be inflicted on the plaintiff.
3	11	In the case of a denial, the burden of proof rests with the plaintiff; in the case of a special plea,it rests with the defendant; but in a plea of former judgment, all that is required in the shape of proof is to produce the previous decree.
3	12	The defendant is at liberty to delay his answer for three days, or for five days even.
4	1	A writing (or document) should be signed by witnesses, the (natural) order of ideas and syllables should not be interrupted, local customs and general rules should be observed in it, and it should be complete in every respect.
4	2	A document signed by the king with his own hand, or sealed with his own seal, is declared to be a royal document, and is (considered as equal to) an attested document in all affairs.
4	3	A document suspected (to have a blemish) is valid, unless the debtor should have clearly indicated its blemish; and so (is the validity of) a document which is more than twenty years old (established by mere lapse of time).
4	4	In the beginning, gift is a cause (of ownership);in the middle, possession with a title; but continued and hereditary possession by itself is also a good cause (of ownership).
4	5	There are six modes of acquiring wealth: by obtaining (property), what is declared to have been given or earned, (acquisition through) valour, (in the shape of) a marriage portion, and through inheritance from relations or others.
4	6	Having listened to the answer, (the plaintiff) at the trial shall produce a document as evidence, or he shall prove possession continued for a long time, and corroborated by (the statements of) the neighbours, or by (other) evidence.
4	7	Supposing a religious student were to perform some vow extending over a period of thirty-six years, or a man (engaged in trade or traffic) were to reside abroad for a long time in the pursuit of wealth:
4	8	If, then, the student after having completed his period of studentship (and returned from his preceptor) were to look after his property, possession (by a stranger) continued for fifty years would be capable of depriving him of his property.
4	9	Twelve years for (the study of) each Veda is the period ordained for those engaged in the pursuit of religious knowledge; for those engaged in the acquisition of mechanical (or manual) skill, the period (of apprenticeship) is declared to last till they have acquired their art.
4	10	What has been possessed against their wish by their friends or relations, and what has been possessed by persons offending against the king, is not lost by the lapse of (a long) time.
5	1	(By false evidence concerning land, a witness kills everything; beware, then, of giving false evidence concerning land.) In the case of (false evidence concerning) water, the consequence is said to be the same as for land, and so it is in the case of carnal connexion with a female, as well as (in thecase of false evidence) concerning gems produced in water, and everything consisting of stone.
5	2	In the case of honey or clarified butter (the consequence) is the same as (when false evidence has been given) with regard to small cattle. He incurs the same guilt as in the case of a horse (by giving false evidence) regarding a vehicle. The case of silver, clothes, grain, or the Veda is equal to the case of a cow.
5	3	Having considered all these evil consequences attending a false declaration, (a witness) must declare openly everything as (he has) heard or seen (it).
5	4	Kubera, Âditya, Varuna, Sakra (Indra), the son of Vivasvant (Yama), and the (other) guardian deities of the world are constantly looking on with divine eyes.
5	5	Let (the judge) ask a Brahman for his testimony by saying, 'Speak;' a Kshatriya by saying, 'Speak the truth;' a Vaisya, by referring to his kine, grain, and gold; but a Sûdra (by conjuring him) by all possible wicked deeds.
5	6	Whatever places (of torment) are assigned (in a future state) to the murderers of Brahmans, or to the slayers of women and children, and to him who betrays a friend, or shows ingratitude, those very places shall be thy home (after death) if thou speakest falsely.
5	7	All meritorious deeds which thou, O good man, hast done since thy birth, would go to the dogs, if thou shouldst speak falsely.
5	8	Although, O virtuous man, thou thinkest of thyself, 'I am alone,' yet that says who sees the evil and the good ever resides in thy heart.
5	9	If thou art not at variance with the god Yama, the son of Vivasvant, who resides in thy heart, thou needest not go to the Ganges or to (the country of) the Kurus.
5	10	. Perjured witnesses, as well as those who rob others of their property, and wicked kings, shall have to reside (hereafter) in a very dreadful hell for the time of a kalpa.
5	11	When (a calamity such as) an illness, or fire, or the death of a relative, happens to a witness within seven days after his evidence has been taken, he shall be made to pay the debt and a fine.
5	12	Learned Brahmans and other such persons (are incompetent witnesses) under a text of law; thieves and the like persons, on account of their notorious perversity; (the deposition of the witnesses is worthless) owing to mutual contradiction when the witnesses make mutually conflicting statements at the trial of a cause.
5	13	'One who gives evidence of his own accord' is a witness who comes to make a deposition of his own accord, without being appointed (a witness). Such a man is termed a spy in the law-books, and he is not worthy to become a witness.
5	14	'One rendered incompetent by intervening decease' is a witness (who comes) after the death of the claimant, unless he should have been instructed (by the claimant) on his deathbed.
6	1	Let (the defendant) touch the heads of his sons, wife, or friends; or else the (ordeal by) sacred libation (may be performed), whatever the nature of the charge may be.
6	2	It is on the claimant that the duty of declaring his readiness to take on himself the penalty (to be awarded to the losing party) devolves in every case. Or the ordeal may be performed by either party at pleasure, the other party consenting to give the penalty (to be awarded in case of defeat).
6	3	To persons suspected by the king, or denounced (as criminals) by (intercourse with) robbers, or intent on their own justification, an ordeal must be administered without binding (an opponent) to give the penalty.
6	4	(The performance of) an ordeal is ordained inimportant cases, when people are engaged in a controversy; an ordeal must not be administered when there is no one ready to take the punishment on himself.
6	5	Justice is based on truth, and litigation (depends) on witnesses. When a case admits of divine test, human evidence (the testimony of witnesses) or documents must not be resorted to.
6	6	The (ordeal by) sacred libation has been declared by the wise to be applicable to all (castes), and poison (to all castes), excepting the Brahman (caste). (Either the balance is reserved for Brahmans), or the balance may be administered to (members of) every caste.
6	7	The (ordeal by) sacred libation may be administered in every case. The (ordeal by) balance is admissible in every season.
6	8	Eunuchs, distressed or feeble persons, the severely afflicted, infants, old men, women, and the blind should be tested by the balance always.
6	9	(The ordeal by) poison is not destined forwomen, nor is (the ordeal by) water fit to be administered to them; it is through (the ordeals by) balance, sacred libation, and others that (the judge) must explore the true state of their minds.
6	10	Let (the judge) test strong men by fire, water, or poison, and let him test infants, old or distressed men by the balance.
6	11	Let (the judge) avoid (the ordeal by) fire in the case of lepers, (the ordeal by) water in the case of the asthmatic, and (the ordeal by) poison in the case of bilious or phlegmatic persons.
6	12	In the season of the rains, let the (ordeal by) fire be administered; also in the cold and chilly seasons. In the summer season, the (ordeal by) water is the proper (kind of ordeal). Poison (is destined) for the cold weather.
6	13	The chilly, cold, and rainy seasons are declared to be (the proper seasons) for the (ordeal by) fire; the autumn and summer seasons, for the (ordeal by) water; the (ordeal by) poison, (is fit) for the cold and chilly seasons.
6	14	The months of Kaitra (March-April), Mârgasîrsha (November-December), and Vaisâkha (April-May)are proper months for all (ordeals), and not adverse to any kind of ordeal. (Ordeals must) never (be administered) in the afternoon, nor in the twilight, nor at noon.
6	15	Ordeals administered at an improper place, or at an unsuitable time, or performed at a distance from human habitations, constitute a deviation from the proper course of a lawsuit, this is certain.
6	16	The chief judge must superintend the whole of the proceedings at an ordeal, fasting and obeying the king's instructions in the same way as an Adhvaryu (priest officiates) at a sacrifice.
6	17	The chief judge, who must be a Brahman, thoroughly versed in the Vedas and Vedâṅgas, instructed in sacred learning and of religious conduct, tranquil-minded, unambitious,
6	18	Fond of veracity, pure, able, delighting in the welfare of all sentient beings, having kept a fast, clad in his moist garments (after a bath), having cleansed his teeth, should worship all deities according to rule.
6	19	With red perfumes and garlands, as well aswith curds, cakes of flour, fried grain and other (offerings), he should first worship the balance, and then show honour to the others.
6	20	The balance and the other ordeals ordained by the sages should be administered by the king by consent of the claimant, but not otherwise.
6	21	When they are performed otherwise (the claimant not giving his consent), he incurs the same guilt as a thief.
6	22	I will state next the excellent rule regarding the (ordeal by) balance, as the king and the chief judge should administer that ordeal to a man (arraigned in a cause).
6	23	The two posts supporting the beam of the balance should measure four Hastas above ground, their (entire) length should be six Hastas.
6	24	The king should cause a wooden beam of the balance to be made, which must be four Hastas long,polished, furnished with the. required characteristics, and having the two scales suspended by both extremities.
6	25	After having caused two posts to be erected, on even ground, which must be placed from north to south, and must be arranged both in one line, he shall cause the beam of the balance to be fastened across (the transverse beam which connects) them.
6	26	With an iron cord let a virtuous man surround the beam in the middle and fasten it in an east-western direction, after having carefully connected it (with the transverse beam).
6	27	The (appointed) examiners have to take care always that the two perpendiculars of the balance should be equal in length. Water must be poured out on (the beam of) the balance by skilled persons.
6	28	If the water does not trickle down (from the balance), the balance may be considered as being level.
6	29	With red perfumes and garlands, as well as with curds, cakes of flour, fried grain and other (offerings, the judge) should first worship the balance, and then show honour to the others.
6	30	(The person accused being about to be placed in the scale for the second time, the judge should address the balance as follows): 'Thou, O Balance, hast been created by Brahman, to test the wicked. On account of the syllable dha thou art the image of Dharma (Justice), on account of the syllable ta, thou
6	31	Being used for balancing (dhrita, in this ordeal) discoverest the vicious. Therefore thou art called dhata (balance).'
6	32	If (the person) remains level (sama), he is considered to be in a middling position (samatâ). If he comes down, he loses his cause. He who goes down is not innocent; he is innocent who goes up.
6	33	He who remains level is also not acquitted. These are the three possible cases in the (ordeal by) balance. Thus has been declared the never-failing acquittal (obtainable) through the test by balance.
6	34	When (the scales fixed) at the two extremities of the beam have been moved, when the mark which had been made has come off, when (the balance) is going up and down, being agitated by wind,
6	35	Or when (the man appointed to hold it) lets itgo all of a sudden: (in all these cases) the matter in dispute must not be decided either way.
6	36	Now then I will proclaim the excellent rule regarding the (ordeal by) fire, as it has been declared (by the sages). The intermediate space between two circles is ordained to measure thirty-two Aṅgulas.
6	37	The seven circles are thus declared by persons thoroughly conversant with the art of computation to cover a space of two hundred and twenty-four Aṅgulas.
6	38	Let the peculiar signs be marked which he has on both hands, both visible and invisible ones, whether caused by a scar or not caused by a scar.
6	39	After having first marked in this way the hands of the person accused, he should offer clarified butter in fire according to rule, as a propitiatory rite, reciting Mantras (at the same time).
6	40	The gods and the guardian deities of the world having been hospitably entertained, let (the person accused) utter the following prayer, facing the sun.
6	41	‘Thou, O fire, dwellest in the interior of all deities as a flame. Thou conveyest burnt-oblations to the gods, and givest peace of mind.
6	42	‘Thou, O God, knowest the secret offences and merits of men. Thou, O deity, knowest whatever mortals do not comprehend.
6	43	‘Arraigned in a cause, I am about to be tested by fire. Therefore deign to deliver me lawfully from the perplexity in which I am involved.’
6	44	The man (about to be examined) having made this speech, facing the east, with firmness, his joined hands should be covered with seven equal leaves of the holy fig-tree,
6	45	And both hands should be tied with seven strings of light-coloured thread.
6	46	(Then the man) should take a smooth ball of red-hot iron, fifty Palas in weight, in both hands, and step gradually across the seven circles.
6	47	When a man has carefully stepped throughthe (seven) circles in this way, without having burnt himself in the least, he is acquitted.
6	48	When he has dropped the ball, his hands should be inspected. If the marks have retained their previous appearance, he should examine (the hands) elsewhere as well.
6	49	When a bloodshot round stain or any other sore caused by fire is seen, the man has to be considered as guilty, because truth and virtue are not found in him.
6	50	I will proclaim next the excellent rule regarding the (ordeal by) water. Let a king who is desirous of establishing perfect truth refrain from administering (this ordeal) in winter.
6	51	With perfumes, garlands, sweet-smelling substances, honey, milk, clarified butter, and the like, let (the judge) perform the worship of Varuna (the deity of water) first of all.
6	52	Let (the judge) cause this ordeal to be performedin transparent and very cool water, which does not contain aquatic animals or mud, and is abundant and not too shallow.
6	53	Let (a man) go near the bank of the water (in which the accused is to be immersed) and erect an arch as high as the ear (of the person) on the edge (of that water), on level and purified ground.
6	54	A strong bow should be known to have seven hundred; one not particularly strong, six hundred; a weak bow, five hundred. Thus has the rule regarding the bow been declared.
6	55	From a bow of a middling quality let a skilful (archer) discharge three arrows, after having made a target one hundred and fifty Hastas distant.
6	56	(The archer) is blameable if the arrows discharged by him fall short of or go beyond the target. (The person accused) obtains acquittal if his body continues immersed in water after the middling arrow has been (discharged and) brought back.
6	57	Among fifty runners, those two who are the quickest runners should be appointed to fetch the arrow.
6	58	Let a strong man, who may be a Brahman, Kshatriya or Vaisya, and must be free from affection and hatred, be placed in water reaching his navel, (standing erect) like a pillar.
6	59	(The accused), thoroughly controlled in mind, shall seize the thighs of that man under water, and stand in it composed all the time till the (runner) appointed to fetch (the arrow) has returned.
6	60	Then let men strictly devoted to veracity and virtue, acquainted with the application of legal rules, and free from affection and hatred, see that everything is fair.
6	61	An intelligent, pious-minded man should descend into the water and duly address (the deity of water) with the following auspicious texts.
6	61	b. The sacred prayer (runs as follows). ‘Om, adoration to Justice.
6	62	‘Thou, O lord of waters, who art so pleasantlycool, art the source of (all) beings. Save this man from guilt, thou knowest both good and evil.
6	63	‘Thou art the first of the gods and the great comforter of the world. Thou, O water, dwellest in the interior of all beings, like a witness.
6	64	‘Thou, O deity, alone knowest what mortals do not understand. This man, being arraigned in a cause, is going to dive in thee. Therefore deign to deliver him lawfully from this perplexity.’
6	65	Then (the accused) should submerge all his limbs in water so as to become invisible.
6	66	A prudent man should leave the water, after having seen the arrow brought back, and should approach the king and all the assessors of the court, after saluting them reverentially.
6	67	Though only his ear, eye, mouth or nose should become visible while he is in water, he cannot be acquitted. If he remains invisible, he obtains acquittal.
6	68	Now then I will proclaim the excellent rule regarding the (ordeal by) poison, (stating) how the king should give poison, the best means of purification for a man.
6	69	Let him give the poison in the presence of (images of) the deities and Brahmans, after having kept a fast and worshipped Mahesvara with incense, offerings, and sacred texts.
6	70	(The judge) should give the poison with fixed attention, facing the north or the east, in the presence of Brahmans, (while the accused) is facing the south.
6	71	Let seven Yavas be given, as a test of innocence, without doubt, of poison from the Sriṅga tree or Vatsanâbha (poison) or Himaga poison.
6	72	In the morning and in a cool place let the poison be given to all persons, after it has been finely ground, and mixed with clarified butter thirty times the quantity.
6	73	He must not give poison to infants, disabled or superannuated persons, or to those who have committed a very light offence only, or to a madman, to one severely afflicted, to a cripple, or to ascetics.
6	74	If the person (examined) undergoes no changeof appearance during the time occupied by clapping the hands five hundred times, he is acquitted, and should be cured (by giving him antidotes of poison).
6	75	‘On account of thy poisonous and dangerous nature thou art hard on all persons. Thou art appointed to show the difference between good and evil like a witness.
6	76	‘Thou, O deity, knowest the sacred ordinances and the conduct of men, both good and evil actions, (in short) whatever men do not comprehend.
6	77	‘This man being arraigned in a cause, wishes to obtain acquittal. Therefore deign to deliver him lawfully from this perplexity.’
6	78	This prayer should be pronounced according to rule, while the poison is being swallowed (by the person).
6	79	The king having known the man to be innocent should honourably dismiss him, and proclaim him (innocent) with a loud voice. Thus has the law been laid down.
6	80	(Let the ordeal by sacred libation be administered) to one who consents to it and puts faith (inreligion) in the presence of the deities and Brahmans.
6	81	Having called near the person accused, (the judge) should place him inside the circle and cause him to swallow three handsful of water, after having caused him to face the sun.
6	82	After having worshipped that deity (to which the accused is devoted, the judge) should wash (the image of that deity) with water, proclaim his crime, and cause him to swallow the three handsful of water.
6	83	When some one drinks consecrated water of his own accord, after having been charged with a crime, and does not confess his guilt, actuated by avarice, such a wicked man will become a leper (in a future birth).
6	84	When a man tells a lie knowingly and intentionally, after having drunk consecrated water, he is born as a poor, sick, or foolish person in seven (successive) existences.
6	85	When a man administers the (ordeal by) sacred libation by force to procure some advantage to himself, it will destroy himself, nor will his affairs prosper.
6	86	When a man has been convicted (by thisordeal) he may be compelled by his creditor himself to repay the debt proved against him, and the king may exact from him with justice a fine amounting to twice as much as the debt.
7	1	(Because fathers desire offspring, to be released from debt by their sons), therefore should a son begotten (by his father) give up his own property and assiduously redeem his father from debt, lest he should go to hell.
7	2	The interest is unlimited on thread, cotton, substances from which spirits may be extracted, tin, lead, weapons of all sorts, skins, copper, iron,
7	3	And all other articles of this kind, as well as bricks. This has been declared by Manu Pragâpati.
7	4	On oil of every sort, on intoxicating drinks, on honey, on butter, on sugar, and on salt, the interest shall cease when it reaches eight times the original amount.
7	5	The debts of sick, mad, overaged, or long absent persons: such debts should be discharged by their sons even while such persons are alive.
7	6	A wife, a daughter-in-law, a grandson's wife, and the presents bestowed on a wife (which constitute her separate property): if a man takes any of these, he shall be made to pay the debts (of suchwomen); and so shall he who lives on the landed property (of a stranger).
7	7	It is on the wife that the performance of religious acts depends in all (four) castes, one after the other. He who takes the wife of a man, takes his property (and debts) as well.
7	8	Females are not entitled to bestow gifts, or to sell property. It is only while she is living together (with her family), that a woman may enjoy (the family property).
7	9	It is by permission (of the owner) only that a female slave, cattle, or an estate may be enjoyed (by a stranger). He who enjoys that which had not been given up to him (by the owner), must pay for the (illegitimate) enjoyment of what he had been enjoying.
7	10	When a man forcibly enjoys property, such as a house, field, cow or the like, without authorization (from the owner), he deserves the same punishment as a thief.
7	11	He who uses a bull, or a milch-cow, or a boat, or a female slave, without authorization (from the owner), shall pay four Panas (as a fine).
7	12	A female slave, a boat, a beast of burden, and a pledge is not lost (to the owner) by adverse possession. The possessor is bound to give a compensation in money for his enjoyment of them.
7	13	(Let him give) two Panas a day for the use of a female slave; eight Panas for the use of a milch-cow; thirteen for the use of a bull; sixteen for the use of a horse or of an estate.
7	14	He who forcibly enjoys a boat, a horse, a milch-cow, or the plough of an agriculturist, shall be made to pay eight times (their value) each day.
7	15	(For the use) of a mortar, half a Pana; for the use of a pestle, two Panas; for the use of a winnowing basket, half a Pana. Thus has the sage Gaimini declared.
7	16	A deposit which has been entrusted to a. friend, is called a deposit based on confidence.
7	17	Should a man, after entering the order of religious ascetics, violate the duties of his order, the king should cause him to be branded with a dog's foot and banish him quickly (from his realm).
7	18	These two persons are (as contemptible as) Kandâlas for their acts, and should be kept entirely apart from the world: one who has forsaken the order of religious ascetics, and one who has entered an order prohibited in law.
7	19	He is called Guru (a teacher) who instructs his pupil, duly addressing him in Prâkrit or Samskrit, or employing a local or other dialect.
7	20	When a quarrel has arisen between prostitutes and the lovers frequenting their house, the principal prostitutes and the lovers shall decide the dispute in common.
7	21	If other persons (than the neighbours) should give false evidence in a dispute concerning land, such low persons shall be condemned to pay the first fine each in his turn.
7	22	A boundary is declared to be of five sorts, as it may be either marked by signs (such as trees), or by water (of a river), or by articles deposited underground, or subject to no quarrel (being determined by consent of both parties), or fixed by royal command.
7	23	After having traced those (robbers) with the aid of able spies acquainted with their habits, he shall avoid frightening them, and shall cause them to be arrested by officials secretly set upon them.
7	24	It is not from the air, from the sky, from the sea, or from other (such parts) that robbers will come; therefore one should act thus.
7	25	(The king) shall endeavour to inveigle (thieves and robbers) through cunning spies who are anxious to catch thieves. Other skilful and reliable persons also, artful talkers and former thieves, shall (be appointed to) detect the thieves.
7	26	By giving them wealth and valuable presents,by causing them to attend at public shows and festivals, and by pretending intended robberies, they shall cause (the thieves) to assemble together.
7	27	Those who fail to make their appearance on such occasions, though skilful spies have been set on them, shall be arrested together with their sons, kinsmen, and relatives.
7	28	He shall then arrest the thieves after having convicted and enticed them (to make their appearance), and shall inflict capital punishment on them in various ways, after having proclaimed (their deeds) everywhere.
7	29	Innocent persons also are seen to mingle with thieves (occasionally); let not the king inflict punishments indiscriminately on such.
