Adhyaya_no	Khanda_no	Text_no	Hymn
1	8	10	Bending his right knee,
1	8	11	The left when worshipping the Manes.
1	8	12	The strewing around (of the grass) is not necessary in the Âgya offerings,
1	8	13	. Nor in the standing offerings, according to Mândûkeya.
1	8	14	. He now measures off with the span (of his hand) two Kusa blades, which are not unequal, with unbroken points, bearing no young shoots in them, and severs them (from their roots) with a Kusa blade, saying, 'Purifiers are ye.'
1	8	15	There are two or three (of these Kusa strainers).
1	8	16	He holds them with their points to the east and sprinkles them (with water, saying), 'Belonging to Vishnu.'
1	8	17	With the two Kusa blades he sprinkles (water) around the fire three times, keeping his right side turned towards it,
1	8	18	. Takes up the Âgya pot with the words, 'Milk of the cows art thou;'
1	8	19	. Puts it on the fire with the words, 'For sap thee;'
1	8	20	. Takes it from the fire towards the north with the words, 'For juice thee;'
1	8	21	. And holding the two (Kusa) strainers with their points to the north, seizing them on both sideswith his two thumbs and fourth fingers, he bends them down, the points upwards, and dips them into the Âgya with the words,'By the impulse of Savitar I purify thee with this uninjured purifier, with the rays of the good sun.'
1	8	22	(This) preparation of the Âgya (takes place) each time.
1	8	23	Let him not offer (Âgya) which has not been (thus) prepared.
1	8	24	. Also the waters in the Sruva spoon (he purifies) with the words, '(By the impulse) of Savitar (I purify) you.'
1	8	25	This (is called) the PRANÎTÂ and the PROKSHANÎ water.
1	9	1	. The Sruva spoon (serves as) a vessel.
1	9	2	According to the purpose the properties (of the different things to be used at each oblation) should be chosen.
1	9	3	. Taking up Kusa blades with the left, and the[paragraph continues] Sruva at its bottom with the right hand, with the words, 'The hand of Vishnu art thou'—
1	9	4	. He offers with the Sruva the Âgya oblations.
1	9	5	. Beginning from the north-west side of the fire he offers (the Âgya) unintermittingly on the south side (of the fire) with (the verse), 'Thou Agni art full of foresight' .
1	9	6	Beginning from the south-west side of the fire he unintermittingly offers on the north side with (the verse), 'To whom these snowy mountains' .
1	9	7	To Agni belongs the northern Âgya portion, to Soma the southern.
1	9	8	. In the middle (are made) the other oblations,
1	9	9	(With the words,) 'Agni is the begetter; may he give to me N.N. as my wife; svâhâ!'Soma is rich in wives; may he make me rich in wives by N.N.; svâhâ!'Pûshan is rich in kindred; may he make me rich in kindred by the father, the mother, the brothers of N.N.; svâhâ!'
1	9	10	. At the Âgya oblations the offering of the two Âgya portions and of the Svishtakrit oblation is not standing,
1	9	11	. Nor in the standing oblations, according to Mândûkeya.
1	9	12	. The place for the insertion is the interval between the Mahâvyâhritis, the general expiation, and the oblation to Pragâpati.
1	9	13	If the oblation consists in Âgya, let him seize the Kusa blades in his left hand with his right hand at their points and with the left at their roots, and let him wet their points (with Âgya) in the Sruva, the middle and the roots in the Âgya pot;
1	9	14	In the oblations of cooked food, however, the points in the Sruk, the middle in the Sruva, the roots in the Âgya pot.
1	9	15	When he then has thrown them (into the fire) with the words, 'Agni's garment art thou,'
1	9	16	And has put on (the fire) three pieces of wood,
1	9	17	. (Water) is sprinkled round (the fire) as stated above.
1	9	18	Oblations for which only the deities are indicated, but no texts prescribed, are to be made merely with the word SVÂHÂ, 'To such and such a deity svâhâ! To such and such a deity svâhâ!'
1	9	19	. The ritual (here) declared of the sacrifice (tobe performed) when (the father's) assent (to give away his daughter) has been declared—
1	10	1	. Forms the standard for all sacrifices that procure happiness,
1	10	2	And for all Âgya offerings,
1	10	3	. For the sacrifice of animals which are tied to a branch,
1	10	4	. And for the offerings of boiled (rice) grains and of cooked food.
1	10	5	. These are performed, all the offerings of cooked food, without PRAYÂGA and ANUYÂGA oblations, without (the invocation of) the ILÂ, without NIGADA recitation, and without SÂMIDHENÎ verses.
1	10	6	There are also the following Slokas:
1	10	7	. '(An oblation is called) HUTA, (if made) by the performing of the Agnihotra; AHUTA (i.e. unsacrificed, if) by the Bali offering; PRAHUTA (i.e. sacrificed up, if) by a sacrifice to the Manes; PRÂSITA (i.e. tasted, if) deposited as an offering in a Brâhmana.
1	10	8	. 'Without raising his knees, with spread knees let him always offer his oblation; for the gods never accept an offering (that has been made holding the hand) not between (the knees).
1	10	9	. 'But when he has repeated a text sacred to Rudra, to the Rakshas, to the Manes, to the Asuras, or that contains an imprecation, let him touch water, and so also when he has touched his own body.'
1	11	1	. Now when the bride is to be carried away (to the bridegroom's house) that night, or on the next, or on the third night,
1	11	2	. On that night, when (the darkness of) night is gone, they wash the girl up to her head with (water that has been made fragrant by) all sorts of herbs and the choicest fruits together with scents;
1	11	3	They put on her a newly-dyed garment or (a new one) which has not yet been washed;
1	11	4	. Then (the Âkârya of the bride's family) makes the girl sit down behind the fire, and while she takes hold of him he sacrifices with the Mahâvyâhritis, and then he makes Âgya oblations to Agni, to Soma, to Pragâpati, to Mitra, to Varuna, to Indra, to Indrânî, to the Gandharva, to Bhaga, to Pûshan, to Tvashtar, to Brihaspati, to the king Pratyânîka.
1	11	5	After they have regaled four or eight women, who are not widows, with lumps of vegetables, Surâ, and food, these should perform a dance four times.
1	11	6	The same deities (they worship also) on behalf of the man,
1	11	7	And Vaisravana and Îsâna.
1	11	8	Then follows the distribution of food to Brâhmanas.
1	12	1	The bridegroom, who has bathed and for whom auspicious ceremonies have been performed, is escorted by happy young women, who are not widows, to the girl's house.
1	12	2	To these he shall not behave unobsequiously, except where forbidden food or a transgression is concerned.
1	12	3	Having obtained their permission, he then gives her the garment with (the verse), 'The Raibhî was' .
1	12	4	With (the verse), 'Mind was the cushion'  he takes up the salve-box.
1	12	5	. The verse for the Anointing is, 'May the Visve devâs anoint (or, unite),'
1	12	6	. 'As this (has protected) Sakî the beloved one, and Aditi the mother of noble sons, and Apâlâ who was free from widowhood, nay it thus here protect thee, N.N.!'—with these words (the. bridegroom) gives her into her right hand the quill of a porcupine (and) a string of three twisted threads,
1	12	7	With the verse, 'Shape by shape'  a mirror into the left.
1	12	8	Her relations tie (to her body) a red and black, woollen or linen cord with three (amulet) gems, with the verse, 'Dark-blue and red' .
1	12	9	With the verse, 'Full of honey the herbs' , (the bridegroom) ties (to her body) Madhûka flowers.
1	12	10	. At the wedding one cow, when the Argha ceremony has been performed; in the house one cow: these are the two Madhuparka cows.
1	12	11	. (The bridegroom) makes the girl sit down behind the fire, and while she takes hold of him he makes three oblations with the Mahâvyâhritis.
1	12	12	A fourth (oblation) with (the three Mahâvyâhritis) together is to be understood from this rule.
1	12	13	In this way, where no express rule is stated, in all sacrifices that procure happiness, one is to sacrifice before and afterwards with these same (Mahâvyâhritis).
1	13	1	'Be queen with thy father-in-law,' with this verse  her father or brother sacrifices with a sword's point on her head, or with the Sruva, standing while she is sitting, with his face turned to the west, while her face is turned to the east.
1	13	2	'I seize thy hand for the sake of happiness' , with these words (the bridegroom) seizes with his right hand her right hand with the thumb, both hands being turned with the palms upwards, he standing while she is sitting, with his face turned to the west, while her face is turned to the east.
1	13	3	And when he has murmured the following five verses,
1	13	4	. (He continues thus,) 'This am I, that art thou;that art thou, this am I; the heaven I, the earth thou; the Rik art thou, the Sâman I. So be thou devoted to me.'Well! Let us here marry. Let us beget offspring. Let us acquire many sons who may reach old age.'
1	13	5	(The Âkârya) fills, with the words bhûr bhuvah svah, a new water-pot,
1	13	6	. Throws into it (branches) with milky sap and leaves, of a tree the name of which is masculine, together with Kusa grass,
1	13	7	And gold, according to some (teachers),
1	13	8	And hands it over to a student who observes silence.
1	13	9	. They should walk round this Stheyâ water, (placed) to the north-east, so that they turn their right sides . towards it.
1	13	10	And after (the Âkârya) has placed a stone towards the northern direction,
1	13	11	(The bridegroom) makes her rise with the words, 'Come, thou joyful one,'
1	13	12	And makes her tread with the tip of her right foot on the stone, with the words, 'Come, tread on the stone; like a stone be firm. Tread the foes down; overcome the enemies.'
1	13	13	He then leads her round the fire so that their right sides are turned to it,
1	13	14	And gives her a second garment with the same text .
1	13	15	Her father or brother pours out of a basket fried grain mixed with Samî leaves into her joined hands.
1	13	16	The spreading under, the sprinkling over, and the second sprinkling over (are done) with Âgya.
1	13	17	. She sacrifices those (fried grains).
1	14	1	'This woman, strewing grains, prays thus, "May I bring bliss to my relations; may my husband live long. Svâhâ!"'—while the husband murmurs (this) text, she sacrifices standing.
1	14	2	. (All the ceremonies,) beginning from the treadingupon the stone, (are repeated) in the same way for a second time,
1	14	3	And in the same way a third time.
1	14	4	Silently, if they like, a fourth time.
1	14	5	. (The Âkârya?) makes (them) step forward in a north-eastern direction seven steps (with the words),
1	14	6	'For sap with one step, for juice with two steps, for the prospering of wealth with three steps, for comfort with four steps, for cattle with five steps, for the seasons with six steps. Friend be with seven steps.'
1	14	7	(The Âkârya?) 'appeases' those (foot-steps) with water.
1	14	8	. With the three Âpohishthîyâ verses  he wipes (them) with the Stheyâ water,
1	14	9	. And sprinkles it on their heads.
1	14	10	(The bridegroom then) says, 'I give you a cow.'
1	14	11	Let him give something to the Brâhmanas each time at the Sthâlîpâkas and other rites;
1	14	12	. To him who knows the Sûryâ hymn the bride's shift.
1	14	13	. A cow is the optional gift to be given by a Brâhmana,
1	14	14	A village by a Râganya,
1	14	15	A horse by a Vaisya.
1	14	16	. A hundred (cows) with a chariot (he gives to a father) who has only daughters.
1	14	17	To those versed in the sacrificial rites he gives a horse.
1	15	1	The three verses, 'I loosen thee' , when she departs from the house.
1	15	2	'The living one they bewail' , if she begins to cry.
1	15	3	. The wife then smears the axle of the chariot with clarified butter with this (verse), 'They feasted, they got drunk' ,
1	15	4	And with the two (verses), 'Pure are thy wheels,' 'Thy two wheels' , of the two wheels the first with the first (verse) and the second with the second (verse),
1	15	5	And the two bulls.
1	15	6	. After (the wife?) has put, with this (verse), 'In the box of the wheel' , a branch of a fruit-bearing tree into each of the holes destined for the pins,
1	15	7	Or, if (such branches) are (already) fixed, has recited (that verse) over them,
1	15	8	They then harness the two bulls with the two (verses), 'Harnessed be thy right one' , (the bridegroom) reciting the half-verse, 'White the two bulls' , over them when they have been harnessed.
1	15	9	Now should any part of the chariot break or burst, let him take the girl to the house of one who keeps the sacred fires,
1	15	10	And repair (the damage) with the verse, 'Cover thyself with the Khadiras' .
1	15	11	A knot with the verse, 'Him like a horse' .
1	15	12	He then murmurs the five verses, 'May prosperity give us' .
1	15	13	'Adorned with Kimsuka flowers' , when she mounts the chariot;
1	15	14	'May no waylayers meet us' , at a cross-way;
1	15	15	'Which the woman’s' , near a cemetery;
1	15	16	The half-verse, 'O tree with thy hundredbranches' , he mutters near a big tree;
1	15	17	'The good protectress' , when she ascends a ship;
1	15	18	'Carrying stones' , when she crosses a river;
1	15	19	Optionally (he) also (murmurs the same verse, if that is done) with the harnessed chariot;
1	15	20	'Up may your wave' , at deep places (in the river);
1	15	21	And (at such places) let her not look out.
1	15	22	The seven verses, 'Here may delight' , when she has reached the house, omitting the verses already employed.
1	16	1	. 'A bull's hide'—this has been declared.
1	16	2	. On that hide the husband makes her sit down and sacrifices, while she takes hold of him, four oblations (with the following formulas),
1	16	3	'With god Agni, with the earth-world of the worlds, and the Rig-veda of the Vedas: therewith I appease thee, N.N., svâhâ!'With god Vâyu, with the air-world of the worlds,with the Yagur-veda of the Vedas: therewith I appease thee, N.N., svâhâ!'With god Sûrya, with the heaven-world of the worlds, with the Sâma-veda of the Vedas: therewith I appease thee, N.N., svâhâ!'With god Kandra, with the world of the quarters (of the horizon) of the worlds, with the Brahma-veda of the Vedas: therewith I appease thee, N.N., svâhâ!'
1	16	4	Or, 'Bhûh! What harm dwells in thee, bringing death to thy husband, death to thy husband's brother, that I make death-bringing to thy paramour, N.N., svâhâ!'—thus the first (of the before-mentioned formulas) may be joined with the first Mahâvyâhriti, the second with the second, the third with the third, the fourth with (the three Mahâvyâhritis) together.
1	16	5	With (the verse), 'With no evil eye' , let him besmear (her) eyes with Âgya salve.
1	16	6	(The bridegroom,) having touched the ends of her hair with the three (verses), 'How may us the resplendent one . . .' ,
1	16	7	And having quickly recited the four verses, 'And those divine medicines' , at the end (of that text) with the word svâhâ (pours out) the remainder on (her) head.
1	16	8	. Here some place a boy of good birth on both sides, in her lap, with this (verse), 'Into thy womb' ,
1	16	9	Or also silently.
1	16	10	Into this (boy's) joined hands (the bridegroom) gives fruits and causes (the Brâhmanas) to wish an auspicious day.
1	16	11	Thus she becomes the mother of male children.
1	16	12	With the rest of the hymn, 'Stay ye here both' , they make them enter the house.
1	17	1	With the verse, 'I praised Dadhikrâvan' , let them drink together curds.
1	17	2	. Let them sit silent, when the sun has set, until the polar-star appears.
1	17	3	He shows her the polar-star with the words, 'Firm be thou, thriving with me!'
1	17	4	Let her say, 'I see the polar-star; may I obtain offspring.'
1	17	5	Through a period of three nights let them refrain from conjugal intercourse.
1	17	6	Let them sleep on the ground.
1	17	7	Let them eat together boiled rice with curds, with the three verses, 'Drink and satiate yourselves' .
1	17	8	Let them serve the nuptial fire in the evening and in the morning with the words, 'To Agni svâhâ! To Agni Svishtakrit svâhâ!'
1	17	9	'Let the two men Mitra and Varuna, let the two men, the Asvins both, let the man Indra and also Agni make a man grow in me. Svâhâ!'—with[paragraph continues] (these words she offers) the first oblation if she is desirous of pregnancy.
1	17	10	For ten days they are not to set out (from home).
1	18	1	Now the rites of the fourth day.
1	18	2	When the three nights have elapsed, he makes offerings of cooked food (with the texts),
1	18	3	. 'Agni! Thou art expiation; thou art the expiation of the gods. What substance dwells in her that brings death to her husband, that drive away from her.'Vâyu! Thou art expiation; thou art the expiation of the gods. What substance dwells in her that brings sonlessness, that drive away from her.'Sûrya! Thou art expiation; thou art the expiation of the gods. What substance dwells in her that brings destruction to the cattle, that drive away from her.'To god Aryaman the girls have made sacrifice, to Agni; may he, god Aryaman, loosen her from this, and not from that place.'To god Varuna the girls have made sacrifice, to Agni; may he, god Varuna, &c.'To god Pûshan the girls have made sacrifice, to Agni; may he, god Pûshan, &c.'
1	18	4	The seventh oblation with the verse, 'Pragâpati' .
1	18	5	The eighth to (Agni) Svishtakrit.
1	19	1	Let him pound the root of the Adhyândâ plant and sprinkle it at the time of her monthly period with the two (verses), 'Speed away from here; a husband has she' , with svâhâ at the end of each, into her right nostril.
1	19	2	'The mouth of the Gandharva Visvâvasu art thou'—with these words let him touch her, when he is about to cohabit with her.
1	19	3	When he has finished, let him murmur,
1	19	4	'Into thy breath I put the sperm, N.N.!'
1	19	5	Or, 'As the earth is pregnant with Agni, as the heaven is with Indra pregnant, as Vâyu dwells in the womb of the regions (of the earth), thus I place an embryo into thy womb, N.N.!'
1	19	6	. Or, 'May a male embryo enter thy womb, as an arrow the quiver; may a man be born here, a son after ten months.'Give birth to a male child; may after him (another) male be born; their mother shalt thou be, of the born, and (to others) mayst thou give birth.'In the male verily, in the man dwells the sperm; he shall pour it forth into the woman: thus has said Dhâtar, thus Pragâpati has said.'Pragâpati has created him, Savitar has shaped him. Imparting birth of females to other (women) may he put here a man.'From the auspicious sperms which the men pro—duce for us, produce thou a son; be a well-breeding cow.'Roar, be strong, put into her an embryo, achieve it; a male, thou male, put into her; to generation we call thee.'Open thy womb; take in the man's sperm; may a male child be begotten in the womb. Him thou shalt bear; (having dwelt) ten months in the womb may he be born, the most excellent of his kin.'
1	20	1	In the third month the Pumsavana (i.e. the ceremony to secure the birth of a male child),
1	20	2	Under (the Nakshatra) Pushya or Sravana.
1	20	3	. Having pounded a Soma stalk, or a Kusa needle, or the last shoot of a Nyagrodha trunk, or the part of a sacrificial post which is exposed to the fire,
1	20	4	Or (having taken) after the completion of a sacrifice the remnants from the Guhû ladle,
1	20	5	. Let him sprinkle it into her right nostril with the four verses, 'By Agni may good' , 'That sperm to us' , 'May he succeed who lights fire' , 'Of tawny shape' , with Svâhâ at the end (of each verse).
1	21	1	In the fourth month the Garbharakshana (i.e. the ceremony for the protection of the embryo),
1	21	2	Sacrificing six oblations from a mess of cooked food with (the six verses of the hymn), 'Agni, joined with the prayer' ,
1	21	3	With (the verses), 'From thy eyes, thy nose' , verse by verse besmearing her limbs with Âgya salve.
1	22	1	In the seventh month, at her first pregnancy, the Sîmantonnayana (or parting of the hair).
1	22	2	He causes her, after she has bathed and put on a (new) garment which has not yet been washed, to sit down behind the fire.
1	22	3	He sacrifices, while she takes hold of him, with the Mahâvyâhritis.
1	22	4	He cooks a mess of food,
1	22	5	According to some (teachers) boiled rice with Mudga beans.
1	22	6	The implements used and the Nakshatra should be of male gender.
1	22	7	(He then sacrifices with the following texts,) 'May Dhâtar give to his worshipper further life and safety; may we obtain the favour of the god whose laws are truthful.'Dhâtar disposes of offspring and wealth; Dhâtar has created this whole world; Dhâtar will give ason to the sacrificer: to him you shall sacrifice, an offering rich in ghee.'(Besides) with the three verses, 'Negamesha, fly away' , and in the sixth place the verse, 'Pragâpati' .
1	22	8	. (The husband then) parts her hair, upwards, beginning from the middle, with a porcupine's quill that has three white spots, or with a Darbha needle together with unripe Udumbara fruits, with the words, 'Bhûr bhuvah svah.'
1	22	9	He lays down (the thing he has used) in her lap,
1	22	10	. Ties (the fruits) to a string of three twisted threads and fastens them to her neck with the words, 'Rich in sap is this tree; like the sappy one be thou fruitful.'
1	22	11	. (The husband) then says to lute-players, 'Sing ye the king—
1	22	12	'Or if anybody else is still more valiant.'
1	22	13	. Having poured fried grain into a water-pot, let him cause her to drink it with the six verses,[paragraph continues] 'May Vishnu take care of thy womb,' 'I call Râkâ' .
1	22	14	Let him then touch her (with the words),
1	22	15	. 'The winged one art thou, the Garutmat; the Trivrit (stoma) is thy head, the Gâyatra thy eye, the metres thy limbs, the Yagus thy name, the Sâman thy body.'
1	22	16	. Let him cause her to sing merrily,
1	22	17	Wearing, if she likes, many gold ornaments.
1	22	18	A bull is the fee for the sacrifice.
1	23	1	Let him pound the roots of the plants kâkâtanî, makakakâtanî, kosâtakî, of the egg-plant, and of the indigo plant, and besmear (therewith) the place in which she is going to be confined, in order to drive away the Rakshas.
1	24	1	. Now the Gâtakarman (i.e. ceremony for the new-born child).
1	24	2	. Let (the father) breathe three times on the new-born child and then draw in his breath with the words, 'Draw in your breath with the Rik, breathe within with the Yagus, breathe forth with the Sâman.'
1	24	3	Let him mix together butter and honey, milk curds and water, or grind together rice and barley, and give it to eat (to the child) thrice from gold (i.e. from a golden vessel or with a golden spoon),
1	24	4	With (the verse), 'I administer to thee honey food for the festival, the wisdom ("veda") raised by Savitar the bountiful; long-living, protected by the gods, live a hundred autumns in this world, N.N.!'(with these words) he gives him a name beginning with a sonant, with a semivowel in it, consisting of two syllables, or of four syllables, or also of six syllables; he should take a krit (suffix), not a taddhita.
1	24	5	That (name only) his father and his mother should know.
1	24	6	On the tenth day a name for common use, which is pleasing to the Brâhmanas.
1	24	7	Let him pulverise black and white and red hairs of a black ox, intermix (that powder) with those four substances , and give it to eat (to the child) four times: such (is the opinion of) Mândûkeya.
1	24	8	. If he likes (let him do so) with the words, 'Bhûh! The Rig-veda I lay into thee, N.N., svâhâ!'Bhuvah! The Yagur-veda I lay into thee, N.N., svâhâ!'Svah! The Sâma-veda I lay into thee, N.N., svâhâ!'Bhûr bhuvah svah! Vâkovâkya (colloquies), Itihâsa, and Purâna—Om! All the Vedas I lay into thee, N.N., svâhâ!'
1	24	9	The production of intelligence (is performed) by thrice saying in his right ear, 'Speech!'
1	24	10	And let him recite over (the child the following text), 'Speech, the goddess, united with mind, together with breath, the child, uttered by Indra—may she rejoice in thee, the goddess, for the sake of joy, the great one, the sweet sounding, the music, full of music, the flowing, self-produced.'
1	24	11	Let him tie a piece of gold to a hempen string,
1	24	12	. And bind it to (the child's) right hand until (the mother) gets up (from childbed).
1	24	13	After the tenth day let him give it to the Brâhmanas,
1	24	14	Or keep it himself.
1	25	1	. After ten days the getting up (of the mother from childbed).
1	25	2	Father and mother with washed heads, wearing (new) clothes which have not yet been washed;
1	25	3	And so also the child.
1	25	4	. Let (the father) cook a mess of food in that same fire that has been kept from her confinement,
1	25	5	And let him make oblations to the Tithi of (the child's) birth and to three constellations with their (presiding) deities.
1	25	6	Let him place in the middle the oblation to that constellation under which (the child) is born; the deity, however, is constantly to precede (the corresponding Nakshatra).
1	25	7	. (He then makes two other oblations with the verses,) '(May) this Agni, the excellent one, (give) thee to-day life for (our) prayers; give us life that we may live long,'—(and,) 'Life-giving, Agni, be strong by Havis; may thy face and thy seat be full of ghee; drinking ghee, the sweet honey of the cow, protect, as a father (protects) his son, here N.N.' The tenth oblation of the mess of cooked food with the verse, 'Thou, Soma, givest bliss to the old one' .
