Aranyaka	Adhyaya	Khanda	Text_no	Hymn
1	1	4	4-6	Indravâyû ime sutâ, â yâtam upa nishkritam, 'Indra and Vâyu, these Somas are prepared, come hither towards what has been prepared.' By nishkrita, prepared, he means what has been well prepared (samskrita).
1	1	4	4	Indra and Vâyu go to what has been prepared by him who knows this, or for whom a Hotri priest who knows this, recites.
1	1	4	5	Rv. I,
1	1	4	2	,
1	1	4	7	Mitram huve pûtadaksham, dhiyam ghritâkîm sâdhantâ, 'I call Mitra of holy strength; (he and Varuna) they fulfil the prayer accompanied with clarified butter.' Verily, speech is the prayer accompanied with clarified butter.
1	1	4	6	Speech is given to him who knows this, or for whom a Hotri priest who knows this, recites.
1	1	4	7	Rv. I,
1	1	4	3	,
1	1	4	1	Asvinâ yagvarîr ishah, 'O Asvinau, (eat) the sacrificial offerings.' Verily, the sacrificial offerings are food, and this serves for the acquirement of food.
1	1	4	8	Rv. I,
1	1	4	3	,
1	1	4	3	Â yâtam rudravartanî, 'Come hither, ye Rudravartanî.'
1	1	4	9	The Asvinau go to the sacrifice of him who knows this, or for whom a Hotri priest who knows this, recites.
1	1	4	10	Rv. I,
1	1	4	3	,
1	1	4	4-6	Indrâ yâhi kitrabhâno, indrâ yâhi dhiyeshitah, indrâ yâhi tûtugâna, 'Come hither, Indra, of bright splendour, Come hither, Indra, called by prayer, Come hither, Indra, quickly!' Thus he recites, Come hither, come hither!
1	1	4	11	Indra comes to the sacrifice of him who knows this, or for whom a Hotri priest who knows this, recites.
1	1	4	12	Rv. I,
1	1	4	3	,
1	1	4	7	Omâsas karshanîdhrito visve devâsa â gata, 'Visve Devas, protectors, supporters of men, come hither!'
1	1	4	13	Verily, the Visve Devas come to the call of him who knows this, or for whom a Hotri priest who knows this, recites.
1	1	4	14	Rv. I,
1	1	4	3	,
1	1	4	7	Dâsvâmso dâsushah sutam, 'Come ye givers to the libation of the giver!' By dâsushah he means dadushah, i. e. to the libation of every one that gives.
1	1	4	15	The gods fulfil his wish, with whatever wish he recites this verse,
1	1	4	16	(The wish of him) who knows this, or for whom a Hotri priest who knows this, recites.
1	1	4	17	Rv. I,
1	1	4	3	,
1	1	4	10	Pâvakâ nah sarasvatî yagñam vashtu dhiyâvasuh, 'May the holy Sarasvatî accept our sacrifice, rich in prayer!' Speech is meant by 'rich in prayer.'
1	1	4	18	Speech is given to him who knows this, or for whom a Hotri priest who knows this, recites.
1	1	4	19	And when he says, 'May she accept our sacrifice!' what he means is, 'May she carry off our sacrifice!'
1	1	4	20	If these verses are recited straight on, they are twenty-one. Man also consists of twenty-one. There are ten fingers on his hands, ten toes on his feet, and the trunk the twenty-first. He adorns that trunk, the twenty-first, by this hymn .
1	1	4	21	By repeating the first and the last verses thrice, they become twenty-five. The trunk is the twenty-fifth, and Pragâpati is the twenty-fifth. There are ten fingers on his hands, ten toes on his feet, two legs, two arms, and the trunk the twenty-fifth. He adorns that trunk, the twenty-fifth, by this hymn'.Now this day consists of twenty-five, and the Stoma hymn of that day consists of twenty-five: it becomes the same through the same. Therefore these two, the day and the hymn, are twenty-five, yea, twenty-five.
1	2	1	1	The two trikas, Rv. VIII,
1	2	1	68	,
1	2	1	1-3	, â tvâ ratham yathotaye, and Rv. VIII,
1	2	1	2	,
1	2	1	1-3	, idam vaso sutam andhah, form the first (pratipad) and the second (anukara) of the Marutvatîya hymn.
1	2	1	2	Both, as belonging to the one-day ceremonial , are perfect in form. On that day much is done now and then which has to be hidden, and has to be atoned for. Atonement is rest, the one-day sacrifice. Therefore at the end of the year the sacrificers rest on this atonement as their rest. He who knows this rests firm, and they also for whom a Hotri priest who knows this, recites this hymn .
1	2	1	3	In the second verse of (the Pragâtha ), indra nedîya ed ihi, pra sû tirâ sakîbhir ye ta ukthinah , there occurs the word ukthinah, reciters of hymns . Verily, this day (the mahâvrata) is an uktha (hymn), and as endowed with an uktha, the form of this day is perfect.
1	2	1	4	In the first verse (of another Pragâtha) the word vîra, strong, occurs , and as endowed with the word vîra, strong, the form of this day is perfect.
1	2	1	5	In the second verse (of another Pragâtha) the word suvîryam, strength, occurs , and as endowed with the word suvîrya, strength, the form of this day is perfect.
1	2	1	6	In the first verse (of another Pragâtha) the word ukthyam, to be hymned, occurs . Verily, this day is an uktha, and as endowed with an uktha, the form of this day is perfect.
1	2	1	7	In the (Dhayyâ) verse agnir netâ  the word vritrahâ, killer of Vritra, occurs. The killing of Vritra is a form (character) of Indra, this day (the mahâvrata) belongs to Indra, and this is the (perfect) form of that day.
1	2	1	8	In the (Dhayyâ) verse tvam soma kratubhih sukratur bhûh  the word vrishâ , powerful, occurs. Powerful is a form (character) of Indra, this day belongs to Indra, and this is the (perfect) form of that day.
1	2	1	9	In the (Dhayyâ) verse pinvanty apah  the word vâginam, endowed with food, occurs. Endowed with food is a form (character) of Indra, this day belongs to Indra, and this is the (perfect) form of that day.
1	2	1	10	In the same verse the word stanayantam, thundering, occurs. Endowed with thundering is a form (character) of Indra, this day belongs to Indra, and this is the (perfect) form of that day.
1	2	1	11	In (the Pragâtha) pra va indrâya brihate  (the word brihat occurs). Verily, brihat is mahat (great), and as endowed with mahat, great, the form of this day (mahâvrata) is perfect.
1	2	1	12	In (the Pragâtha) brihad indrâya gâyata [paragraph continues] (the word brihat occurs). Verily, brihat is mahat (great), and as endowed with mahat, the form of this day is perfect.
1	2	1	13	In (the Pragâtha) nakih sudâso ratham pary âsa na rîramad  the words paryâsa (he moved round) and na rîramad (he did not enjoy) occur, and as endowed with the words paryasta and rânti the form of this day is perfect .He recites all (these) Pragâthas, in order to obtain all the days (of the sacrifice), all the Ukthas , all the Prishthas , all the Sastras , all the Pra-ugas , and all the Savanas (libations).
1	2	2	1	He recites the hymn, asat su me garitah sâbhivegah , (and in. it the word) satyadhvritam, the destroyer of truth. Verily, that dayis truth, and as endowed with the word satya, truth, the form of this day is perfect .
1	2	2	2	That hymn is composed by Vasukra. Verily, Vasukra is Brahman, and that day is Brahman. Thus he obtains Brahman by means of Brahman .
1	2	2	3	Here they say: 'Why then is that Marutvatîya, hymn completed by the hymn of Vasukra?' Surely because no other Rishi but Vasukra brought out a Marutvatîya hymn, or divided it properly . Therefore that Marutvatîya hymn is completed by the hymn of Vasukra.
1	2	2	4	That hymn, asat su me, is not definitely addressed to any deity, and is therefore supposed to be addressed to Pragâpati. Verily, Pragâpati is indefinite, and therefore the hymn serves to win Pragâpati.
1	2	2	5	Once in the hymn  he defines Indra (indrâya sunvat); therefore it does not fall off from its form, as connected with Indra.
1	2	2	6	He recites the hymn  pibâ somam abhi yam ugra tardah.
1	2	2	7	In the verse ûrvam gavyam mahi grinâna indra the word mahi, great, occurs. Endowed with the word mahat, the form of this day is perfect.
1	2	2	8	That hymn is composed by Bharadvâga, and Bharadvâga was he who knew most, who lived longest, and performed the greatest austerities among the Rishis, and by this hymn he drove away evil. Therefore if he recites the hymn of Bharadvâga,then, after having driven away evil, he becomes learned, long-lived, and full of austerities.
1	2	2	9	He recites the hymn kayâ subhâ savayasah sanîlâh .
1	2	2	10	In the verse â sâsate prati haryanty ukthâ  the word uktha occurs. Verily, that day (the mahâvrata) is uktha (hymn). Endowed with the word uktha, the form of this day becomes perfect.
1	2	2	11	That hymn is called Kayâsubhîya . Verily, that hymn, which is called Kayâsubhîya, is mutual understanding and it is lasting. By means of it Indra, Agastya, and the Maruts came to a mutual understanding. Therefore, if he recites the Kayâsubhîya hymn, it serves for mutual understanding.
1	2	2	12	The same hymn is also long life. Therefore, if the sacrificer is dear to the Hotri, let him recite the Kayâsubhîya hymn for him.
1	2	2	13	He recites the hymn marutvân indra vrishabo ranâya .
1	2	2	14	In it the words indra vrishabha (powerful) occur. Verily, powerful is a form of Indra , this day belongs to Indra, and this is the perfect form of that day.
1	2	2	15	That hymn is composed by Visvâmitra. Verily, Visvâmitra was the friend (mitra) of all (visva).
1	2	2	16	Everybody is the friend of him who knows this, and for whom a Hotri priest who knows this, recites this hymn.
1	2	2	17	The next hymn, ganishthâ ugrah sahase turâya , forms a Nividdhâna , and,according to the one-day (ekâha) ceremonial, is perfect in form. On that day much is done now and then which has to be hidden, and has to be atoned for (by recitation of hymns). Atonement is rest, the one-day sacrifice. Therefore at the end of the year (on the last day but one of the sacrifice that lasts a whole year) the sacrificers rest on this atonement as their rest.He who knows this rests firm, and they also for whom a Hotri priest who knows this, recites this hymn .
1	2	2	18	These, if recited straight on, are ninety-seven verses . The ninety are three Virâg, each consisting of thirty, and then the seven verses which are over. Whatever is the praise of the seven, is the praise of ninety also.
1	2	2	19	By repeating the first and last verses three times each, they become one hundred and one verses.
1	2	2	20	There are five fingers, of four joints each, two pits (in the elbow and the arm), the arm, the eye, the shoulder-blade; this makes twenty-five. The other three parts have likewise twenty-five each . That makes a hundred, and the trunk is the one hundred and first.
1	2	2	21	Hundred is life, health, strength, brightness. The sacrificer as the one hundred and first rests in life, health, strength, and brightness.
1	2	2	22	These verses become Trishtubh , for the noonday-libation consists of Trishtubh verses.
1	2	3	1	They say: 'What is the meaning of preṅkha, swing?' Verily, he is the swing, who blows (the wind). He indeed goes forward (pra + iṅkhate) in these worlds, and that is why the swing is called preṅkha.
1	2	3	2	Some say, that there should be one plank, because the wind blows in one way, and it should be like the wind.
1	2	3	3	That is not to be regarded.
1	2	3	4	Some say, there should be three planks, because there are these three threefold worlds, and it should be like them.
1	2	3	5	That is not to be regarded.
1	2	3	6	Let there be two, for these two worlds (the earth and heaven) are seen as if most real, while the ether (space) between the two is the sky (antariksha). Therefore let there be two planks.
1	2	3	7	Let them be made of Udumbara wood. Verily, the Udumbara tree is sap and eatable food, and thus it serves to obtain sap and eatable food.
1	2	3	8	Let them be elevated in the middle (between the earth and the cross-beam). Food, if placed in the middle, delights man, and thus he places the sacrificer in the middle of eatable food.
1	2	3	9	There are two kinds of rope, twisted towards the right and twisted towards the left. The right ropes serve for some animals, the left ropes for others. If there are both kinds of rope, they serve for the attainment of both kinds of cattle.
1	2	3	10	Let them be made of Darbha (Kusa grass), for among plants Darbha is free from evil, therefore they should be made of Darbha grass.
1	2	4	1	Some say: 'Let the swing be one ell (aratni) above the ground, for by that measure verily the Svarga worlds are measured.' That is not to be regarded.
1	2	4	2	Others say: 'Let it be one span (prâdesa), for by that measure verily the vital airs were measured.' That is not to be regarded .
1	2	4	3	Let it be one fist (mushti), for by that measure verily all eatable food is made, and by that measureall eatable food is taken; therefore let it be one fist above the ground.
1	2	4	4	They say: 'Let him mount the swing from east to west, like he who shines; for the sun mounts these worlds from east to west.' That is not to be regarded.
1	2	4	5	Others say: 'Let him mount the swing sideways, for people mount a horse sideways , thinking that thus they will obtain all desires.' That is not to be regarded.
1	2	4	6	They say: 'Let him mount the swing  from behind, for people mount a ship from behind, and this swing is a ship in which to go to heaven.' Therefore let him mount it from behind.
1	2	4	7	Let him touch the swing with his chin (khubuka). The parrot (suka) thus mounts a tree, and he is of all birds the one who eats most food. Therefore let him touch it with his chin.
1	2	4	8	Let him mount the swing with his arms . The hawk swoops thus on birds and on trees, and he is of all birds the strongest. Therefore let him mount with his arms.
1	2	4	9	Let him not withdraw one foot (the right or left) from the earth, for fear that he may lose his hold.
1	2	4	10	The Hotri mounts the swing, the Udgâtri the seat made of Udumbara wood. The swing is masculine, the seat feminine, and they form a union. Thus he makes a union at the beginning of the uktha in order to get offspring.He who knows this, gets offspring and cattle.
1	2	4	12	Next the swing is food, the seat fortune. Thus he mounts and obtains food and fortune.
1	2	4	13	The Hotrakas (the Prasâstri, Brâhmanâkkhamsin, Potri, Neshtri, Agnâdhra, and Akkhâvâka) together with the Brahman sit down on cushions made of grass, reeds, leaves, &c.
1	2	4	14	Plants and trees, after they have grown up, bear fruit. Thus if the priests mount on that day altogether (on their seats), they mount on solid and fluid as their proper food. Therefore this serves for the attainment of solid as proper food .
1	2	4	15	Some say: 'Let him descend after saying vashat . 'That is not to be regarded. For, verily, that respect is not shown which is shown to one who does not see it .
1	2	4	16	Others say: 'Let him descend after he has taken the food in his hand.' That is not to be regarded. For, verily, that respect is not shown which is shown to one after he has approached quite close.
1	2	4	17	Let him descend after he has seen the food. For, verily, that is real respect which is shown to one when he sees it. Only after having actuallyseen the food (that is brought to the sacrifice), let him descend from the swing.
1	2	4	18	Let him descend turning towards the east, for in the east the seed of the gods springs up . Therefore let him rise turning towards the east, yea, turning towards the east.
1	3	1	1	Let him begin this day  with singing 'Him,' thus they say.
1	3	1	2	Verily, the sound Him is Brahman, that day also is Brahman. He who knows this, obtains Brahman even by Brahman.
1	3	1	3	As he begins with the sound Him, surely that masculine sound of Him and the feminine Rik (the verse) make a couple. Thus he makes a couple at the beginning of the hymn in order to get offspring . He who knows this, gets cattle and offspring.
1	3	1	4	Or, as he begins with the sound Him, surely like a wooden spade, so the sound Him serves to dig up Brahman (the sap of the Veda). And as a man wishes to dig up any, even the hardest soil, with a spade, thus he digs up Brahman.
1	3	1	5	He who knows this digs up, by means of the sound Him, everything he may desire.
1	3	1	6	If he begins with the sound Him, that sound is the holding apart of divine and human speech.Therefore, he who begins, after having uttered the sound Him, holds apart divine and human speech .
1	3	2	1	And here they ask: 'What is the beginning of this day?' Let him say: 'Mind and speech .'
1	3	2	2	All desires dwell in the one (mind), the other yields all desires.
1	3	2	3	All desires dwell in the mind, for with the mind he conceives all desires.
1	3	2	4	All desires come to him who knows this.
1	3	2	5	Speech yields all desires, for with speech he declares all his desires.
1	3	2	6	Speech yields all desires to him who knows this.
1	3	2	7	Here they say: 'Let him not begin this day with a Rik, a Yagus, or a Sâman verse (divine speech), for it is said, he should not start with a Rik, a Yagus, or a Sâman .'
1	3	2	8	Therefore, let him say these Vyâhritis (sacred interjections) first.
1	3	2	9	These interjections Bhûs, Bhuvas, Svar are the three Vedas, Bhûs the Rig-veda, Bhuvas the Yagur-veda, Svar the Sâma-veda. Therefore (byintercalating these) he does not begin simply with a Rik, Yagus, or Sâman verse, he does not start with a Rik, Yagus, or Sâman verse.
1	3	3	1	He begins with tad, this, (the first word of the first hymn, tad id âsa). Verily 'this, this' is food, and thus he obtains food.
1	3	3	2	Pragâpati indeed uttered this as the first word, consisting of one or two syllables, viz. tata and tâta (or tat) . And thus does a child, as soon as he begins to speak, utter the word, consisting of one or two syllables, viz. tata and tâta (or tat). With this very word, consisting of tat or tatta, he begins.
1	3	3	3	This has been said by a Rishi  :--
1	3	3	4	'O Brihaspati, the first point of speech;'--for this is the first and highest point of speech.
1	3	3	5	'That which you have uttered, making it a name;'--for names are made by speech.
1	3	3	6	'That (name) which was the best and without a flaw;'--for this is the best and without a flaw.
1	3	3	7	'That which was hidden by their love, is made manifest;'--for this was hidden in the body, viz. those deities (which enter the body, Agni as voice, entering the mouth, &c.); and that was manifest among the gods in heaven. This is what was intended by the verse.
1	3	4	1	He begins with: 'That indeed was the oldest in the worlds ;'--for that (the Brahman) is verily the oldest in the worlds.
1	3	4	2	'Whence was born the fierce one, endowed with brilliant force;'--for from it was born the fierce one, who is endowed with brilliant force.
1	3	4	3	'When born he at once destroys the enemies;'--for he at once when born struck down the evil one.
1	3	4	4	'He after whom all friends rejoice;'--verily all friends are the creatures, and they rejoice after him, saying, 'He has risen, he has risen .'
1	3	4	5	'Growing by strength, the almighty ;'--for he (the sun) does grow by strength, the almighty.
1	3	4	6	'He, as enemy, causes fear to the slave;'--for everything is afraid of him.
1	3	4	7	'Taking the breathing and the not-breathing;'--this means the living and the lifeless.
1	3	4	8	'Whatever has been offered at feasts came to thee;'--this means everything is in thy power.
1	3	4	9	'All turn their thought also on thee ;'--thismeans all these beings, all minds, all thoughts also turn to thee.
1	3	4	10	'When these two become three protectors;'--i. e. when these two united beget offspring.
1	3	4	11	He who knows this, gets offspring and cattle.
1	3	4	12	'Join what is sweeter than sweet (offspring) with the sweet (the parents);'--for the couple (father and mother) is sweet, the offspring is sweet, and he thus joins the offspring with the couple.
1	3	4	13	'And this (the son, when married) being very sweet, conquered through the sweet;'--i. e. the couple is sweet, the offspring is sweet, and thus through the couple he conquers offspring .
1	3	4	14	This is declared by a Rishi : 'Because he (Pragâpati) raised his body (the hymn tad id âsa or the Veda in general) in the body (of the sacrificer)' (therefore that Nishkevalya hymn is praised);--i. e. this body, consisting of the Veda, in that corporeal form (of the sacrificer).
1	3	4	15	'Then let this body indeed be the medicine of that body;'--i. e. this body, consisting of the Veda, of that corporeal form (of the sacrificer).
1	3	4	16	Of this  the eight syllables are Gâyatrî, the eleven syllables are Trishtubh, the twelve syllables are Gagatî, the ten syllables are Virâg. The Virâg, consisting of ten syllables, rests in these three metres .
1	3	4	17	The word purusha, consisting of three syllables, that indeed goes into the Virâg .
1	3	4	18	Verily, these are all metres, these (Gâyatrî, Trishtubh, Gagatî) having the Virâg as the fourth. In this manner this day is complete in all metres to him who knows this.
1	3	5	1	He extends these (verses) by (interpolating) the sound . Verily, the sound is purusha, man. Therefore every man when he speaks, sounds loud, as it were.
1	3	5	2	At the end of each foot of the first verse of the hymn tad id âsa, he inserts one foot of the second verse of hymn Rv. VIII,
1	3	5	69	, nadam va odatînâm, &c. Thus the verse is to be recited as follows:Tad id âsa bhuvaneshu gyeshtham pu     nadam va odatînâm, Yato gagña ugras tveshanrimno ru     nadam yoyuvatînâm, Sadyo gagñâno ni rinâti satrûn     patim vo aghnyânâm, Anu yam visve madanti ûmâh sho     dhenûnâm ishudhyasi.In nadam va odatînâm , odati  are the waters in heaven, for they water all this; and they are the waters in the mouth, for they water all good food.
1	3	5	3	In nadam yoyuvatînâm , yoyuvatî are the waters in the sky, for they seem to inundate; and they are the waters of perspiration, for they seem to run continually.
1	3	5	4	In patim vo aghnyânâm , aghnyâ are the waters which spring from the smoke of fire, and they are the waters which spring from the organ.
1	3	5	5	In dhenûnâm ishudhyasi , the dhenu (cows) are the waters, for they delight all this; and ishudhyasi means, thou art food.
1	3	5	6	He extends a Trishtubh and an Anushtubh . Trishtubh is the man, Anushtubh the wife, and they make a couple. Therefore does a man, after having found a wife, consider himself a more perfect man.
1	3	5	7	These verses, by repeating the first three times, become twenty-five. The trunk is the twenty-fifth, and Pragâpati is the twenty-fifth . There are ten fingers on his hands, ten toes on his feet, two legs, two arms, and the trunk the twenty-fifth. He adorns that trunk as the twenty-fifth. Now this day consists of twenty-five, and the Stoma hymn of that day consists of twenty-five: it becomes the samethrough the same. Therefore the two, the day and the hymn, are twenty-five .
1	3	7	1	He begins with the hymn, Tad id âsa, bhuvaneshu gyeshtham . Verily, gyeshtha, the oldest, is mahat, great. Endowed with mahat the form of this day is perfect.
1	3	7	2	Then follows the hymn, Tâm su te kîrtim maghavan mahitvâ , with the auspicious word mahitvâ.
1	3	7	3	Then follows the hymn, Bhûya id vavridhe vîryâya , with the auspicious word vîrya.
1	3	7	4	Then follows the hymn, Nrinâm u tvâ nritamam gobhir ukthaih , with the auspicious word uktha.
1	3	7	5	He extends the first two pâdas, which are too small, by one syllable  . Into the small heart the vital spirits are placed, into the small stomach food is placed. Itserves for the attainment of these desires. He who knows this, obtains these desires.
1	3	7	6	The two feet, each consisting of ten syllables , serve for the gaining of both kinds of food , of what has feet (animal food), and what has no feet (vegetable food).
1	3	7	7	They come to be of eighteen syllables each . Of those which are ten, nine are the prânas (openings of the body) , the tenth is the (vital) self. This is the perfection of the (vital) self; Eight syllables remain in each. He who knows them, obtains whatever he desires.
1	3	8	1	He extends (these verses) by (interpolating) the sound . Verily, breath (prâna) is sound. Therefore every breath when it sounds, sounds loud, as it were.
1	3	8	2	The verse  nadam va odatînâm, &c., is by its syllables an Ushnih , by its feet an Anushtubh . Ushnih is life, Anushtubh, speech. He thus places life and speech in him (the sacrificer.)
1	3	8	3	By repeating the first verse three times, theybecome twenty-five. The trunk is the twenty-fifth, and Pragâpati is the twenty-fifth. There are ten fingers on his hands, ten toes on his feet, two legs, two arms, and the trunk the twenty-fifth. He adorns that trunk as the twenty-fifth. Now this day consists of twenty-five, and the Stoma hymn of that day consists of twenty-five: it becomes the same through the same. Therefore the two, the day and the hymn, are twenty-five. This is the twenty-fifth with regard to the body.
1	3	8	4	Next, with regard to the deities: The eye, the ear, the mind, speech, and breath, these five deities (powers) have entered into that person (purusha), and that person entered into the five deities. He is wholly pervaded there with his limbs to the very hairs and nails. Therefore all beings to the very insects are born as pervaded (by the deities or senses) .
1	3	8	5	This has been declared by a Rishi :--
1	3	8	6	'A thousandfold are these fifteen hymns;'--for five arise from ten .
1	3	8	7	'As large as heaven and earth, so large is it;'--verily, the self (gîvâtman) is as large as heaven and earth.
1	3	8	8	'A thousandfold are the thousand powers ;'--by saying this the poet pleases the hymns (the senses), and magnifies them.
1	3	8	9	'As far as Brahman reaches, so far reaches speech;'--wherever there is Brahman, there is a word; and wherever there is a word, there is Brahman, this was intended.
1	3	8	10	The first of the hymns among all those hymns has nine verses. Verily, there are nine prânas (openings), and it serves for their benefit.
1	3	8	11	Then follows a hymn of six verses. Verily, the seasons are six, and it serves to obtain them.
1	3	8	12	Then follows a hymn of five verses. Verily' the Paṅkti consists of five feet. Verily, Paṅkti is food, and it serves for the gaining of proper food.
1	3	8	13	Then follows a tristich. Three are these threefold worlds, and it serves to conquer them.
1	3	8	14	These verses become Brihatîs , that metre being immortal, leading to the world of the Devas. That body of verses is the trunk (of the bird represented by the whole sastra), and thus it is. He who knows this comes by this way (by making the verses the trunk of the bird) near to the immortal Self, yea, to the immortal Self .
1	4	1	1	Next comes the Sûdadohas  verse. Sûdadohas is breath, and thereby he joins all joints with breath.
1	4	1	2	Next follow the neck verses. They recite them as Ushnih, according to their metre .
1	4	1	3	Next comes (again) the Sûdadohas verse. Sûdadohas is breath, and thereby he joins all joints with breath.
1	4	1	4	Next follows the head. That is in Gâyatrî verses. The Gâyatrî is the beginning of all metres ; the head the first of all members. It is in Arkavat verses  . Arka is Agni. They are nine verses. The head consists of nine pieces. He recites the tenth verse, and that is the skin and the hairs on the head. It serves for reciting one verse more than (the nine verses contained in) the Stoma .[paragraph continues] These form the Trivrit Stoma and the Gâyatrî metre, and whatever there exists, all this is produced after the production of this Stoma and this metre. Therefore the recitation of these head-hymns serves for production.
