Pransa_no	Patala_no	Khanda_no	Text_no	Hymn
1	1	3	29	A Kshatriya (inserting the word) 'Lady' in the middle (between the words 'give alms');
1	1	3	30	A Vaisya, adding the word 'Lady' (at the end of the formula).
1	1	3	31	(The pupil) having taken those (alms) shall place them before his teacher and offer them to him.
1	1	3	32	He may eat (the food) after having been ordered to do so by his teacher.
1	1	3	33	If the teacher is absent, the pupil (shall offer the food) to (a member of) the teacher's family.
1	1	3	34	If the (family of the teacher) is (also) absent, the pupil (may offer the food) to other learned Brâhmanas (Srotriyas) also (and receive from them the permission to eat).
1	1	3	35	He shall not beg for his own sake (alone).
1	1	3	36	After he has eaten, he himself shall clean his dish.
1	1	3	37	And he shall leave no residue (in his dish).
1	1	3	38	If he cannot (eat all that he has taken in his dish), he shall bury (the remainder) in the ground;
1	1	3	39	Or he may throw it into the water;
1	1	3	40	Or he may place (all that remains in a pot), and put it down near an (uninitiated) Ârya;
1	1	3	41	Or (he may put it down) near a Sûdra slave (belonging to his teacher).
1	1	3	42	If (the pupil) is on a journey, he shall throw a part of the alms into the fire and eat (the remainder).
1	1	3	43	Alms are declared to be sacrificial food. In regard to them the teacher (holds the position which) a deity (holds in regard to food offered at a sacrifice).
1	1	3	44	And (the teacher holds also the place which) the Âhavanîya fire occupies (at a sacrifice, because a portion of the alms is offered in the fire of his stomach).
1	1	3	45	To him (the teacher) the (student) shall offer (a portion of the alms),
1	1	4	1	And (having done so) eat what is left.
1	1	4	2	For this (remnant of food) is certainly a remnant of sacrificial food.If he obtains other things (besides food, such as cattle or fuel, and gives them to his teacher) as he obtains them, then those (things hold the place of) rewards (given to priests for the performance of a sacrifice).
1	1	4	4	This is the sacrifice to be performed daily by a religious student.
1	1	4	5	And (the teacher) shall not give him anything that is forbidden by the revealed texts, (not even as) leavings,
1	1	4	6	Such as pungent condiments, salt, honey, or meat (and the like).
1	1	4	7	By this (last Sûtra it is) explained (that) the other restrictions (imposed upon a student, such as abstinence from perfumes, ointments, &c., are likewise not to be broken).
1	1	4	8	For (explicit) revealed texts have greater force than custom from which (the existence of a permissive passage of the revelation) may be inferred.
1	1	4	9	Besides (in this particular case) a (worldly) motive for the practice is apparent.
1	1	4	10	For pleasure is obtained (by eating or using the forbidden substances).
1	1	4	11	A residue of food left by a father and an elder brother, may be eaten.
1	1	4	12	If they act contrary to the law, he must not eat (their leavings).
1	1	4	13	In the evening and in the morning he shall fetch water in a vessel (for the use of his teacher).
1	1	4	14	Daily he shall fetch fuel from the forest, and place it on the floor (in his teacher's house).
1	1	4	15	He shall not go to fetch firewood after sunset.
1	1	4	16	After having kindled the fire, and having swept the ground around (the altar), he shall place the sacred fuel on the fire every morning and evening, according to the prescription (of the Grihya-sûtra).
1	1	4	17	Some say that the fire is only to be worshipped in the evening.
1	1	4	18	He shall sweep the place around the fire after it has been made to burn (by the addition of fuel), with his hand, and not with the broom (of Kusa grass).
1	1	4	19	But, before (adding the fuel, he is free to use the broom) at his pleasure
1	1	4	20	He shall not perform non-religious acts with the residue of the water employed for the fire-worship, nor sip it.
1	1	4	21	He shall not sip water which has been stirred with the hand, nor such as has been received into one hand only.
1	1	4	22	And he shall avoid sleep (whilst his teacher is awake).
1	1	4	23	Then (after having risen) he shall assist his teacher daily by acts tending to the acquisition of spiritual merit and of wealth.
1	1	4	24	Having served (his teacher during the day in this manner, he shall say when going to bed): I have protected the protector of the law (my teacher).
1	1	4	25	If the teacher transgresses the law through carelessness or knowingly, he shall point it out to him privately.
1	1	4	26	If (the teacher) does not cease (to transgress), he himself shall perform the religious acts (which ought to be performed by the former);
1	1	4	27	Or he may return home.
1	1	4	28	Now of him who rises before (his teacher) and goes to rest after (him), they say that he does not sleep.
1	1	4	29	The student who thus entirely fixes his mind there (in the teacher's family), has thereby performed all acts which yield rewards (such as the Gyotishtoma), and also those which must be performed by a householder.
1	2	5	1	The word 'austerity' (must be understood to apply) to (the observance of) the rules (of studentship).
1	2	5	2	If they are transgressed, study drives out the knowledge of the Veda acquired already, from the (offender) and from his children.
1	2	5	3	Besides he will go to hell, and his life will be shortened.
1	2	5	4	On account of that (transgression of the rules of studentship) no Rishis are born amongst the men of later ages.
1	2	5	5	But some in their new birth, on account of a residue of the merit acquired by their actions (in former lives), become (similar to) Rishis by their knowledge (of the Veda),
1	2	5	6	Like Svetaketu.
1	2	5	7	And whatever else besides the Veda, (a student) who obeys the rules learns from his teacher, that brings the same reward as the Veda.
1	2	5	8	Also, if desirous to accomplish something (beit good or evil), he thinks it in his mind, or pronounces it in words, or looks upon it with his eye, even so it will be; thus teach (those who know the law).
1	2	5	9	(The duties of a student consist in) acts to please the spiritual teacher, the observance (of rules) conducive to his own welfare, and industry in studying.
1	2	5	10	Acts other than these need not be performed by a student.
1	2	5	11	A religious student who retains what he has learned, who finds pleasure in the fulfilment of the law, who keeps the rules of studentship, who is upright and forgiving, attains perfection.
1	2	5	12	Every day he shall rise in the last watch of the night, and standing near his teacher, salute him with (this) salutation: I, N. N., ho! (salute thee.)
1	2	5	13	And (he shall salute) before the morning meal also other very aged (learned Brâhmanas) who may live in the same village.
1	2	5	14	If he has been on a journey, (he shall salute the persons mentioned) when he meets them on his, return.
1	2	5	15	(He may also salute the persons mentioned at other times), if he is desirous of heaven and long life.
1	2	5	16	A Brâhmana. shall salute stretching forward his right arm on a level with his ear, a Kshatriya holding it on a level with the breast, a Vaisya holding it on a level with the waist, a Sûdra holding it low, (and) stretching forward the joined hands.
1	2	5	17	And when returning the salute of (a man belonging) to the first (three) castes, the (last syllable of the) name (of the person addressed) is produced to the length of three moras.
1	2	5	18	But when he meets his teacher after sunrise (coming for his lesson), he shall embrace (his feet).
1	2	5	19	On all other occasions he shall salute (him in the manner described above).
1	2	5	20	But some declare that he ought to embrace the (feet of his) teacher (at every occasion instead of saluting him).
1	2	5	21	Having stroked the teacher's right foot with his right hand below and above, he takes hold of it and of the ankle.
1	2	5	22	Some say, that he must press both feet, each with both hands, and embrace them.
1	2	5	23	He shall be very attentive the whole day long, never allowing his mind to wander from the lesson during the (time devoted to) studying.
1	2	5	24	And (at other times he shall be attentive) to the business of his teacher.
1	2	5	25	And during the time for rest (he shall give) his mind (to doubtful passages of the lesson learnt).
1	2	5	26	And he shall study after having been called by the teacher (and not request the teacher to begin the lesson).
1	2	6	1	Every day he shall put his teacher to bed after having washed his (teacher's) feet and after having rubbed him.
1	2	6	2	He shall retire to rest after having received (the teacher's permission).
1	2	6	3	And he shall not stretch out his feet towards him.
1	2	6	4	Some say, that it is not (sinful) to stretch out the feet (towards the teacher), if he be lying on a bed.
1	2	6	5	And he shall not address (the teacher), whilst he himself is in a reclining position.
1	2	6	6	But he may answer (the teacher) sitting (if the teacher himself is sitting or lying down).
1	2	6	7	And if (the teacher) stands, (he shall answer him,) after having risen also.
1	2	6	8	He shall walk after him, if he walks.
1	2	6	9	He shall run after him, if he runs.
1	2	6	10	He shall not approach (his teacher) with shoes on his feet, or his head covered, or holding (implements) in his hand.
1	2	6	11	But on a journey or occupied in work, he may approach him (with shoes on, with his head covered, or with implements in his hand),
1	2	6	12	Provided he does not sit down quite near (to his teacher).
1	2	6	13	He shall approach his teacher with the same reverence as a deity, without telling idle stories, attentive and listening eagerly to his words.
1	2	6	14	(He shall not sit near him). with his legs crossed.
1	2	6	15	If (on sitting down) the wind blows from the pupil towards the master, he shall change his place.
1	2	6	16	(He shall sit) without supporting himself with his hands (on the ground),
1	2	6	17	Without leaning against something (as a wall or the like).
1	2	6	18	If the pupil wears two garments, he shall wear the upper one after the fashion of the sacred thread at the sacrifices.
1	2	6	19	But, if he wears a (lower) garment only, he shall wrap it around the lower part of his body.
1	2	6	20	He shall turn his face towards his teacher though the latter does not turn his towards him.
1	2	6	21	He shall sit neither too near to, nor too far (from the teacher),
1	2	6	22	(But) at such a distance, that (the teacher) may be able to reach him with his arms (without rising).
1	2	6	23	(He shall not sit in such a position) that the wind blows from the teacher, towards himself.
1	2	6	24	(If there is) only one pupil, he shall sit at the right hand (of the teacher).
1	2	6	25	(If there are) many, (they may sit) as it may be convenient.
1	2	6	26	If the master (is not honoured with a seat and) stands, the (pupil) shall not sit down.
1	2	6	27	(If the master is not honoured with a couch) and sits, the (pupil) shall not lie down on a couch.
1	2	6	28	And if the teacher tries (to do something), then (the pupil) shall offer to do it for him, if it is in his power.
1	2	6	29	And, if his teacher is near, he shall not embrace (the feet of) another Guru who is inferior (in dignity),
1	2	6	30	Nor shall he praise (such a person in the teacher's presence) by (pronouncing the name of) his family.
1	2	6	31	Nor, shall he rise to meet such an (inferior Guru) or rise after him,
1	2	6	32	Even if he be a Guru of his teacher.
1	2	6	33	But he shall leave his place and his seat, (in order to show him honour.)
1	2	6	34	Some say, that (he may address) a pupil of his teacher by (pronouncing) his name, if he is also one of his (the pupil's) own Gurus.
1	2	6	35	But towards such a person who is generally revered for some other reason than being the teacher (e.g. for his learning), the (student) should behave as towards his teacher, though he be inferior in dignity to the latter.
1	2	6	36	After having eaten in his (teacher's) presence, he shall not give away the remainder of the food without rising.
1	2	6	37	Nor shall he sip water (after having eaten in the presence of his teacher without rising).
1	2	6	38	(He shall rise) addressing him (with these words), 'What shall I do?'
1	2	7	1	Or he may rise silently.
1	2	7	2	Nor shall he (in going away) move around his teacher with his left hand turned towards him; he shall go away after having walked around him with his right side turned towards him.
1	2	7	3	He shall not look at a naked woman.
1	2	7	4	He shall not cut the (leaves or flowers) of herbs or trees, in order to smell at them.
1	2	7	5	He shall avoid (the use of) shoes, of an umbrella a chariot, and the like (luxuries).
1	2	7	6	He shall not smile.
1	2	7	7	If he smiles, he shall smile covering (the mouth with his hand); thus says a Brâhmana.
1	2	7	8	He shall not touch a woman with his face, in order to inhale the fragrance of her body.
1	2	7	9	Nor shall he desire her in his heart.
1	2	7	10	Nor shall he touch (a woman at all) without a particular reason.
1	2	7	11	A Brâhmana declares, 'He shall be dusty, be shall have dirty teeth, and speak the truth.'
1	2	7	12	Those teachers, who instructed his teacher in that science which he (the pupil) studies with him, (are to be considered as) spiritual teachers (by the pupil).
1	2	7	13	But if (a teacher), before the eyes of his (pupil), embraces the feet of any other persons, then he (the pupil also) must embrace their feet, (as long as he remains) in that (state of studentship).
1	2	7	14	If (a pupil) has more than one teacher, the alms (collected by him) are at the disposal of him to whom he is (just then) bound.
1	2	7	15	When (a student) has returned home (from his teacher), he shall give (whatever he may obtain by begging or otherwise) to his mother.
1	2	7	16	The mother shall give it to her husband;
1	2	7	17	(And) the husband to the (student's) teacher.
1	2	7	18	Or he may use it for religious ceremonies.
1	2	7	19	After having studied as many (branches of) sacred learning as he can, he shall procure in a righteous manner the fee for (the teaching of) the Veda (to be given to his teacher), according to his power.
1	2	7	20	But, if the teacher has fallen into distress, he may take (the fee) from an Ugra or from a Sûdra.
1	2	7	21	But some declare, that it is lawful at any time to take the money for the teacher from an Ugra or from a Sûdra.
1	2	7	22	And having paid (the fee), he shall not boast of having done so.
1	2	7	23	And he shall not remember what he may have done (for his teacher).
1	2	7	24	He shall avoid self-praise, blaming others, and the like.
1	2	7	25	If he is ordered (by his teacher to do something), he shall do just that.
1	2	7	26	On account of the incompetence of his teacher, (he may go) to another (and) study (there).
1	2	7	27	He shall behave towards his teacher's wife as towards the teacher himself, but he shall not embrace her feet, nor eat the residue of her food.
1	2	7	28	So also (shall he behave) towards him who teaches him at (the teacher's) command,
1	2	7	29	And also to a fellow-student who is superior (in learning and years).
1	2	7	30	He shall behave to his teacher's son (who is superior to himself in learning or years) as to his teacher, but not eat the residue of his food.
1	2	7	31	Though he may have returned home, thebehaviour towards his (teacher and the rest) which is prescribed by the rule of conduct settled by the agreement (of those who know the law, must be observed by him to the end),
1	2	8	1	Just as by a student (actually living with his teacher).
1	2	8	2	He may wear garlands, anoint his face (with sandal), oil his hair and moustaches, smear his eyelids (with collyrium), and (his body) with oil, wear a turban, a cloth round his loins, a coat, sandals, and wooden shoes.
1	2	8	3	Within the sight of his (teacher or teacher's relations) he shall do none of those (actions, as putting on a garland), nor cause them to be done.
1	2	8	4	Nor (shall he wear garlands &c. whilst performing) acts for his pleasure,
1	2	8	5	As, for instance, cleaning his teeth, shampooing, combing the hair, and the like.
1	2	8	6	And the teacher shall not speak of the goods of the (pupil) with the intention to obtain them.
1	2	8	7	But some declare, that, if a pupil who has bathed (after completing his studies) is called by his teacher or has gone to see him, he shall not take off that (garland or other ornaments) which he wears according to the law at the time (of that ceremony).
1	2	8	8	He shall not sit on a seat higher (than that of his teacher),
1	2	8	9	Nor on a seat that has more legs (than that of his teacher),
1	2	8	10	Nor on a seat that stands more firmly fixed (on the ground than that of his teacher),
1	2	8	11	Nor shall he sit or lie on a couch or seat which is used (by his teacher).
1	2	8	12	If he is ordered (by his teacher), he shall on journey ascend a carriage after him.
1	2	8	13	(At his teacher's command) he shall also enter an assembly, ascend a roller (which his teacher drags along), sit on a mat of fragrant grass or a couch of straw (together with his teacher).
1	2	8	14	If not addressed by a Guru, he shall not speak to him, except (in order to announce) good news.
1	2	8	15	He shall avoid to touch a Guru (with his finger), to whisper (into his ear), to laugh (into his face), to call out to him, to pronounce his name or to give him orders and the like (acts)
1	2	8	16	In time of need he may attract attention (by any of these acts).
1	2	8	17	If (a pupil) resides (in the same village) with (his teacher after the completion of his studies), he shall go to see him every morning and evening, without being called.
1	2	8	18	And if he returns from a journey, he shall (go to) see him on the same day.
1	2	8	19	If his teacher and his teacher's teacher meet, he shall embrace the feet of his teacher's teacher, and then show his desire to do the same to his teacher.
1	2	8	20	The other (the teacher) shall (then) forbid it.
1	2	8	21	And (other marks of) respect (due to the teacher) are omitted in the presence of the (teacher's teacher).
1	2	8	22	And (if he does not live in the same village), he shall go frequently to his teacher's residence, in order to see him, and bring him some (present) with his own hand, be it even only a stick for cleaning the teeth. Thus (the duties of a student have been explained).
1	2	8	23	(Now) the conduct of a teacher towards his pupil (will be explained).
1	2	8	24	Loving him like his own son, and full of attention, he shall teach him the sacred science, without hiding anything in the whole law.
1	2	8	25	And he shall not use. him for his own purposes to the detriment of his studies except in times of distress.
1	2	8	26	That pupil who, attending to two (teachers), accuses his (principal and first) teacher of ignorance, remains no (longer) a pupil.
1	2	8	27	A teacher also, who neglects the instruction (of his pupil), does no (longer) remain a teacher.
1	2	8	28	If the (pupil) commits faults, (the teacher) shall always reprove him.
1	2	8	29	Frightening, fasting, bathing in (cold) water, and banishment from the teacher's presence are the punishments (which are to be employed), according to the greatness (of the fault), until (the pupil) leaves off (sinning).
1	2	8	30	He shall dismiss (the pupil), after he has performed the ceremony of the Samâvartana and has finished his studentship, with these words, 'Apply thyself henceforth to other duties.'
1	3	9	1	After having performed the Upâkarma for studying the Veda on the full moon of the month' Srâvana (July-August), he shall for one month not study in the evening.
1	3	9	2	On the full moon of the month of Pausha (December-January), or under the constellation Rohini, he shall leave off reading the Veda.
1	3	9	3	Some declare, (that he shall study) for four months and a half.
1	3	9	4	He shall avoid to Study the Veda on a high-road.
1	3	9	5	Or he may study it (on a high-road), after having smeared (a space) with cowdung.
1	3	9	6	He shall never study in a burial-ground nor anywhere near it within the throw of a Samyâ.
1	3	9	7	If a village has been built over (a burial ground) or its surface has been cultivated as a field, the recitation of the Veda (in such a place) is not prohibited.
1	3	9	8	But if that place is known to have been a burial-ground he shall not study (there).
1	3	9	9	A Sûdra and an outcast are (included by the term) burial-ground, .
1	3	9	10	Some declare, that (one ought to avoid only, to study) in the same house (where they dwell).
1	3	9	11	But if (a student and) a Sûdra woman merely look at each other, the recitation of the Veda must be interrupted,
1	3	9	12	Likewise, if (a student and) a woman, who has had connexion with a man of a lower caste, (look at each other).
1	3	9	13	If he, who is about to study the Veda, wishes to talk to a woman during her courses, he shall first speak to a Brâhmana and then to her, then again speak to a Brâhmana, and afterwards study. Thereby the children (of that woman) will be blessed.
1	3	9	14	(He shall not study in a village) in which a corpse lies;
1	3	9	15	Nor in such a one where Kândâlas live.
1	3	9	16	He shall not study whilst corpses are being carried to the boundary of the village,
1	3	9	17	Nor in a forest, if (a corpse or Kândâla) is within sight.
1	3	9	18	And if outcasts have entered the village, he shall not study on that day,
1	3	9	19	Nor if good men (have come).
1	3	9	20	If it thunders in the evening, (he shall not study) during the night.
1	3	9	21	If lightning is seen (in the evening, he shall not study during that night), until he has slept.
1	3	9	22	If lightning is seen about the break of dawn, or at the time when he may distinguish at the distance of a Samyâ-throw, whether (a cow) is black or red, be shall not study during that day, nor in the following evening.
1	3	9	24	If it thunders in the second part of the third watch of the night, (he shall not study during the following day or evening).
1	3	9	24	Some (declare, that this rule holds good, if it thunders), after the first half of the night has passed.
1	3	9	25	(Nor shall he study) whilst the cows are prevented from leaving (the village on account of thieves and the like),
1	3	9	26	Nor (on the imprisonment of criminals) whilst they are being executed.
1	3	9	27	He shall not study whilst he rides on beasts (of burden).
1	3	9	28	At the new moon, (he shall not study) for two days and two nights.
1	3	10	1	(Nor shall he study) on the days of the full moons of those months in which the Kâturmasya-sacrifice may be performed (nor on the days preceding them).
1	3	10	2	At the time of the Vedotsarga, on the death of Gurus, at the Ashlakâ-Srâddha, and at the time of the Upâkarma, (he shall not study) for three days;
1	3	10	3	Likewise if near relations have died.
1	3	10	4	(He shall not study) for twelve days, if his mother, father, or teacher have died.
1	3	10	5	If these (have died), he must (also) bathe for the same number of days.
1	3	10	6	Persons who are younger (than the relation deceased), must shave (their hair and beard),
1	3	10	7	Some declare, that students who have returned home on completion of their studentship, shall never shave, except if engaged in the initiation to a Srauta-sacrifice.
1	3	10	8	Now a Brâhmana also declares, 'Verily, an empty, uncovered (pot) is he, whose hair is shaved off entirely; the top-lock is his covering.'
1	3	10	9	But at sacrificial sessions the top-lock must be shaved off, because it is so enjoined in the Veda.
1	3	10	10	Some declare, that, upon the death of the teacher, (the reading should be interrupted) for three days and three nights.
1	3	10	11	If (he hears of) the death of a learned Brâhmana (Srotriya) before a full year (since the death) has elapsed, (he shall interrupt his reading) for one night (and day).
1	3	10	12	Some declare, (that the deceased Srotriya must have been) a fellow-student.
1	3	10	13-14	If a learned Brâhmana (Srotriya) has arrived and he is desirous of studying or is actually studying, (or if he is desirous of teaching or is teaching,)he may study or teach after having received permission (to do so from the Srotriya).
1	3	10	15-16	He may likewise study or teach in the presence of his teacher, if (the latter) has addressed him (saying), 'Ho, study! (or, Ho, teach!)'
1	3	10	17	When a student desires to study or has finished his lesson, he shall at both occasions embrace the feet of his teacher.
1	3	10	18	Or if, whilst they study, another person comes in, he shall continue his recitation, after those words, ('Ho, study!') have been pronounced (by the newcomer).
1	3	10	19	The barking of (many) dogs, the braying of (many) asses, the cry of a wolf or of a solitary jackal or of an owl, all sounds of musical instruments, of weeping, and of the Sâman melodies (are reasons for discontinuing the study of the Veda).
1	3	10	20	If another branch of the Veda (is being recited in the neighbourhood), the Sâman melodies shall not be studied.
1	3	10	21	And whilst other noises (are being heard, the recitation of the Veda shall be discontinued), if they mix (with the voice of the person studying).
1	3	10	22	After having vomited (he shall not study) until he has slept.
1	3	10	23	Or (he may study) having eaten clarified butter (after the attack of vomiting).
