Sanskit Text	Sanskrit Transliteration	Translation
वायविन्द्रश्च सुन्वत आ यातमुप निष्क्र्तम |	vāyavindraśca sunvata ā yātamupa niṣkṛtam |	6 Vāyu and Indra, come to what the Soma-presser hath prepared:
मक्ष्वित्था धिया नरा ||	makṣvitthā dhiyā narā ||	Soon, Heroes, thus I make my prayer.
मित्रं हुवे पूतदक्षं वरुणं च रिशादसम |	mitraṃ huve pūtadakṣaṃ varuṇaṃ ca riśādasam |	7 Mitra, of holy strength, I call, and foe-destroying Varuṇa,
धियं घर्ताचीं साधन्ता ||	dhiyaṃ ghṛtācīṃ sādhantā ||	Who make the oil-fed rite complete.
रतेन मित्रावरुणाव रताव्र्धाव रतस्प्र्शा |	ṛtena mitrāvaruṇāv ṛtāvṛdhāv ṛtaspṛśā |	8 Mitra and Varuṇa, through Law, lovers and cherishers of Law,
करतुं बर्हन्तमाशाथे ||	kratuṃ bṛhantamāśāthe ||	Have ye obtained your might power
कवी नो मित्रावरुणा तुविजाता उरुक्षया |	kavī no mitrāvaruṇā tuvijātā urukṣayā |	9 Our Sages, Mitra-Varuṇa, wide dominion, strong by birth,
दक्षं दधाते अपसम ||	dakṣaṃ dadhāte apasam ||	Vouchsafe us strength that worketh well.

अश्विना यज्वरीरिषो दरवत्पाणी शुभस पती |	aśvinā yajvarīriṣo dravatpāṇī śubhas patī |	1 YE Aśvins, rich in treasure, Lords of splendour, having nimble hands,
पुरुभुजाचनस्यतम ||	purubhujācanasyatam ||	Accept the sacrificial food.
अश्विना पुरुदंससा नरा शवीरया धिया |	aśvinā purudaṃsasā narā śavīrayā dhiyā |	2 Ye Aśvins, rich in wondrous deeds, ye heroes worthy of our praise,
धिष्ण्या वनतं गिरः ||	dhiṣṇyā vanataṃ ghiraḥ ||	Accept our songs with mighty thought.
दस्रा युवाकवः सुता नासत्या वर्क्तबर्हिषः |	dasrā yuvākavaḥ sutā nāsatyā vṛktabarhiṣaḥ |	3 Nāsatyas, wonder-workers, yours are these libations with clipt grass:
आ यातंरुद्रवर्तनी ||	ā yātaṃrudravartanī ||	Come ye whose paths are red with flame.
इन्द्रा याहि चित्रभानो सुता इमे तवायवः |	indrā yāhi citrabhāno sutā ime tvāyavaḥ |	4 O Indra marvellously bright, come, these libations long for thee,
अण्वीभिस्तना पूतासः ||	aṇvībhistanā pūtāsaḥ ||	Thus by fine fingers purified.
इन्द्रा याहि धियेषितो विप्रजूतः सुतावतः |	indrā yāhi dhiyeṣito viprajūtaḥ sutāvataḥ |	5 Urged by the holy singer, sped by song, come, Indra, to the prayers,
उप बरह्माणि वाघतः ||	upa brahmāṇi vāghataḥ ||	Of the libation-pouring priest.
इन्द्रा याहि तूतुजान उप बरह्माणि हरिवः |	indrā yāhi tūtujāna upa brahmāṇi harivaḥ |	6 Approach, O Indra, hasting thee, Lord of Bay Horses, to the prayers.
सुते दधिष्वनश्चनः ||	sute dadhiṣvanaścanaḥ ||	In our libation take delight.
ओमासश्चर्षणीध्र्तो विश्वे देवास आ गत |	omāsaścarṣaṇīdhṛto viśve devāsa ā ghata |	7 Ye Viśvedevas, who protect, reward, and cherish men, approach
दाश्वांसो दाशुषः सुतम ||	dāśvāṃso dāśuṣaḥ sutam ||	Your worshipper's drink-offering.
विश्वे देवासो अप्तुरः सुतमा गन्त तूर्णयः |	viśve devāso apturaḥ sutamā ghanta tūrṇayaḥ |	8 Ye Viśvedevas, swift at work, come hither quickly to the draught,
उस्रा इवस्वसराणि ||	usrā ivasvasarāṇi ||	As milch-kine hasten to their stalls.
विश्वे देवासो अस्रिध एहिमायासो अद्रुहः |	viśve devāso asridha ehimāyāso adruhaḥ |	9 The Viśvedevas, changing shape like serpents, fearless, void of guile,
मेधं जुषन्त वह्नयः ||	medhaṃ juṣanta vahnayaḥ ||	Bearers, accept the sacred draught
पावका नः सरस्वती वाजेभिर्वाजिनीवती |	pāvakā naḥ sarasvatī vājebhirvājinīvatī |	10 Wealthy in spoil, enriched with hymns, may bright
 <a href="errata.htm#0">
  Sarasvatī
 </a>
 desire,
यज्ञं वष्टु धियावसुः ||	yajñaṃ vaṣṭu dhiyāvasuḥ ||	With eager love, our sacrifice.
चोदयित्री सून्र्तानां चेतन्ती सुमतीनाम |	codayitrī sūnṛtānāṃ cetantī sumatīnām |	11 Inciter of all pleasant songs, inspirer of all gracious thought,
यज्ञं दधे सरस्वती ||	yajñaṃ dadhe sarasvatī ||	Sarasvatī accept our rite
महो अर्णः सरस्वती पर चेतयति केतुना |	maho arṇaḥ sarasvatī pra cetayati ketunā |	12 Sarasvatī, the mighty flood,—she with her light illuminates,
धियो विश्वा वि राजति ||	dhiyo viśvā vi rājati ||	She brightens every pious thought.

सुरूपक्र्त्नुमूतये सुदुघामिव गोदुहे |	surūpakṛtnumūtaye sudughāmiva ghoduhe |	1 As a good cow to him who milks, we call the doer of fair deeds,
जुहूमसि दयवि-दयवि ||	juhūmasi dyavi-dyavi ||	To our assistance day by day.
उप नः सवना गहि सोमस्य सोमपाः पिब |	upa naḥ savanā ghahi somasya somapāḥ piba |	2 Come thou to our libations, drink of Soma; Soma-drinker thou!
गोदा इद रेवतोमदः ||	ghodā id revatomadaḥ ||	The rich One's rapture giveth kine.
अथा ते अन्तमानां विद्याम सुमतीनाम |	athā te antamānāṃ vidyāma sumatīnām |	3 So may we be acquainted with thine innermost benevolence:
मा नो अति खय आगहि ||	mā no ati khya āghahi ||	Neglect us not, come hitherward.
परेहि विग्रमस्त्र्तमिन्द्रं पर्छा विपश्चितम |	parehi vighramastṛtamindraṃ pṛchā vipaścitam |	4 Go to the wise unconquered One, ask thou of Indra, skilled in song,
यस्ते सखिभ्य आ वरम ||	yaste sakhibhya ā varam ||	Him who is better than thy friends.
उत बरुवन्तु नो निदो निरन्यतश्चिदारत |	uta bruvantu no nido niranyataścidārata |	5 Whether the men who mock us say, Depart unto another place,
दधाना इन्द्र इद दुवः ||	dadhānā indra id duvaḥ ||	Ye who serve Indra and none else;
उत नः सुभगानरिर्वोचेयुर्दस्म कर्ष्टयः |	uta naḥ subhaghānarirvoceyurdasma kṛṣṭayaḥ |	6 Or whether, God of wondrous deeds, all our true people call us blest,
सयामेदिन्द्रस्य शर्मणि ||	syāmedindrasya śarmaṇi ||	Still may we dwell in Indra's care.
एमाशुमाशवे भर यज्ञश्रियं नर्मादनम |	emāśumāśave bhara yajñaśriyaṃ nṛmādanam |	7 Unto the swift One bring the swift, man-cheering, grace of sacrifice,
पतयन मन्दयत्सखम ||	patayan mandayatsakham ||	That to the Friend gives wings and joy.
अस्य पीत्वा शतक्रतो घनो वर्त्राणामभवः |	asya pītvā śatakrato ghano vṛtrāṇāmabhavaḥ |	8 Thou, Śatakratu, drankest this and wast the Vṛtras’ slayer; thou
परावो वाजेषु वाजिनम ||	prāvo vājeṣu vājinam ||	Helpest the warrior in the fray.
तं तवा वाजेषु वाजिनं वाजयामः शतक्रतो |	taṃ tvā vājeṣu vājinaṃ vājayāmaḥ śatakrato |	9 We strengthen, Śatakratu, thee, yea, thee the powerful in fight,
धनानामिन्द्र सातये ||	dhanānāmindra sātaye ||	That, Indra, we may win us wealth.
यो रायो.अवनिर्महान सुपारः सुन्वतः सखा |	yo rāyo.avanirmahān supāraḥ sunvataḥ sakhā |	10 To him the mighty stream of wealth, prompt friend of him who pours the juice,
तस्मा इन्द्राय गायत ||	tasmā indrāya ghāyata ||	Yea, to this Indra sing your song.

आ तवेता नि षीदतेन्द्रमभि पर गायत |	ā tvetā ni ṣīdatendramabhi pra ghāyata |	1 O COME ye hither, sit ye down: to Indra sing ye forth, your song,
सखाय सतोमवाहसः ||	sakhāya stomavāhasaḥ ||	companions, bringing hymns of praise.
पुरूतमं पुरूणामीशानं वार्याणाम |	purūtamaṃ purūṇāmīśānaṃ vāryāṇām |	2 To him the richest of the rich, the Lord of treasures excellent,
इन्द्रं सोमे सचा सुते ||	indraṃ some sacā sute ||	Indra, with Soma juice outpoured.
स घा नो योग आ भुवत स राये स पुरन्ध्याम |	sa ghā no yogha ā bhuvat sa rāye sa purandhyām |	3 May he stand by us in our need and in abundance for our wealth:
गमद वाजेभिरा स नः ||	ghamad vājebhirā sa naḥ ||	May he come nigh us with his strength.
यस्य संस्थे न वर्ण्वते हरी समत्सु शत्रवः |	yasya saṃsthe na vṛṇvate harī samatsu śatravaḥ |	4 Whose pair of tawny horses yoked in battles foemen challenge not:
तस्मा इन्द्राय गायत ||	tasmā indrāya ghāyata ||	To him, to Indra sing your song.
सुतपाव्ने सुता इमे शुचयो यन्ति वीतये |	sutapāvne sutā ime śucayo yanti vītaye |	5 Nigh to the Soma-drinker come, for his enjoyment, these pure drops,
सोमासो दध्याशिरः ||	somāso dadhyāśiraḥ ||	The Somas mingled with the curd.
तवं सुतस्य पीतये सद्यो वर्द्धो अजायथाः |	tvaṃ sutasya pītaye sadyo vṛddho ajāyathāḥ |	6 Thou, grown at once to perfect strength, wast born to drink the Soma juice,
इन्द्र जयैष्ठ्याय सुक्रतो ||	indra jyaiṣṭhyāya sukrato ||	Strong Indra, for preëminence.
आ तवा विशन्त्वाशवः सोमास इन्द्र गिर्वणः |	ā tvā viśantvāśavaḥ somāsa indra ghirvaṇaḥ |	7 O Indra, lover of the song, may these quick Somas enter thee:
शं ते सन्तु परचेतसे ||	śaṃ te santu pracetase ||	May they bring bliss to thee the Sage.
तवां सतोमा अवीव्र्धन तवामुक्था शतक्रतो |	tvāṃ stomā avīvṛdhan tvāmukthā śatakrato |	8 Our chants of praise have strengthened thee, O Śatakratu, and our lauds
तवां वर्धन्तु नो गिरः ||	tvāṃ vardhantu no ghiraḥ ||	So strengthen thee the songs we sing.
अक्षितोतिः सनेदिमं वाजमिन्द्रः सहस्रिणम |	akṣitotiḥ sanedimaṃ vājamindraḥ sahasriṇam |	9 Indra, whose succour never fails, accept these viands thousandfold,
यस्मिन विश्वानि पौंस्या ||	yasmin viśvāni pauṃsyā ||	Wherein all manly powers abide.
मा नो मर्ता अभि दरुहन तनूनामिन्द्र गिर्वणः |	mā no martā abhi druhan tanūnāmindra ghirvaṇaḥ |	10 O Indra, thou who lovest song, let no man hurt our bodies, keep
ईशानो यवया वधम ||	īśāno yavayā vadham ||	Slaughter far from us, for thou canst.

युञ्जन्ति बरध्नमरुषं चरन्तं परि तस्थुषः |	yuñjanti bradhnamaruṣaṃ carantaṃ pari tasthuṣaḥ |	1 They who stand round him as he moves harness the bright, the ruddy Steed
रोचन्तेरोचना दिवि ||	rocanterocanā divi ||	The lights are shining in the sky.
युञ्जन्त्यस्य काम्या हरी विपक्षसा रथे |	yuñjantyasya kāmyā harī vipakṣasā rathe |	2 On both sides to the car they yoke the two bay coursers dear to him,
शोणा धर्ष्णू नर्वाहसा ||	śoṇā dhṛṣṇū nṛvāhasā ||	Bold, tawny, bearers of the Chief.
केतुं कर्ण्वन्नकेतवे पेशो मर्या अपेशसे |	ketuṃ kṛṇvannaketave peśo maryā apeśase |	3 Thou, making light where no light was, and form, O men: where form was not,
समुषद्भिरजायथाः ||	samuṣadbhirajāyathāḥ ||	Wast born together with the Dawns.
आदह सवधामनु पुनर्गर्भत्वमेरिरे |	ādaha svadhāmanu punargharbhatvamerire |	4 Thereafter they, as is their wont, threw off the state of babes unborn,
दधाना नामयज्ञियम ||	dadhānā nāmayajñiyam ||	Assuming sacrificial names.
वीळु चिदारुजत्नुभिर्गुहा चिदिन्द्र वह्निभिः |	vīḷu cidārujatnubhirghuhā cidindra vahnibhiḥ |	5 Thou, Indra, with the Tempest-Gods, the breakers down of what is firm,
अविन्द उस्रिया अनु ||	avinda usriyā anu ||	Foundest the kine even in the cave.
देवयन्तो यथा मतिमछा विदद्वसुं गिरः |	devayanto yathā matimachā vidadvasuṃ ghiraḥ |	6 Worshipping even as they list, singers laud him who findeth wealth,
महामनूषत शरुतम ||	mahāmanūṣata śrutam ||	The far-renowned, the mighty One.
इन्द्रेण सं हि दर्क्षसे संजग्मानो अबिभ्युषा |	indreṇa saṃ hi dṛkṣase saṃjaghmāno abibhyuṣā |	7 Mayest thou verily be seen coming by fearless Indra's side:
मन्दू समानवर्चसा ||	mandū samānavarcasā ||	Both joyous, equal in your sheen.
अनवद्यैरभिद्युभिर्मखः सहस्वदर्चति |	anavadyairabhidyubhirmakhaḥ sahasvadarcati |	8 With Indra's well beloved hosts, the blameless, hastening to heaven,
गणैरिन्द्रस्य काम्यैः ||	ghaṇairindrasya kāmyaiḥ ||	The sacrificer cries aloud.
अतः परिज्मन्ना गहि दिवो वा रोचनादधि |	ataḥ parijmannā ghahi divo vā rocanādadhi |	9 Come from this place, O Wanderer, or downward from the light of heaven:
समस्मिन्न्र्ञ्जते गिरः ||	samasminnṛñjate ghiraḥ ||	Our songs of praise all yearn for this.
इतो वा सातिमीमहे दिवो वा पार्थिवादधि |	ito vā sātimīmahe divo vā pārthivādadhi |	10 Indra we seek to give us help, from here, from heaven above the earth,
इन्द्रं महोवा रजसः ||	indraṃ mahovā rajasaḥ ||	Or from the spacious firmament.

इन्द्रमिद गाथिनो बर्हदिन्द्रमर्केभिरर्किणः |	indramid ghāthino bṛhadindramarkebhirarkiṇaḥ |	1 INDRA the singers with high praise, Indra reciters with their lauds,
इन्द्रं वाणीरनूषत ||	indraṃ vāṇīranūṣata ||	Indra the choirs have glorified.
इन्द्र इद धर्योः सचा सम्मिश्ल आ वचोयुजा |	indra id dharyoḥ sacā sammiśla ā vacoyujā |	2 Indra hath ever close to him his two bay steeds and word-yoked car,
इन्द्रो वज्रीहिरण्ययः ||	indro vajrīhiraṇyayaḥ ||	Indra the golden, thunder-armed.
इन्द्रो दीर्घाय चक्षस आ सूर्यं रोहयद दिवि |	indro dīrghāya cakṣasa ā sūryaṃ rohayad divi |	3 Indra hath raised the Sun on high in heaven, that he may see afar:
वि गोभिरद्रिमैरयत ||	vi ghobhiradrimairayat ||	He burst the mountain for the kine.
इन्द्र वाजेषु नो.अव सहस्रप्रधनेषु च |	indra vājeṣu no.ava sahasrapradhaneṣu ca |	4 Help us, O Indra, in the frays, yea, frays, where thousand spoils are gained,
उग्र उग्राभिरूतिभिः ||	ughra ughrābhirūtibhiḥ ||	With awful aids, O awful One.
इन्द्रं वयं महाधन इन्द्रमर्भे हवामहे |	indraṃ vayaṃ mahādhana indramarbhe havāmahe |	5 In mighty battle we invoke Indra, Indra in lesser fight,
युजं वर्त्रेषु वज्रिणम ||	yujaṃ vṛtreṣu vajriṇam ||	The Friend who bends his bolt at fiends.
स नो वर्षन्नमुं चरुं सत्रादावन्नपा वर्धि |	sa no vṛṣannamuṃ caruṃ satrādāvannapā vṛdhi |	6 Unclose, our manly Hero, thou for ever bounteous, yonder cloud,
अस्मभ्यमप्रतिष्कुतः ||	asmabhyamapratiṣkutaḥ ||	For us, thou irresistible.
तुञ्जे-तुञ्जे य उत्तरे सतोमा इन्द्रस्य वज्रिणः |	tuñje-tuñje ya uttare stomā indrasya vajriṇaḥ |	7 Still higher, at each strain of mine, thunder-armed Indra's praises rise:
न विन्धेस्य सुष्टुतिम ||	na vindheasya suṣṭutim ||	I find no laud worthy of him.
वर्षा यूथेव वंसगः कर्ष्टीरियर्त्योजसा |	vṛṣā yūtheva vaṃsaghaḥ kṛṣṭīriyartyojasā |	8 Even as the bull drives on the herds, he drives the people with his might,
ईशानो अप्रतिष्कुतः ||	īśāno apratiṣkutaḥ ||	The Ruler irresistible:
य एकश्चर्षणीनां वसूनामिरज्यति |	ya ekaścarṣaṇīnāṃ vasūnāmirajyati |	9 Indra who rules with single sway men, riches, and the fivefold race
इन्द्रः पञ्च कसितीनाम ||	indraḥ pañca ksitīnām ||	Of those who dwell upon the earth.
इन्द्रं वो विश्वतस परि हवामहे जनेभ्यः |	indraṃ vo viśvatas pari havāmahe janebhyaḥ |	10 For your sake from each side we call Indra away from other men:
अस्माकमस्तु केवलः ||	asmākamastu kevalaḥ ||	Ours, and none others’, may he be.

एन्द्र सानसिं रयिं सजित्वानं सदासहम |	endra sānasiṃ rayiṃ sajitvānaṃ sadāsaham |	1 INDRA, bring wealth that gives delight, the victor's ever-conquering wealth,
वर्षिष्ठमूतये भर ||	varṣiṣṭhamūtaye bhara ||	Most excellent, to be our aid;
नि येन मुष्टिहत्यया नि वर्त्रा रुणधामहै |	ni yena muṣṭihatyayā ni vṛtrā ruṇadhāmahai |	2 By means of which we may repel our foes in battle hand to hand,
तवोतासो नयर्वता ||	tvotāso nyarvatā ||	By thee assisted with the car.
इन्द्र तवोतास आ वयं वज्रं घना ददीमहि |	indra tvotāsa ā vayaṃ vajraṃ ghanā dadīmahi |	3 Aided by thee, the thunder-armed, Indra, may we lift up the bolt,
जयेम सं युधि सप्र्धः ||	jayema saṃ yudhi spṛdhaḥ ||	And conquer all our foes in fight.
वयं शूरेभिरस्त्र्भिरिन्द्र तवया युजा वयम |	vayaṃ śūrebhirastṛbhirindra tvayā yujā vayam |	4 With thee, O India, for ally with missile-darting heroes, may
सासह्याम पर्तन्यतः ||	sāsahyāma pṛtanyataḥ ||	We conquer our embattled foes.
महानिन्द्रः परश्च नु महित्वमस्तु वज्रिणे |	mahānindraḥ paraśca nu mahitvamastu vajriṇe |	5 Mighty is Indra, yea supreme; greatness be his, the Thunderer:
दयौर्नप्रथिना शवः ||	dyaurnaprathinā śavaḥ ||	Wide as the heaven extends his power
समोहे वा य आशत नरस्तोकस्य सनितौ |	samohe vā ya āśata narastokasya sanitau |	6 Which aideth those to win them sons, who come as heroes to the fight,
विप्रासो वा धियायवः ||	viprāso vā dhiyāyavaḥ ||	Or singers loving holy thoughts.
यः कुक्षिः सोमपातमः समुद्र इव पिन्वते |	yaḥ kukṣiḥ somapātamaḥ samudra iva pinvate |	7 His belly, drinking deepest draughts of Soma, like an ocean swells,
उर्वीरापो न काकुदः ||	urvīrāpo na kākudaḥ ||	Like wide streams from the cope of heaven.
एवा हयस्य सून्र्ता विरप्शी गोमती मही |	evā hyasya sūnṛtā virapśī ghomatī mahī |	8 So also is his excellence, great, vigorous, rich in cattle, like
पक्वा शाखा न दाशुषे ||	pakvā śākhā na dāśuṣe ||	A ripe branch to the worshipper.
एवा हि ते विभूतय ऊतय इन्द्र मावते |	evā hi te vibhūtaya ūtaya indra māvate |	9 For verily thy mighty powers, Indra, are saving helps at once
सद्यश्चित सन्तिदाशुषे ||	sadyaścit santidāśuṣe ||	Unto a worshipper like me.
एवा हयस्य काम्या सतोम उक्थं च शंस्या |	evā hyasya kāmyā stoma ukthaṃ ca śaṃsyā |	10 So are his lovely gifts; let lauds and praises be to Indra sung,
इन्द्राय सोमपीतये ||	indrāya somapītaye ||	That he may drink the Soma juice.

इन्द्रेहि मत्स्यन्धसो विश्वेभिः सोमपर्वभिः |	indrehi matsyandhaso viśvebhiḥ somaparvabhiḥ |	1 COME, Indra, and delight thee with the juice at all the Soma feasts,
महानभिष्टिरोजसा ||	mahānabhiṣṭirojasā ||	Protector, mighty in thy strength.
एमेनं सर्जता सुते मन्दिमिन्द्राय मन्दिने |	emenaṃ sṛjatā sute mandimindrāya mandine |	2 To Indra pour ye forth the juice, the active gladdening juice to him
चक्रिं विश्वानि चक्रये ||	cakriṃ viśvāni cakraye ||	The gladdening, omnific God.
मत्स्वा सुशिप्र मन्दिभिः सतोमेभिर्विश्वचर्षणे |	matsvā suśipra mandibhiḥ stomebhirviśvacarṣaṇe |	3 O Lord of all men, fair of cheek, rejoice thee in the gladdening lauds,
सचैषुसवनेष्वा ||	sacaiṣusavaneṣvā ||	Present at these drink-offerings.
अस्र्ग्रमिन्द्र ते गिरः परति तवामुदहासत |	asṛghramindra te ghiraḥ prati tvāmudahāsata |	4 Songs have outpoured themselves to thee, Indra, the strong, the guardian Lord,
अजोषा वर्षभं पतिम ||	ajoṣā vṛṣabhaṃ patim ||	And raised themselves unsatisfied.
सं चोदय चित्रमर्वाग राध इन्द्र वरेण्यम |	saṃ codaya citramarvāgh rādha indra vareṇyam |	5 Send to us bounty manifold, O Indra, worthy of our wish,
असदित ते विभु परभु ||	asadit te vibhu prabhu ||	For power supreme is only thine.
अस्मान सु तत्र चोदयेन्द्र राये रभस्वतः |	asmān su tatra codayendra rāye rabhasvataḥ |	6 O Indra, stimulate thereto us emulously fain for wealth,
तुविद्युम्न यशस्वतः ||	tuvidyumna yaśasvataḥ ||	And glorious, O most splendid One.
सं गोमदिन्द्र वाजवदस्मे पर्थु शरवो बर्हत |	saṃ ghomadindra vājavadasme pṛthu śravo bṛhat |	7 Give, Indra, wide and lofty fame, wealthy in cattle and in strength,
विश्वायुर्धेह्यक्षितम ||	viśvāyurdhehyakṣitam ||	Lasting our life-time, failing not.
अस्मे धेहि शरवो बर्हद दयुम्नं सहस्रसातमम |	asme dhehi śravo bṛhad dyumnaṃ sahasrasātamam |	8 Grant us high fame, O Indra, grant riches bestowing thousands, those
इन्द्र ता रथिनीरिषः ||	indra tā rathinīriṣaḥ ||	Fair fruits of earth borne home in wains.
वसोरिन्द्रं वसुपतिं गीर्भिर्ग्र्णन्त रग्मियम |	vasorindraṃ vasupatiṃ ghīrbhirghṛṇanta ṛghmiyam |	9 Praising with songs the praise-worthy who cometh to our aid, we call
होम गन्तारमूतये ||	homa ghantāramūtaye ||	Indra, the Treasure-Lord of wealth.
सुते-सुते नयोकसे बर्हद बर्हत एदरिः |	sute-sute nyokase bṛhad bṛhata edariḥ |	10 To lofty Indra, dweller by each libation, the pious man
इन्द्राय शूषमर्चति ||	indrāya śūṣamarcati ||	Sings forth aloud a strengthening hymn.

गायन्ति तवा गायत्रिणो.अर्चन्त्यर्कमर्किणः |	ghāyanti tvā ghāyatriṇo.arcantyarkamarkiṇaḥ |	1 THE chanters hymn thee, they who say the word of praise magnify thee.
बरह्माणस्त्वा शतक्रत उद वंशमिव येमिरे ||	brahmāṇastvā śatakrata ud vaṃśamiva yemire ||	The priests have raised thee up on high, O Śatakratu, like a pole.
यत सानोः सानुमारुहद भूर्यस्पष्ट कर्त्वम |	yat sānoḥ sānumāruhad bhūryaspaṣṭa kartvam |	2 As up he clomb from ridge to ridge and looked upon the toilsome task,
तदिन्द्रो अर्थं चेतति यूथेन वर्ष्णिरेजति ||	tadindro arthaṃ cetati yūthena vṛṣṇirejati ||	Indra observes this wish of his, and the Rain hastens with his troop.
युक्ष्वा हि केशिना हरी वर्षणा कक्ष्यप्रा |	yukṣvā hi keśinā harī vṛṣaṇā kakṣyaprā |	3 Harness thy pair of strong bay steeds, long-maned, whose bodies fill the girths,
अथा न इन्द्र सोमपा गिरामुपश्रुतिं चर ||	athā na indra somapā ghirāmupaśrutiṃ cara ||	And, Indra, Soma-drinker, come to listen to our songs of praise.
एहि सतोमानभि सवराभि गर्णीह्या रुव |	ehi stomānabhi svarābhi ghṛṇīhyā ruva |	4 Come hither, answer thou the song, sing in approval, cry aloud.
बरह्म च नो वसोसचेन्द्र यज्ञं च वर्धय ||	brahma ca no vasosacendra yajñaṃ ca vardhaya ||	Good Indra, make our prayer succeed, and prosper this our sacrifice.
उक्थमिन्द्राय शंस्यं वर्धनं पुरुनिष्षिधे |	ukthamindrāya śaṃsyaṃ vardhanaṃ puruniṣṣidhe |	5 To Indra must a laud be said, to strengthen him who freely gives,
शक्रो यथा सुतेषु णो रारणत सख्येषु च ||	śakro yathā suteṣu ṇo rāraṇat sakhyeṣu ca ||	That Śakra may take pleasure in our friendship and drink-offerings.
तमित सखित्व ईमहे तं राये तं सुवीर्ये |	tamit sakhitva īmahe taṃ rāye taṃ suvīrye |	6 Him, him we seek for friendship, him for riches and heroic might.
स शक्र उत नः शकदिन्द्रो वसु दयमानः ||	sa śakra uta naḥ śakadindro vasu dayamānaḥ ||	For Indra, he is Śakra, he shall aid us while he gives us wealth.
