Adhyaya	Brahmana	Text_no	Hymn
1	4	3	But he felt no delight. Therefore a man who is lonely feels no delight. He wished for a second. He was so large as man and wife together. He then made this his Self to fall in two (pat), and thence arose husband (pati) and wife (patnî). Therefore Yâgñavalkya said: 'We two  are thus (each of us) like half a shell .' Therefore the void which wasthere, is filled by the wife. He embraced her, and men were born.
1	4	4	She thought, 'How can he embrace me, after having produced me from himself? I shall hide myself.'She then became a cow, the other became a bull and embraced her, and hence cows were born. The one became a mare, the other a stallion; the one a male ass, the other a female ass. He embraced her, and hence one-hoofed animals were born. The one became a she-goat, the other a he-goat; the one became a ewe , the other a ram. He embraced her, and hence goats and sheep were born. And thus he created everything that exists in pairs, down to the ants.
1	4	5	He knew, 'I indeed am this creation, for I created all this.' Hence he became the creation, and he who knows this lives in this his creation.
1	4	6	Next he thus produced fire by rubbing. From the mouth, as from the fire-hole, and from the hands he created fire . Therefore both the mouth and the hands are inside without hair, for the fire-hole is inside without hair.And when they say, 'Sacrifice to this or sacrifice to that god,' each god is but his manifestation, for he is all gods.Now, whatever there is moist, that he created from seed; this is Soma. So far verily is this universe either food or eater. Soma indeed is food, Agni eater. This is the highest creation of Brahman,when he created the gods from his better part , and when he, who was (then) mortal , created the immortals. Therefore it was the highest creation. And he who knows this, lives in this his highest creation.
1	4	7	Now all this was then undeveloped. It became developed by form and name, so that one could say, 'He, called so and so, is such a one .' Therefore at present also all this is developed by name and form, so that one can say, 'He, called so and so, is such a one.'He (Brahman or the Self) entered thither, to the very tips of the finger-nails, as a razor might be fitted in a razor-case, or as fire in a fire-place .He cannot be seen, for, in part only, when breathing, he is breath by name; when speaking, speech by name; when seeing, eye by name; when hearing, ear by name; when thinking, mind by name. All these are but the names of his acts. And he who worships (regards) him as the one or the other, does not know him, for he is apart from this (when qualified) by the one or the other (predicate). Let men worship him as Self, for in the Self all these are one. This Self is the footstep of everything, for through it one knows everything . And as one can find again by footsteps what was lost, thus he who knows this finds glory and praise.
1	4	8	This, which is nearer to us than anything, this Self, is dearer than a son, dearer than wealth, dearer than all else.And if one were to say to one who declares another than the Self dear, that he will lose what is dear to him, very likely it would be so. Let him worship the Self alone as dear. He who worships the Self alone as dear, the object of his love will never perish .
1	4	9	Here they say: 'If men think that by knowledge of Brahman they will become everything, what then did that Brahman know, from whence all this sprang?'
1	4	10	Verily in the beginning this was Brahman, that Brahman knew (its) Self only, saying, 'I am Brahman.' From it all this sprang. Thus, whatever Deva was awakened (so as to know Brahman), he indeed became that (Brahman); and the same with Rishis and men. The Rishi Vâmadeva saw and understood it, singing, 'I was Manu (moon), I was the sun.' Therefore now also he who thus knows that he is Brahman, becomes all this, and even the Devas cannot prevent it, for he himself is their Self.Now if a man worships another deity, thinking the deity is one and he another, he does not know. He is like a beast for the Devas. For verily, as many beasts nourish a man, thus does every man nourish the Devas. If only one beast is taken away, it is not pleasant; how much more when many are taken! Therefore it is not pleasant to the Devas that men should know this.
1	4	11	Verily in the beginning this was Brahman, oneonly. That being one, was not strong enough. It created still further the most excellent Kshatra (power), viz. those Kshatras (powers) among the Devas,--Indra, Varuna, Soma, Rudra, Parganya, Yama, Mrityu, Îsâna. Therefore there is nothing beyond the Kshatra, and therefore at the Râgasûya sacrifice the Brâhmana sits down below the Kshatriya. He confers that glory on the Kshatra alone. But Brahman is (nevertheless) the birth-place of the Kshatra. Therefore though a king is exalted, he sits down at the end (of the sacrifice) below the Brahman, as his birth-place. He who injures him, injures his own birth-place. He becomes worse, because he has injured one better than himself.
1	4	12	He  was not strong enough. He created the Vis (people), the classes of Devas which in their different orders are called Vasus, Rudras, Âdityas, Visve Devas, Maruts.
1	4	13	He was not strong enough. He created the Sûdra colour (caste), as Pûshan (as nourisher). This earth verily is Pûshan (the nourisher); for the earth nourishes all this whatsoever.
1	4	14	He was not strong enough. He created still further the most excellent Law (dharma). Law is the Kshatra (power) of the Kshatra , therefore there is nothing higher than the Law. Thenceforth even a weak man rules a stronger with the help of the Law, as with the help of a king. Thus the Law is what is called the true. And if a man declares what is true, they say he declares the Law; and if he declares the Law, they say he declares what is true. Thus both are the same.
1	4	15	There are then this Brahman, Kshatra, Vis, and Sûdra. Among the Devas that Brahman existed as Agni (fire) only, among men as Brâhmana, as Kshatriya through the (divine) Kshatriya, as Vaisya through the (divine) Vaisya, as Sûdra through the (divine) Sûdra. Therefore people wish for their future state among the Devas through Agni (the sacrificial fire) only; and among men through the Brâhmana, for in these two forms did Brahman exist.Now if a man departs this life without having seen his true future life (in the Self), then that Self, not being known, does not receive and bless him, as if the Veda had not been read, or as if a good work had not been done. Nay, even if one who does not know that (Self), should perform here on earth some great holy work, it will Perish for him in the end. Let a man worship the Self only as his true state. If a man worships the Self only as his true state, his work does not Perish, for whatever he desires that he gets from that Self.
1	4	16	Now verily this Self (of the ignorant man) is the world  of all creatures. In so far as man sacrifices and pours out libations, he is the world of the Devas; in so far as he repeats the hymns, &c., he is the world of the Rishis; in so far as he offers cakes to the Fathers and tries to obtain offspring, he is the world of the Fathers; in so far as he gives shelter and food to men, he is the world of men; in so far as he finds fodder and water for the animals, he is the world of the animals; in so far as quadrupeds, birds, and even ants live in his houses, he is their world. And as every one wishes his own world not to be injured,thus all beings wish that he who knows this should not be injured. Verily this is known and has been well reasoned.
1	4	17	In the beginning this was Self alone, one only. He desired, 'Let there be a wife for me that I may have offspring, and let there be wealth for me that I may offer sacrifices.' Verily this is the whole desire, and, even if wishing for more, he would not find it. Therefore now also a lonely person desires, 'Let there be a wife for me that I may have offspring, and let there be wealth for me that I may offer sacrifices.' And so long as he does not obtain either of these things, he thinks he is incomplete. Now his completeness (is made up as follows): mind is his self (husband); speech the wife; breath the child; the eye all worldly wealth, for he finds it with the eye; the ear his divine wealth, for he hears it with the ear. The body (âtman) is his work, for with the body he works. This is the fivefold  sacrifice, for fivefold is the animal, fivefold man, fivefold all this whatsoever. He who knows this, obtains all this.
1	5	1	'When the father (of creation) had produced by knowledge and penance (work) the seven kinds of food, one of his (foods) was common to all beings, two he assigned to the Devas, (1)'Three he made for himself, one he gave to the animals. In it all rests, whatsoever breathes and breathes not. (2)'Why then do these not perish, though they are always eaten? He who knows this imperishable one, he eats food with his face. (3)'He goes even to the Devas, he lives on strength.' (4)
1	5	2	When it is said, that 'the father produced by knowledge and penance the seven kinds of food,' it is clear that (it was he who) did so. When it is said, that 'one of his (foods) was common,' then that is that common food of his which is eaten. He who worships (eats) that (common food), is not removed from evil, for verily that food is mixed (property) . When it is said, that 'two he assigned to the Devas,' that is the huta, which is sacrificed in fire, and the prahuta, which is given away at a sacrifice. But they also say, the new-moon and full-moon sacrifices are here intended, and therefore one should not offer them as an ishti or with a wish.When it is said, that 'one he gave to animals,' that is milk. For in the beginning (in their infancy) both men and animals live on milk. And therefore they either make a new-born child lick ghrita (butter), or they make it take the breast. And they call a new-born creature 'atrinâda,' i.e. not eating herbs. When it is said, that 'in it all rests, whatsoever breathes and breathes not,' we see that all this, whatsoever breathes and breathes not, rests and depends on milk.And when it is said (in another Brâhmana), that a man who sacrifices with milk a whole year , overcomes death again, let him not think so. No, onthe very day on which he sacrifices, on that day he overcomes death again; for he who knows this, offers to the gods the entire food (viz. milk).When it is said, 'Why do these not perish, though they are always eaten,' we answer, Verily, the Person is the imperishable, and he produces that food again and again .When it is said, 'He who knows this imperishable one, I then, verily, the Person is the imperishable one, for he produces this food by repeated thought, and whatever he does not work by his works, that perishes.When it is said, that 'he eats food with his face,' then face means the mouth, he eats it with his mouth.When it is said, that 'he goes even to the Devas, he lives on strength,' that is meant as praise.
1	5	3	When it is said, that 'he made three for himself,' that means that he made mind, speech, and breath for himself. As people say, 'My mind was elsewhere, I did not see; my mind was elsewhere, I did not hear,' it is clear that a man sees with his mind and hears with his mind . Desire, representation, doubt, faith, want of faith, memory , forgetfulness, shame, reflexion, fear, all this is mind. Therefore even if a man is touched on the back, he knows it through the mind.Whatever sound there is, that is speech. Speech indeed is intended for an end or object, it is nothing by itself.The up-breathing, the down-breathing, the back-breathing, the out-breathing, the on-breathing, all that is breathing is breath (prâna) only. Verily that Self consists of it; that Self consists of speech, mind, and breath.
1	5	4	These are the three worlds: earth is speech, sky mind, heaven breath.
1	5	5	These are the three Vedas: the Rig-veda is speech, the Yagur-veda mind, the Sâma-veda breath.
1	5	6	These are the Devas, Fathers, and men: the Devas are speech, the Fathers mind, men breath.
1	5	7	These are father, mother, and child: the father is mind, the mother speech, the child breath.
1	5	8	These are what is known, what is to be known, and what is unknown.What is known, has the form of speech, for speech is known. Speech, having become this, protects man .
1	5	9	What is to be known, has the form of mind, for mind is what is to be known. Mind, having become this, protects man.
1	5	10	What is unknown, has the form of breath, for breath is unknown. Breath, having become this, protects man .
1	5	11	Of that speech (which is the food of Pragâpati) earth is the body, light the form, viz. this fire. And so far as speech extends, so far extends the earth, so far extends fire.
1	5	12	Next, of this mind heaven is the body, light the form, viz. this sun. And so far as this mindextends, so far extends heaven, so far extends the sun. If they (fire and sun) embrace each other, then wind is born, and that is Indra, and he is without a, rival. Verily a second is a rival, and he who knows this, has no rival.
1	5	13	Next, of this breath water is the body, light the form, viz. this moon. And so far as this breath extends, so far extends water, so far extends the moon.These are all alike, all endless. And he who worships them as finite, obtains a finite world, but he who worships them as infinite, obtains an infinite world.
1	5	14	That Pragâpati is the year, and he consists of sixteen digits. The nights  indeed are his fifteen digits, the fixed point  his sixteenth digit. He is increased and decreased by the nights. Having on the new-moon night entered with the sixteenth part into everything that has life, he is thence born again in the morning. Therefore let no one cut off the life of any living thing on that night, not even of a lizard, in honour (pûgârtham) of that deity.
1	5	15	Now verily that Pragâpati, consisting of sixteen digits, who is the year, is the same as a man who knows this. His wealth constitutes the fifteen digits, his Self the sixteenth digit. He is increased and decreased by that wealth. His Self is the nave, his wealth the felly. Therefore even if he loses everything, if he lives but with his Self, people say, he lost the felly (which can be restored again).
1	5	16	Next there are verily three worlds, the world of men, the world of the Fathers, the world of the Devas. The world of men can be gained by a sononly, not by any other work. By sacrifice the world of the Fathers, by knowledge the world of the Devas is gained. The world of the Devas is the best of worlds, therefore they praise knowledge.
1	5	17	Next follows the handing over. When a man thinks he is going to depart, he says to his son: 'Thou art Brahman (the Veda, so far as acquired by the father); thou art the sacrifice (so far as performed by the father); thou art the world.' The son answers: 'I am Brahman, I am the sacrifice, I am the world.' Whatever has been learnt (by the father) that, taken as one, is Brahman. Whatever sacrifices there are, they, taken as one, are the sacrifice. Whatever worlds there are, they, taken as one, are the world. Verily here ends this (what has to be done by a father, viz. study, sacrifice, &c.) 'He (the son), being all this, preserved me from this world ,' thus he thinks. Therefore they call a son who is instructed (to do all this), a world-son (lokya), and therefore they instruct him.When a father who knows this, departs this world, then he enters into his son together with his own spirits (with speech, mind, and breath). If there is anything done amiss by the father, of all that the son delivers him, and therefore he is called Putra, son . By help of his son the father stands firm in this world . Then these divine immortal spirits (speech, mind, and breath) enter into him.
1	5	18	From the earth and from fire, divine speech enters into him. And verily that is divine speech whereby, whatever he says, comes to be.
1	5	19	From heaven and the sun, divine mind enters into him. And verily that is divine mind whereby he becomes joyful, and grieves no more.
1	5	20	From water and the moon, divine breath (spirit) enters into him. And verily that is divine breath which, whether moving or not moving, does not tire, and therefore does not perish. He who knows this, becomes the Self of all beings. As that deity (Hiranyagarbha) is, so does he become. And as all beings honour that deity (with sacrifice, &c.), so do all beings honour him who knows this.Whatever grief these creatures suffer, that is all one  (and therefore disappears). Only what is good approaches him; verily, evil does not approach the Devas.
1	5	21	Next follows the consideration of the observances  (acts). Pragâpati created the actions (active senses). When they had been created, they strove among themselves. Voice held, I shall speak; the eye held, I shall see; the ear held, I shall hear; and thus the other actions too, each according to its own act. Death, having become weariness, took them and seized them. Having seized them, death held them back (from their work). Therefore speech grows weary, the eye grows weary, the ear grows weary. But death did not seize the central breath. Then the others tried to know him, andsaid: 'Verily, he is the best of us, he who, whether moving or not, does not tire and does not perish. Well, let all of us assume his form.' Thereupon they all assumed his form, and therefore they are called after him 'breaths' (spirits).In whatever family there is a man who knows this, they call that family after his name. And he who strives with one who knows this, withers away and finally dies. So far with regard to the body.
1	5	22	Now with regard to the deities.Agni (fire) held, I shall burn; Âditya (the sun) held, I shall warm; Kandramas (the moon) held, I shall shine; and thus also the other deities, each according to the deity. And as it was with the central breath among the breaths, so it was with Vâyu, the wind among those deities. The other deities fade, not Vâyu. Vâyu is the deity that never sets.
1	5	23	And here there is this Sloka:'He from whom the sun rises, and into whom it sets' (he verily rises from the breath, and sets in the breath)'Him the Devas made the law, he only is to-day, and he to-morrow also' (whatever these Devas determined then, that they perform to-day also ).Therefore let a man perform one observance only, let him breathe up and let him breathe down, that the evil death may not reach him. And when he performs it, let him try to finish it. Then he obtains through it union and oneness with that deity (with prâna).
1	6	1	Verily this is a triad, name, form, and work. Of these names, that which is called Speech is the Uktha (hymn, supposed to mean also origin), for from it all names arise. It is their Sâman (song, supposed to mean also sameness), for it is the same as all names. It is their Brahman (prayer, supposed to mean also support), for it supports all names.
1	6	2	Next, of the forms, that which is called Eye is the Uktha (hymn), for from it all forms arise. It is their Sâman (song), for it is the same as all forms. It is their Brahman (prayer), for it supports all forms.
1	6	3	Next, of the works, that which is called Body is the Uktha (hymn), for from it all works arise. It is their Sâman (song), for it is the same as all works. It is their Brahman (prayer), for it supports all works.That being a triad is one, viz. this Self; and the Self, being one, is that triad. This is the immortal, covered by the true. Verily breath is the immortal, name and form are the true, and by them the immortal is covered.
2	1	1	There  was formerly the proud Gârgya Bâlâki , a man of great reading. He said to Agâtasatru of Kâsi, 'Shall I tell you Brahman?' Agâtasatru said: 'We give a thousand (cows) for that speech (of yours), for verily all people run away, saying, Ganaka (the king of Mithilâ) is our father (patron) .'
2	1	2	Gârgya said: 'The person that is in the sun , that I adore as Brahman.' Agâtasatru said to him: 'No, no! Do not speak to me on this. I adore himverily as the supreme, the head of all beings, the king. Whoso adores him thus, becomes Supreme, the head of all beings, a king.'
2	1	3	Gârgya said: 'The person that is in the moon (and in the mind), that I adore as Brahman.' Agâtasatru said to him: 'No, no! Do not speak to me on this. I adore him verily as the great, clad in white raiment, as Soma, the king.' Whoso adores him thus, Soma is poured out and poured forth for him day by day, and his food does not fail .
2	1	4	Gârgya said: 'The person that is in the lightning (and in the heart), that I adore as Brahman.' Agâtasatru said to him: 'No, no! Do not speak to me on this. I adore him verily as the luminous.' Whoso adores him thus, becomes luminous, and his offspring becomes luminous.
2	1	5	Gârgya said: 'The person that is in the ether (and in the ether of the heart), that I adore as Brahman.' Agâtasatru said to him: 'No, no! Do not speak to me on this. I adore him as what is full, and quiescent.' Whoso adores him thus, becomes filled with offspring and cattle, and his offspring does not cease from this world.
2	1	6	Gârgya said: 'The person that is in the wind (and in the breath), that I adore as Brahman.' Agâtasatru said to him: 'No, no! Do not speak to me on this. I adore him as Indra Vaikuntha, as the unconquerable army (of the Maruts).' Whoso adores him thus, becomes victorious, unconquerable, conquering his enemies.
2	1	7	Gârgya said: 'The person that is in the fire (and in the heart), that I adore as Brahman.' Agâtasatru said to him: 'No, no! Do not speak to me on this. I adore him as powerful.' Whoso adores him thus, becomes powerful, and his offspring becomes powerful.
2	1	8	Gârgya said: 'The person that is in the water (in seed, and in the heart), that I adore as Brahman.' Agâtasatru said to him: 'No, no! Do not speak to me on this. I adore him as likeness.' Whoso adores him thus, to him comes what is likely (or proper), not what is improper; what is born from him, is like unto him .
2	1	9	Gârgya said: 'The person that is in the mirror, that I adore as Brahman.' Agâtasatru said to him: 'No, no! Do not speak to me on this. I adore him verily as the brilliant.' Whoso adores him thus, he becomes brilliant, his offspring becomes brilliant, and with whomsoever he comes together, he outshines them.
2	1	10	Gârgya said: 'The sound that follows a man while he moves, that I adore as Brahman.' Agâtasatru said to him: 'No, no! Do not speak to me on this. I adore him verily as life.' Whoso adores him thus, he reaches his full age in this world, breath does not leave him before the time.
2	1	11	Gârgya said: 'The person that is in space, that I adore as Brahman.' Agâtasatru said to him: 'No, no! Do not speak to me on this. I adore him verily as the second who never leaves us.'Whoso adores him thus, becomes possessed of a second, his party is not cut off from him,
2	1	12	Gârgya said: 'The person that consists of the shadow, that I adore as Brahman.' Agâtasatru said to him: 'No, no! Do not speak to me on this. I adore him verily as death.' Whoso adores him thus, he reaches his whole age in this world, death does not approach him before the time.
2	1	13	Gârgya said: 'The person that is in the body , that I adore as Brahman.' Agâtasatru said to him: 'No, no! Do not speak to me on this. I adore him verily as embodied.' Whoso adores him thus, becomes embodied, and his offspring becomes embodied .Then Gârgya became silent.
2	1	14	Agâtasatru said: 'Thus far only?' 'Thus far only,' he replied. Agâtasatru said: 'This does not suffice to know it (the true Brahman).' Gârgya replied: 'Then let me come to you, as a pupil.'
2	1	15	Agâtasatru said: 'Verily, it is unnatural that a Brâhmana should come to a Kshatriya, hoping that he should tell him the Brahman. However, I shall make you know him clearly,' thus saying he took him by the hand and rose.And the two together came to a person who was asleep. He called him by these names, 'Thou, great one, clad in white raiment, Soma, King .' Hedid not rise. Then rubbing him with his hand, he woke him, and he arose.
2	1	16	Agâtasatru said: 'When this man was thus asleep, where was then the person (purusha), the intelligent? and from whence did he thus come back?' Gârgya did not know this?
2	1	17	Agâtasatru said: 'When this man was thus asleep, then the intelligent person (purusha), having through the intelligence of the senses (prânas) absorbed within himself all intelligence, lies in the ether, which is in the heart . When he takes in these different kinds of intelligence, then it is said that the man sleeps (svapiti) . Then the breath is kept in, speech is kept in, the ear is kept in, the eye is kept in, the mind is kept in.
2	1	18	But when he moves about in sleep (and dream), then these are his worlds. He is, as it were, a great king; he is, as it were, a great Brâhmana; he rises, as it were, and he falls. And as a great king might keep in his own subjects, and move about, according to his pleasure, within his own domain, thus does that person (who is endowed with intelligence) keep in the various senses (prânas) and move about, according to his pleasure, within his own body (while dreaming).
2	1	19	Next, when he is in profound sleep, and knowsnothing, there are the seventy-two thousand arteries called Hita, which from the heart spread through the body . Through them he moves forth and rests in the surrounding body. And as a young man, or a great king, or a great Brâhmana, having reached the summit of happiness, might rest, so does he then rest.
2	1	20	As the spider comes out with its thread, or as small sparks come forth from fire, thus do all senses, all worlds, all Devas, all beings come forth from that Self The Upanishad (the true name and doctrine) of that Self is 'the True of the True.' Verily the senses are the true, and he is the true of the true.
2	2	1	Verily he who knows the babe  with his place , his chamber , his post , and his rope , he keeps off the seven relatives  who hate him. Verily by the young is meant the inner life, by his place this (body) , by his chamber this (head), by his post the vital breath, by his rope the food.
2	2	2	Then the seven imperishable ones  approach him. There are the red lines in the eye, and by them Rudra clings to him. There is the waterin the eye, and by it Parganya clings to him. There is the pupil, and by it Âditya (sun) clings to him, There is the dark iris, and by it Agni clings to him. There is the white eye-ball, and by it Indra, clings to him. With the lower eye-lash the earth, with the upper eye-lash the heaven clings to him. He who knows this, his food does never perish.
2	2	3	On this there is this Sloka:'There  is a cup having its mouth below and its bottom above. Manifold glory has been placed into it. On its lip sit the seven Rishis, the tongue as the eighth communicates with Brahman.' What is called the cup having its mouth below and its bottom above is this head, for its mouth (the mouth) is below, its bottom (the skull) is above. When it is said that manifold glory has been placed into it, the senses verily are manifold glory, and he therefore means the senses. When he says that the seven Rishis sit on its lip, the Rishis are verily the (active) senses, and he means the senses. And when he says that the tongue as the eighth communicates with Brahman, it is because the tongue, as the eighth, does communicate with Brahman.
2	2	4	These two (the two ears) are the Rishis Gautama and Bharadvâga; the right Gautama, the left Bharadvâga. These two (the eyes) are the Rishis Visvâmitra and Gamadagni; the right Visvâmitra, the left Gamadagni. These two (the nostrils) are the Rishis Vasishtha and Kasyapa; the right Vasishtha, the left Kasyapa. The tongue is Atri, for with the tongue food is eaten, and Atri is meant for Atti, eating. He who knows this, becomes an eater of everything, and everything becomes his food.
2	3	1	There are two forms of Brahman, the material and the immaterial, the mortal and the immortal, the solid and the fluid, sat (being) and tya (that), (i.e. sat-tya, true) .
2	3	2	Everything except air and sky is material, is mortal, is solid, is definite. The essence of that which is material, which is mortal, which is solid, which is definite is the sun that shines, for he is the essence of sat (the definite).
2	3	3	But air and sky are immaterial, are immortal, are fluid, are indefinite. The essence of that which is immaterial, which is immortal, which is fluid, which is indefinite is the person in the disk of the sun, for he is the essence of tyad (the indefinite). So far with regard to the Devas.
2	3	4	Now with regard to the body. Everything except the breath and the ether within the body is material, is mortal, is solid, is definite. The essence of that which is material, which is mortal, which is solid, which is definite is the Eye, for it is the essence of sat (the definite).
2	3	5	But breath and the ether within the body are immaterial, are immortal, are fluid, are indefinite. The essence of that which is immaterial, which is immortal, which is fluid, which is indefinite is the person in the right eye, for he is the essence of tyad (the indefinite).
2	3	6	And what is the appearance of that person? Like a saffron-coloured raiment, like white wool,like cochineal, like the flame of fire, like the white lotus, like sudden lightning. He who knows this, his glory is like unto sudden lightning.Next follows the teaching (of Brahman) by No, no ! for there is nothing else higher than this (if one says): 'It is not so.' Then comes the name 'the True of the True,' the senses being the True, and he (the Brahman) the True of them.
2	4	1	Now when Yâgñavalkya was going to enter upon another state, he said: 'Maitreyî , verily I am going away from this my house (into the forest ). Forsooth, let me make a settlement between thee and that Kâtyâyanî (my other wife).'
2	4	2	Maitreyî said: 'My Lord, if this whole earth, full of wealth, belonged to me, tell me, should I be immortal by it ?''No,' replied Yâgñavalkya; 'like the life of rich people will be thy life. But there is no hope of immortality by wealth.'
2	4	3	And Maitreyî said: 'What should I do with that by which I do not become immortal? What my Lord knoweth (of immortality), tell that to me .'
2	4	4	Yâgñavalkya replied: 'Thou who art truly dear to me, thou speakest dear words . Come, sit down, I will explain it to thee, and mark well what I say.'
2	4	5	And he said: 'Verily, a husband is not dear, that you may love the husband; but that you may love the Self, therefore a husband is dear.'Verily, a wife is not dear, that you may love the wife; but that you may love the Self, therefore a wife is dear.'Verily, sons are not dear, that you may love the sons; but that you may love the Self, therefore sons are dear.'Verily, wealth is not dear, that you may love wealth; but that you may love the Self, therefore wealth is dear .'Verily, the Brahman-class is not dear, that you may love the Brahman-class; but that you may love the Self, therefore the Brahman-class is dear.'Verily, the Kshatra-class is not dear, that you may love the Kshatra-class; but that you may love the Self, therefore the Kshatra-class is dear.'Verily, the worlds are not dear, that you may love the worlds; but that you may love the Self, therefore the worlds are dear.'Verily, the Devas are not dear, that you may love the Devas; but that you may love the Self, therefore the Devas are dear .'Verily, creatures are not dear, that you may love the creatures; but that you may love the Self, therefore are creatures dear.'Verily, everything is not dear that you may love everything; but that you may love the Self, therefore everything is dear.'Verily, the Self is to be seen, to be heard, to be perceived, to be marked, O Maitreyî! When we see, hear, perceive, and know the Self , then all this is known.
2	4	6	'Whosoever looks for the Brahman-class elsewhere than in the Self, was  abandoned by the Brahman-class. Whosoever looks for the Kshatra-class elsewhere than in the Self, was abandoned by the Kshatra-class. Whosoever looks for the worlds elsewhere than in the Self, was abandoned by the worlds. Whosoever looks for the Devas elsewhere than in the Self, was abandoned by the Devas . Whosoever looks for creatures elsewhere than in the Self, was abandoned by the creatures. Whosoever looks for anything elsewhere than in the Self, was abandoned by everything. This Brahman-class, this Kshatra-class, these worlds, these Devas , these  creatures, this everything, all is that Self.
2	4	7	'Now as  the sounds of a drum, when beaten,cannot be seized externally (by themselves), but the sound is seized, when the drum is seized or the beater of the drum;
2	4	8	, And as the sounds of a conch-shell, when blown, cannot be seized externally (by themselves), but the sound is seized, when the shell is seized or the blower of the shell;
2	4	9	'And as the sounds of a lute, when played, cannot be seized externally (by themselves), but the sound is seized, when the lute is seized or the player of the lute;
