Chapter	Text_no	Hymn
3	17	Aruna spoke :-- “O Sun! The Bindhya has become very jealous of the Sumeru as You circumambulate round the Sumeru Mountain daily. He has risen very high and obstructed your course in the Heavens, hoping that you would circumambulate round him. He is thus vying with the Sumeru  Mountain.”
3	18-26	Sûta said :-- O Risis! Hearing the words of Aruna, the charioteer, the Sun began to think thus :-- “Oh! The Bindhya is going to obstruct My course! What can a great hero not do, when he is in the wrong path? Oh! My horses' motions are stopped to-day! The fate is the strongest of all (Because Bindhya is strong today by Daiva, therefore he is doing this). Even when eclipsed by Râhu (the ascending node) I do not stop for a moment even; and now obstructed in My passage, I am waiting here for a long time. The Daiva is powerful; what can I do?” The Sun's course having been thus obstructed, all from the Gods to the lowest became helpless and could not make out what to do. Chitragupta and others ascertain their time through the Sun's course; and that Sun is now rendered motionless by the Bindhya mountain! What a great adverse fate is this! When the Sun was thus obstructed by the Bindhya out of his arrogance, the sacrifices to the Devas, the offerings to the Pitris all were stopped; the world was going to rack and ruin. The people that lived on the west and south had their nights prolonged and they remained asleep. The people of the east and the north were scorched by the strong rays of the Sun and some of them died; some of them lost their health and so forth. The whole earth became devoid of S'râddhas and worships and a cry of universal distress arose on all sides. Indra and the other Devas became very anxious and began to think what they should do at that moment.Here ends the Third Chapter of the Tenth Book on the obstruction of the Sun's course by the Bindhya  Mountain in the Mahâ Purânam S’rî Mad Devî Bhâgavatam of Eighteen Thousand verses by Maharsi Veda Vyâsa.
4	1-2	Sûta said :-- O Risis! Then Indra and all the other Devas taking Brahmâ along with them and placing Him at the front, went to Mahâdeva and took His refuge. They bowed down to Him and chanted sweet and great hymns to Him, Who holds Moon on His forehead, Deva of the Devas, thus :--
4	3-5	O Thou, the Leader of the host of Gods! Victory to Thee! O Thou, Whose lotus feet are served by Umâ, Victory to Thee! O Thou, the Giver of the eight Siddhis and Vibhûtis (extraordinary powers) to Thy devotees, Victory to Thee! O Thou, the Background of this Great Theatrical Dance of this Insurmountable Mâyâ! Thou art the Supreme Spirit in Thy True Nature! Thou ridest on Thy vehicle, the Bull, and residest in Kâilâs'a; yet Thou art the Lord of all the Devas. O Thou, Whose ornament is snakes, Who art the Honoured and the Giver of honours to persons! O Thou! the Unborn, yet comprising all forms, O Thou S'ambhu! That findest pleasure in this Thy Own Self! Victory toThee!
4	6-9	O Thou, the Lord of Thy attendants! O Thou, Giris'a! The Giver of the great powers, praised by Mahâ Visnu! O Thou, That livest in the heart lotus of Visnu, and deeply absorbed in Mahâ Yoga! Obeisance to Thee! O Thou that can'st be known through Yoga, and nothing but the Yoga itself; Thou, the Lord of the Yoga! We bow down to Thee. Thou awardest the fruits of yoga to the Yogins. O Thou, the Lord of the helpless! The Incarnate of the ocean of mercy! The Relief of the diseased and the most powerful! O Thou, whose forms are the three gunas, Sattva, Rajo, Tamas! O Thou! Whose Emblem (carrier) is the Bull (Dharma); Thou art verily the Great Kâla; yet Thou art the Lord of Kâla! Obeisance to Thee! (The Bull represents the Dharma or Speech).
4	10	Thus praised by the Devas, who take the offerings in sacrifices the Lord of the Devas, whose emblem is Bull, smilingly told the Devas in a deep voice :--
4	11	O Thou, the excellent Devas! The residents of the Heavens! I am pleased with the praises that you have sung of Me. I will fulfil the desires of you, all the Devas.
4	12-15	The Devas said :-- O Lord of all the Devas! O Giris'a! Thou whose forehead is adorned with Moon! O Thou, the Doer of good to the distressed. O Thou, the Powerful! Dost Thou do good to us. O Thou, the Sinless One! The Bindhya  Mountain has become jealous of the Sumeru  Mountain, and has risen very high up in the Heavens and he has obstructed the Sun's course, thereby causing great troubles to all. OThou, the Doer of good to all! O Îs'âna! Dost Thou check the mountain's abnormal rise. How can we fix time if the Sun's course be obstructed! And when there is no knowledge, what is now the time, the sacrifices to the Devas and the offerings to the Pitris are now almost dead and gone. O Deva! Who will now protect us? We see Thee as the Destroyer of the fear of us and of those who are terrified. O Deva! O Lord of Giris'â! Be pleased with us.
4	16-18	S’rî Bhagavân said :-- O Devas! I have no power to curb the Bindhya Mountain. Let us go to the Lord of Ramâ and pay our respects to Him. He is our Lord, fit to be worshipped. He is Gobinda, Bhagavân Visnu, the Cause of all causes. We will go to Him and tell Him all our sorrows. He will remove them.
4	19	Hearing thus the words of Girîs'a, Indra and the other Devas with Brahmâ placed Mahâdeva at their front and went to the region of Vaikuntha, trembling with fear.Here ends the Fourth Chapter of the Tenth Book on the going of the Devas to Mahâdeva in the Mahâ Purânam S’rîmad Devî Bhâgavatam of Eighteen Thousand verses by Mahârsi Veda Vyâsa.
5	1-5	Sûta said :-- Then the Devas, on arriving at Vaikuntha, saw the Lord of Laksmî, the Deva of the Devas, the World-Teacher, with his eyes beautiful like Padmâ Palâsa (lotus-leaves), shining with brilliance and began to praise Him in a voice choked with intense feelings of devotion, thus :-- “Victory to Visnu! O Lord of Ramâ! Thou art prior to the Virât Purusa. O Enemy of the Daityas! O Thou, the Generator of desires in all and the Bestower of the fruits of those desires to all! O Gobinda! Thou art the Great Boar and Thou art of the nature of Great Sacrifices! O Mahâ Visnu! O Lord of Dharma! Thou art the Cause of the origin of this world! Thou didst support the earth in Thy Fish Incarnation for the deliverance of the Vedas! O Thou Satyavrata of the form of a Fish! We bow down to Thee. O Thou! The Enemy of the Daityas! The Ocean of mercy! Thou dost do the actions of the Devas out of mercy. O Thou! the Tortoise Incarnation! That grantest Mukti to others! Obeisance to Thee!
5	6-18	O Thou! That didst assume the form of a Boar for the destruction of the Daityas Jaya and others and for raising the earth from the waters! Obeisance to Thee! Thou didst assume that form - Half man and half Lion of the Nrisimha Mûrti and tore asunderHiranya Kas'ipu, proud of his boons, by Thy nails. We bow down to Thee! Obeisance to Thee! That in Thy Dwarf Incarnation, didst deceive Bali, whose head got crazed by the acquisition of the kingdom over the three Lokas. We bow down to Thee, that in Thy Paras'u Râma Incarnation, didst slay Kârta Vîryâryuna, the thousand handed, and the other wicked Ksattriyas! Obeisance to Thee! That wert born of the womb of Renukâ as the son of Jamadagni. Obeisance to Thee, of great prowess and valour, that in Thy Râma Incarnation as the son of Das'aratha, didst cut off the heads of the wicked Râksasa, the son of Pulastya! We bow down again and again to Thee, the Great Lord, that in Thy Krisna incarnation, didst deliver this earth from the clutches of the wicked King Duryodhana, Kamsa and others and didst establish the religion by removing the then prevailing vicious ideas and doctrines. We bow down to Thy Buddha Incarnation, that Great Deva who didst come down here to put a stop to the slaughtering of the innocent animals and to the performance of the wicked sacrificial ceremonies! Obeisance to the Deva! When almost all the persons in this world will turn out in future as Mlechchas and when the wicked Kings will oppress them, right and left, Thou wilt then incarnate Thyself again as Kalki and redress all the grievances! We bow down to Thy Kalki Form! O Deva! These are Thy Ten Incarnations, for the preservation of Thy devotees, for the killing of the wicked Daityas. Therefore Thou art called as the Great Reliever of all our troubles. O Thou! Victory to Thee! The Deva Who assumest the forms of women and water for destroying the ailings of the devotees! Who else can be so kind! O Thou, the Ocean of mercy!” O Risis! Thus praising the yellow robed Visnu, the Lord of all the Devas, the whole host of the Devas bowed down to Him and made Shâstâmgas. Then Visnu Gadâdhara, hearing their hymns, gladdened them and spoke :--
5	19-27	S’rî Bhagavâna said :-- “O Devas! I am pleased with your stotra. You need not be sorrowful. I will remove all your troubles that have become unbearable to you. O Devas! I am very glad to hear the praises that you have offered on Me. Better ask boons from Me. I will grant them though very rare even and obtained with difficulty. Any person who rises early in the morning and recites with devotion this stotra sung by you, will never experience any sorrow. O Devas! No poverty, no bad symptoms, no Vetâlas nor planets nor Brahmâ Râksasas nor any misfortunes will overtake him. No disease, due to Vâta (windy temperament), Pitta (bile) and Kapha (phlegm) nor untimely death will visit him. His family will notbe extinct and happiness will always reign there. O Devas! This stotra can give everything. Both the enjoyment and freedom will come within anyone's easy access. There is no doubt in this. Nov what is your difficulty? Give out. I will remove it at once. There is not a bit of doubt in this.” Hearing these words of S’rî Bhagavân, the Devas became glad and spoke to Visnu.Here ends the Fifth Chapter of the Tenth Book on the Devas' going to Visnu, in the Mahâ Purânam S’rî Mad Devî Bhâgavatam of Eighteen Thousand verses by Mahârsi Veda Vyâsa.
6	1-6	Sûta said :-- O Risis! Hearing the words of the Lord of Laksmî, all the Devas became pleased and they spoke. The Devas said :-- O Deva of the Devas! O Mahâ Visnu! O Thou, the Creator, Preserver and the Destroyer of the Universe! O Visnu! The Bindhya mountain has risen very high and it has stopped the Sun's course. Therefore all the works on earth are suspended. We are not receiving our share of Yajñas. Now where we will go, what we will do, we do not know. S’rî Bhagavân said :-- “O Devas! There is now in Benares the Muni Agastya of indomitable power, in devoted service of that Primordial S'akti Bhagavatî, the Creatrix of this Universe. This Muni alone can put a stop to this abnormal Bindhya  Range. Therefore it behoves you all to go to that fiery Dvija Agastya at Benares where the people get Nirvâna; the Highest Place and pray to him (to kindly fulfil your object).”
6	7-19	Sûta said: -- O Risis! Thus ordered by Visnu, the gods felt themselves comforted and, saluting Him, went to the city of Benares.In a moment they went to the Holy City of Benares, and bathing there at the Manikarnikâ ghât, worshipped the Devas with devotion and offered Tarpanas to the Pitris and duly made their charities. Then they went to the excellent Âs'rama of the Muni Agastya. The hermitage was full of quiet quadruped animals; adorned with various trees, peacocks, herons, geese and Chakravâkas and various other birds, tigers, wolves, deer, the wild boars, rhinoceros, young elephants, Ruru deer and others. Though there were the ferocious animals, yet the place was free from fear and it looked exceedingly beautiful. On arriving before the Muni, the gods fell prostrate before him and bowed down again and again to him. They then chanted hymns to him and said :-- O Lord of Dvijas! O Thou honoured and most worshipful! Victory to Thee. Thou art sprung from a water jar. Thou art the destroyer ofVâtâpî, the Asura. Obeisance to Thee! O Thou, full of S’rî, the son of Mitrâvaruna! Thou art the husband of Lopâmudrâ. Thou art the store house of all knowledge. Thou art the source of all the S'âstras. Obeisance to Thee! At Thy rise, the waters of the ocean become bright and clear; so obeisance to Thee! At Thy rise (Canopus) the Kâs'a flower blossoms. Thou art adorned with clots of matted hair on Thy head and Thou always livest with Thy disciples. S’rî Râma Chandra is one of Thy chief disciples. O great Muni! Thou art entitled to praise from all the Devas! O Best! The Store-house of all qualities! O great Muni! We now bow down to Thee and Thy wife Lopâmudrâ! O Lord! O very Energetic! We all are very much tormented by an unbearable pain inflicted on us by the Bindhya  Range and we therefore take refuge of Thee. Be gracious unto us. Thus praised by the gods, the highly religious Muni Agastya, the twice born, smiled and graciously said :--
6	20-27	O Devas! You are the lords of the three worlds, superior to all, highsouled, and the preserver of the Lokas. If you wish, you can favour, disfavour, do anything. Especially He who is the Lord of heavens, whose weapon is the thunderbolt, and the eight Siddhis are ever at his service is your Indra, the Lord of the Devas. What is there that he cannot do? Then there is Agni, Who burns everything and always carries oblations to the gods and the Pitris, Who is the mouth piece of the Devas. Is there anything impracticable with him! O Devas! Then again Yama is there amongst you, the Lord of the Râksasas, the Witness of all actions, and always quick in giving punishment to the offenders, that terrible looking Yama Râja. What is there that he cannot accomplish?Still, O Devas! if there be anything required by you that awaits my co-operation, give out at once and I will do it undoubtedly. Hearing these words of the Muni, the Devas became very glad and joyfully began to say what they wanted. O Mahârsi! The Bindhya mountain has risen very high and thwarted the Sun's course in the Heavens. A cry of universal distress and consternation has arisen and the three worlds are now verging to the ruins. O Muni! Now what we want is this that Thou, by Thy power of Tapas, curbest the rise of this Bindhya  Mountain. O Agastya! Certainly, by Thy fire and austerities, that mountain will be brought down and humiliated. This is what we want.Here ends the Sixth Chapter of the Tenth Book on the Devas' praying to the Muni Agastya for checking the abnormal rise of the Bindhya Range in the Mahâ Purânam S’rî Mad Devî Bhâgavatam of Eighteen Thousand verses by Mahârsi Veda Vyâsa.
7	1-21	Sûta said :-- Hearing the words of the Devas, Agastya, the Best of the Brâhmins promised that he would carry out their works. O Risis! All the Devas then became very glad when the Muni, born of the water jar, promised thus. They then bade good-bye to him and went back gladly to their own abodes. The Muni then spoke to his wife thus :-- “O daughter of the King! The Bindhya Mountain has baffled the progress of the Sun's course and has thus caused a great mischief. What the Munis, the Seers of truths said before referring to Kâs’î, all are now coming to my mind when I am thinking why this disturbance has overtaken me. They said that various hindrances would come to him at every step, who is a Sâdhu intending to settle at Kâs'î. Let him who wants Mukti, never quit Kâs'î, the Avimukta place in any case. But, O Dear! Today I have got one hindrance during my stay at Kâs'î.” Thus talking with much regret on various subjects with his wife, the Muni bathed in the Manikarnikâ ghât, saw the Lord Vis'ves'vara worshipped Dandapânî and went to the Kâla Bhairava. He said in the following terms :-- “O Mighty armed Kâlabhairava! Thou destroyest the fear of the Bhaktas; Thou art the God of this Kâs'î City. Then why art Thou driving me away from this Kâs'îdhâm. O Lord! Thou removest all the obstacles of the devotees and Thou preservest them. Then why, O Destroyer of the sorrows of the Bhaktas! art Thou removing me from here? Never I blamed others; nor did I practise any hypocrisy with any person nor did I lie; then under what sin, Thou art driving me away from Kâs'î.” O Risis! Thus praying to Kâla Bhairava, the Muni Agastya, born of water jar and the husband of Lopâmudrâ, went to Sâksi Ganes'a, the Destroyer of all evils and seeing and worshipping Him, went out of Kâs'î and proceeded to the south. The Muni, the ocean of great fortune, left Kâs'î; but he became very much distressed to leave it and he remembered it always. He began to march on with his wife. As if riding on his car of asceticism he arrived at the Bindhya mountain in the twinkling of an eye and saw that the Mountain had risen very high and obstructed the passage of the Sun in the Heavens. The Bindhya  Mountain, seeing the Muni Agastya in front, began to tremble and as if desirous to speak something to the earth in a whisper became low and dwarfish and bowed down to the Muni and fell down with devotion in sâstângas with devotion just like a stick dropped flat on the ground before the Muni.Seeing the Bindhya thus low, the Muni Agastya became pleased and spoke with a gracious look :-- “O Child! Better remain in this state until I come back. For, O Child! I am quite unable to ascend to your lofty heights.” Thus saying, the Muni became eager to go to the south; and, crossing the peaks of the Bindhya, alighted gradually again to the plains. He went on further to the south and saw the S’rî S'aila Mountain and at last went to the Malayâchala and there, building his Âs'rama (hermitage), settled himself. O Saunaka! The Devî Bhagavatî, worshipped by the Muni went to the Bindhya  Mountain and settled there and became known, in the three worlds, by the name of Bindhyavâsinî.
7	22-26	Sûta said :-- Anybody who hears this highly pure narrative of the Muni Agastya and Bindhya, becomes freed of all his sins. All his enemies are destroyed in no time. This hearing gives knowledge to the Brâhmanas, victory to the Ksattriyas, wealth and corn to the Vais'yas and happiness to the S’ûdras.If anybody once hears this narrative, he gets Dharma if he want Dharma, gets unbounded wealth if he wants wealth and gets all desires if he wants his desires fulfilled. In ancient times Svâyambhuva Manu worshipped this Devî with devotion and got his kingdom for his own Manvantara period. O Saunaka! Thus I have described to you the holy character of the Devî in this Manvantara. What more shall I say? Mention please.Here ends the Seventh Chapter of the Tenth Book on the checking of the rise of the Bindhya  Range in the Mahâ Purânam S’rî Mad Devî Bhâgavatam of Eighteen Thousand verses by Maharsi Veda Vyâsa.
8	1	Saunaka said :-- “O Sûta! You have described the beautiful narrative of the first Manu Svâyambhuva. Now kindly describe to us the narratives of other highly energetic Deva-like Manus.”
8	2-3	Sûta said :-- “O Risis! The very wise Nârada, well versed in the knowledge of S’rî Devî, hearing the glorious character of the first Svâyambhuva Manu, became desirous to hear of the other Manus and asked the Eternal Nârâyana :-- O Deva! Now favour me by reciting the origin and narratives of the other Manus.”
8	4	Nârâyana said :-- O Devarsi! I have already spoken to you everything regarding the first Manu. He had worshipped the Devî Bhagavatî, and thus he got his foeless kingdom. You know that then.
8	5-24	Manu had two sons of great prowess, Priyavrata and Uttânapâda. They governed their kingdoms with fame. The son of this Priyavrata,of indomitable valour, is known by the wise as the second Svârochisa Manu. Dear to all the beings, this Svârochisa Manu built his hermitage near the banks of the Kâlindî (the Jumnâ) and there making an earthen image of the Devî Bhagavatî, worshipped the Devî with devotion, subsisting on dry leaves and thus practised severe austerities. Thus he passed his twelve years in that forest; when, at last, the Devî Bhagavatî, resplendent with brilliance of the thousand Suns, became visible to him. She got very much pleased with his devotional stotrams. The Devî, the Saviour of the Devas, and Who was of good vows, granted to him the sovereignty for one Manvantara. Thus the Devî became famous by the name Târinî Jagaddhâtrî. O Nârada! Thus, by worshipping the Devî Târinî, Svârochisa obtained safely the foeless kingdom. Then establishing the Dharma duly, he enjoyed his kingdom with his sons; and, when the period of his manvantara expired, he went to the Heavens. Priyavrata's son named Uttama became the third Manu. On the banks of the Ganges, be practised tapasyâ and repeated the Vîja Mantra of Vâgbhava, in a solitary place for three years and became blessed with the favour of the Devî. With rapt devotion he sang hymns wholly to the Devî with his mind full; and, by Her boon, got the foeless kingdom and a continual succession of sons and grandsons. Thus, enjoying the pleasures of his kingdom and the gifts of the Yuga Dharma, got in the end, the excellent place, obtained by the best Râjarsis. A very happy result. Priyavarata's another son named Tâmasa became the fourth Manu. He practised austerities and repeated the Kâma Vîja Mantra, the Spiritual Password of Kâma on the southern banks of the Narmadâ river and worshipped the World Mother. In the spring and in the autumn he observed the nine nights' vow ( the Navarâtri) and worshipped the excellent lotus eyed Deves'î and pleased Her. On obtaining the Devî's favour, he chanted excellent hymns to Her and made pranâms. There he enjoyed the extensive kingdom without any fear from any foe or from any other source of danger. He generated, in the womb of his wife, ten sons, all very powerful and mighty, and then he departed, to the excellent region in the Heavens.The young brother of Tâmasa, Raivata became the Fifth Manu and practised austerities on the banks of the Kâlindî (the Jumnâ) and repeated the Kâma Vîja Mantra, the spiritual password of Kâma, the resort of the Sâdhakas, capable to give the highest power of speech and to yield all the Siddhis, and thus he worshipped the Devî. He obtained excellent heavens, indomitable power, unhampered and capable of all success and a continual line of sons, grandsons, etc. Then the unrivalled excellent hero Raivata Manu established the several divisions of Dharma and enjoying all the worldly pleasures, went to the excellent region of Indra.Here ends the Eighth Chapter of the Tenth Book on the origin of Manu in the Mahâpuranam S'ri Mad Devî Bhâgavatam of Eighteen Thousand verses by Maharsi Veda Vyâsa.
9	1-7	Nârâyana said :-- O Nârada! I will now narrate the supreme glories of the Devî and the anecdote how Manu, the son of Anga, obtained excellent kingdom by worshipping the Devî Bhagavatî. The son of the king Anga, named Châksusa became the Sixth Manu. One day he went to the Brahmârsi Pulaha Risi and taking his refuge said :-- O Brahmârsi! Thou removest all the sorrows and afflictions of those that come under Thy refuge; I now take Thy refuge. Kindly advise Thy servant how he may become the Lord of an endless amount of wealth. O Muni! What can I do so that I may get the sole undisputed sway over the world? How my arms can wield the weapons and manipulate them so that they may not be baffled? How my race and line be constant and my youth remain ever the same, undecayed? And how can I, in the end, attain Mukti? O Muni! Kindly dost Thou give instructions to me on these points and oblige. Hearing thus, the Muni wanted him to worship the Devî and said :-- “O King! Listen attentively to what I say you today. Worship today the all auspicious S'akti; by Her grace, all your desires will be fulfilled.”
9	8	Châksusa said :-- “O Muni! What is that very holy worship of S’rî Bhagavatî? How to do it? Kindly describe all these in detail.”
