Title_of_Law_no	Text_no	Hymn
1	63	Garments, silk, skins, bone, blankets made of the hair of the mountain-goat, animals whose foot is not cloven, earthen pots, buttermilk, hair, dregs, vegetables, fresh ginger, and herbs.
1	64	A Brahman may sell dry wood and (dry) grass, excepting fragrant substances, Erakâ grass, ratan, mulberry, roots, and Kusa grass.
1	65	(He may sell) twigs of bamboo that have fallen spontaneously, of fruits, the fruits of the jujube tree,and of the Iṅguda plant, ropes, and thread of cotton, if its shape has not been altered (by working it up).
1	66	If it is for a medicament used to cure a disease, or for an offering, or if necessity can be shown, he may sell sesamum for a corresponding quantity of grain.
1	67	A Brahman who swerves from the path of duty by selling prohibited articles, must be reminded of his duty by the king by inflicting a severe chastisement on him.
1	68	Those invested with legal authority must pay strict attention to the (various) modes of proof. That even which is provable fails to be proved, if the (prescribed) modes of proof are not attended to.
1	69	Documents, witnesses, and possession are the traditional three means of proof, by which a creditor endeavouring to recover his loan may obtain what he has lent.
1	70	If the Creator had not created writing as anexcellent eye (as it were), the affairs of this whole world would not take their proper course.
1	71	Writing is an excellent eye (as it were), because it solves all doubts which may have arisen in regard to place, time, profit, matter, quantity, or stipulated period.
1	72	He who, having received a chattel in a certain place, tries to deny the fact, is liable to be confronted with witnesses and convicted, difficult as it may be to prove his guilt.
1	73	A document is subject to many blemishes; witnesses are neither exempt from old age nor from death; possession, which has been continually held, is the only sure mode of proof, as it is not connected with any material object (liable to decay).
1	74	Thus have these three modes of proof been declared, by means of which a creditor may recover an outstanding debt, which has not been paid to him and called into doubt (by the debtor).
1	75	A document is valid at all times; witnesses (may give valid evidence) as long as they live; possession acquires legal validity through the lapse of a certain period. This is a legal maxim.
1	76	Of the three modes of proof here enumerated in order, each previous one is superior to the one named after it; but possession is the most decisive of all.
1	77	Though a document be in existence and witnesses living, that is no (true) property of which possession is not actually held. This is specially true as regards immovables.
1	78	If a man is foolish enough to allow his goods to be enjoyed by strangers in his own eyesight, they shall belong to the possessor, even in the presence and during the lifetime of the rightful owner.
1	79	Whatever the owner looking on quietly suffers to be enjoyed by strangers for ten years,though he is present, that cannot be recovered by him.
1	80	If he is neither an idiot nor a minor, and the enjoyment takes place before his eyes, his right to it is extinct by law, and the possessor is allowed to keep it.
1	81	A pledge; a boundary; the property of a child; an open deposit, an Upanidhi deposit; women; and what belongs to the king or to a learned Brahman, none (of these descriptions of property) is lost (to the owner) by adverse possession.
1	82	Pledges and the rest, excepting the property of a woman and of the king, are however lost to the owner if they have been enjoyed in his presence for twenty years.
1	83	The property of a woman and of a king is never lost (to the owner), should it even have been enjoyed for hundreds of years without a title (by strangers).
1	84	Where there is enjoyment, but no title of any sort, there a title is required in order to produce proprietary right. Possession is not sufficient to create proprietary right in that case.
1	85	A clear title having been produced, possession acquires validity. Possession without a clear title does not make evidence (of ownership).
1	86	He who can only plead possession, without being able to adduce any title, has to be considered as a thief, in consequence of his pleading such illegitimate possession.
1	87	He who enjoys without a title for ever so many hundred years, the ruler of the land should inflict on that sinful man the punishment ordained for a thief.
1	88	If a man holds the property of a stranger without a title, it is not legitimate enjoyment. However, after the death of the occupant, it may be enjoyed legitimately by his descendants.
1	89	In cases falling within the memory of man,possession with a title creates ownership. In cases extending beyond the memory of man, and on failure of documents, the hereditary succession of three ancestors (has the same effect).
1	90	If the occupant is impeached (by the legitimate owner), he cannot escape defeat (without refuting the charge). That possession only can create proprietary right, which has been legitimately inherited from the father.
1	91	When possession has been successively held, even unlawfully, by the three ancestors of the father (of the present possessor), the property cannot be taken away from him, because it has gone through three lives in order.
1	92	What has been deposited with a third person to be delivered ultimately to the owner (Anvâhita), stolen goods, ordinary deposits, what is held by force, loans for use, and what is being enjoyed during the absence of the owner, these are six (things possessed) without a title.
1	93	If a litigant dies before a lawsuit (regarding property enjoyed by him) has been decided, the son is required to prove his title. The enjoyment is not legitimate (otherwise).
1	94	After the death of a creditor, witnesses, though available, cannot give valid evidence, except if a statement made by the creditor himself on his deathbed (has been preserved).
1	95	After the death of the defendant, the deposition of witnesses ceases to make evidence. An attested document retains its validity during his lifetime only.
1	96	Where a pious act is announced by a diseasedman, the testimony of the witnesses retains its validity even after his death. The case is the same with the six (things possessed without a title), viz. an Anvâhita deposit and the rest.
1	97	In all transactions relative to a debt or to any other (among the eighteen titles of law), the last act is the decisive one. In the case of a gift, a pledge, or a purchase, the prior act settles the matter.
1	98	A contract of delivery and receipt may be made with a view to the profit arising from Sthâna. It is called Kusîda (lending money at interest), and money-lenders make a living by it.
1	99	Let a money-lender take, in addition to the principal, the interest fixed by Vasishtha, viz. an eightieth part of a hundred in every month.
1	100	Two, three, four, or five (in the hundred) is the legitimate (rate of interest). Let him take as much in the shape of interest, every month, in the direct order of the (four) castes.
1	101	Or let him take two in the hundred, remembering the practice of the virtuous. By taking two in the hundred, he does not commit the crime of covetousness.
1	102	Interest is declared fourfold in this law-book: periodical interest; stipulated interest; kâyikâ interest; and compound interest.
1	103	That which runs by the month is termedperiodical interest. That interest is termed stipulated interest which has been promised by the debtor himself.
1	104	Interest at the rate of one Pana or quarter of a Pana, paid regularly without diminishing the principal, is denoted kâyikâ interest. Interest upon interest is called compound interest.
1	105	This is the general rule for interest to be paid on loans. There are special rules according to the local usages of the country where the loan has been made.
1	106	In some countries the loan may grow till twice the amount of the principal has been reached. In other countries it may grow till it becomes three, or four, or eight times as large as the principal.
1	107	The interest on gold, grain, and clothes may rise till it amounts to two, three, or four times the principal. On liquids, the interest may become octuple; of women and cattle, their offspring (is considered as the interest).
1	108	No interest must ever be raised on loans made from friendship, unless there be an agreement to the purpose. Without an agreement even, interest accrues on such loans after the lapse of half a year.
1	109	A loan made from friendship can never yield any interest, without being reclaimed by the creditor. If the debtor refuses to restore it on demand, it shall yield interest at the rate of five per cent.
1	110	Thus has the rule been declared for the interest to be paid on loans offered through friendship. If, however, interest be demanded on grain, at the rate which has been mentioned, it is termed usury.
1	111	A Vaisya is at liberty to get over a period of distress by practising usury. A Brahman must never resort to usury, not even in the extremity of distress.
1	112	If a debt is due to a (dead) Brahman creditor, whose issue is living, (it must be paid to them.) If there be no issue, the king must cause the debt to be paid to his kinsmen; on failure of kinsmen (it must be paid) to his relatives.
1	113	Where there are neither kinsmen, nor relatives, nor distant connexions, it shall be paid to (other) Brahmans. On failure of such, he must cast it into the waters.
1	114	When a creditor receives payment, he must give a receipt for it to the debtor. If he does not give a receipt, although he has been asked for it, he shall lose the remainder of the sum due to him.
1	115	If, though pressed by the debtor, he does not give an acquittance for the sum paid to him by the debtor, that sum shall yield interest to the debtor (henceforth), as (it had done) to the creditor (previously).
1	116	On payment of the debt, he must restore the bond. On failure of a bond, he must give a written receipt. Thus the creditor and debtor will be quits.
1	117	The guarantee to be offered to a creditor may be twofold: a surety and a pledge. A document and (the deposition of) witnesses are the two modes of proof on which evidence is founded.
1	118	For appearance, for payment, and for honesty, these are the three different purposes for which the three sorts of sureties have been mentioned by the sages.
1	119	If the debtors fail to discharge the debt, orif they prove dishonest, the surety (for payment and for honesty) must pay the debt; and (so must the surety for appearance), if he fails to produce the debtor.
1	120	When there is a plurality of sureties, they shall pay each (proportionately), according to agreement. If they were bound severally, the payment shall be made (by any of them), as the creditor pleases.
1	121	Twice as much as the surety, harassed by the creditor, has given (to the creditor), shall the debtor pay back to the surety.
1	122	By the mode consonant with religion, by legalproceedings, by fraud, by the customary mode, and, fifthly, by force, a creditor may recover what he has lent.
1	123	A creditor who tries to recover his loan from the debtor must not be checked by the king, both for secular and religious reasons.
1	124	That to which a title is given (adhikriyate) is called a pledge. There are two kinds of it: apledge which must be redeemed within a certain time, and a pledge which must be retained till the debt has been discharged.
1	125	A pledge is again twofold: one to be kept only, and a pledge for enjoyment. It must be preserved precisely in the same condition (as at the time of its delivery); otherwise the pledgee loses interest.
1	126	The same thing happens when the pledge has been injured owing to the negligence of the pledgee. If it has been lost, the principal is forfeited, provided that the loss was not caused by fate or the king.
1	127	A pledge (for custody) must not be usedforcibly. The pledgee who uses it forfeits the interest due to him. Moreover he must make good the value (of the pledge) to the owner. Otherwise he is (considered as) a thief of the pledge.
1	128	That foolish person who uses a pledge without authorization from the owner, shall lose one half of his interest, as a compensation for such use.
1	129	If a pledge for enjoyment has been given, (the creditor) must not take interest on the loan. Neither must he give or sell a pledge (of any sort) before the (stipulated) period has elapsed.
1	130	When a pledge, though carefully kept, loses its value after a certain time, (the debtor) must either give another pledge, or discharge the debt to the debtor.
1	131	When a debtor has been disabled by a reverse of fortune (from paying the debt), he shall be made to discharge the debt gradually, according to his means, as he happens to gain property.
1	132	If a wealthy debtor from malice refuses topay his debt, the king shall compel him to pay it by forcible means, and shall take five in the hundred for himself.
1	133	If the debtor acknowledges the debt with his own mouth, the king shall take from him ten per cent. (of the debt) as a fine; and twice as much (i.e. twenty per cent.) if he has been convicted (after denial of the debt).
1	134	If the debtor, owing to a calamity, has not means sufficient to discharge the whole debt, (the claim of the creditor) shall be entered in a legal document, specifying the caste (of the creditor and debtor), their names, and the names of their neighbours.
1	135	Documents should be known to be of two sorts: (the first), in the handwriting of the party himself; (the second), in that of another person, (the former being valid) without subscribing witnesses, the latter requiring to be attested. The validity of both depends on local usage.
1	136	That document is said to be valid which is not adverse to the custom of the country, the contents of which answer to the rules regarding pledges and other kinds of security), and which is consistent in import and language.
1	137	That document is invalid which has been executed by a person intoxicated, by one charged (with a crime), by a woman, or by a child, and that which has been caused to be written by forcible means, by intimidation, or by deception.
1	138	A bond ceases to be valid in that case also, if the witnesses, creditor, debtor, and scribe be dead,unless its validity can be established by the existence of a pledge.
1	139	Pledges are declared to be of two kinds, movable and immovable pledges; both are valid when there is (actual) enjoyment, and not otherwise.
1	140	If a document has been produced in due time, if (the demand recorded in it) has been (repeatedly) urged, and (publicly) proclaimed, it remains valid for ever, even after the death of the witnesses.
1	141	A document which is unknown and has never been heard of before does not obtain validity when it is brought forward, even though the witnesses be living.
1	142	When a document has been transferredinto another country, or burnt, or badly written, or stolen, a delay must be granted, in case it should exist still; if it be no longer in existence, the evidence of those who have seen it decides the matter.
1	143	If a doubt should subsist, as to whether a certain document be authentic or fabricated, its authenticity has to be established by examining the handwriting (of the party), the tenour of the document, peculiar marks, circumstantial evidence, and the probabilities of the case.
1	144	If a document is signed by a stranger andmeant for a different purpose, it has to be examined, in case its genuineness should be suspected, by inquiring into the connexion (previously existing between the two parties) and into the (probability of) title, and by resorting to reasonable inference.
1	145	An (obligation which has been stated in) writing can only be annulled by (another) writing, and an attested bond by witnesses. A writing is superior to witnesses; witnesses are not superior to a writing.
1	146	If a document is split, or torn, or stolen, or effaced, or lost, or badly written, another document has to be executed. This is the rule regarding documents.
1	147	In doubtful cases, when two parties are quarrelling with one another, the truth has to begathered from (the deposition of) witnesses, whose knowledge is based on what has been seen, heard, or understood by them.
1	148	He should be considered as a witness who has witnessed a deed with his own ears or eyes; with his ears, if he has heard another man speaking; with his eyes, if he has seen something himself.
1	149	Eleven descriptions of witnesses are distinguished in law by the learned. Five of them are termed appointed, and the other six not appointed.
1	150	A subscribing witness, one who has been reminded, a casual witness, a secret witness, and an indirect witness, these are the five sorts of appointed witnesses.
1	151	The witnesses not appointed by (the party) himself have been declared sixfold: viz. the village, a judge, a king,
1	152	One acquainted with the affairs of the two parties, and one deputed by the claimant. In family quarrels, members of that family shall be witnesses.
1	153	They shall be of honourable family, straightforward, and unexceptionable as to their descent, their actions, and their fortune. The witnesses shall not be less than three in number, unimpeachable, honest, and pure-minded.
1	154	They shall be Brahmans, Vaisyas, or Kshatriyas, or irreproachable Sûdras. Each of these shall be (witness) for persons of his own order, or all of them may be (witnesses) for all (orders).
1	155	Among companies (of artizans, or guilds ofmerchants, other) artizans or merchants shall be witnesses; and members of an association among other members of the same association; persons living outside among those living outside; and women among women.
1	156	And if in a company (of artizans or guild of merchants) or in any other association any one falls out (with his associates), they must not bear witness against him; for they all are his enemies.
1	157	The incompetent witnesses, too, have in this law-book been declared by the learned to be of five sorts: under a text of law, and on account of depravity, of contradiction, of uncalled-for deposition, and of intervening decease.
1	158	Learned Brahmans, devotees, aged persons, and ascetics, are those incapacitated under a text of law; there is no (special) reason given for it.
1	159	Thieves, robbers, dangerous characters,gamblers, assassins, are incompetent on account of their depravity; there is no truth to be found in them.
1	160	If the statements of witnesses, who have all been summoned by the king for the decision of the same cause, do not agree, they are rendered incompetent by contradiction.
1	161	He who, without having been appointed to be a witness, comes of his own accord to make a deposition, is termed a spy in the law-books; he is unworthy to bear testimony.
1	162	Where can (any person) bear testimony if the claimant is no longer in existence, whose claim should have been heard? Such a person is an incompetent witness by reason of intervening decease.
1	163	If two persons quarrel with one another,and if both have witnesses, the witnesses of that party shall be heard which was the first to go to law.
1	164	If the claimant should be cast at the trial, his cause proving as the weaker one of the two, it is fit that the witnesses of the defendant should be heard.
1	165	No one should converse in secret with a witness summoned by his adversary, neither should he try to estrange him from the cause of his opponent by other means. A party resorting to such practices as these is cast.
1	166	If a witness dies or goes abroad after having been appointed, those who have heard his deposition may give evidence; for indirect proof (through a second-hand statement) makes evidence (as well as direct proof).
1	167	Even after a great lapse of time (the deposition of) a subscribing witness retains its validity;if a man can write, he should write (his name) himself; if he cannot (write himself), he should cause it to be written by another man.
1	168	(The deposition of) a witness who has been reminded (of the transaction) remains valid in this world up to the eighth year, that of a casual witness remains valid up to the fifth year.
1	169	(The deposition of) a secret witness remains valid up to the third year; (the deposition of) an indirect witness is declared to remain valid for one year only.
1	170	Or no definite period is fixed for judging a witness; for those acquainted with law have declared that testimony depends upon memory.
1	171	A witness whose understanding, memory, and hearing have never been deranged, may give evidence even after a very considerable lapse of time.
1	172	However, six different kinds of proceedings have been indicated in which witnesses are not required. (Other) indications of the crime committed are substituted for the evidence of witnesses in these cases by the learned.
1	173	It should be known that one carrying a firebrand in his hand is an incendiary; that one taken with a weapon in his hand is a murderer; and that, where a man and the wife of another man seize one another by the hair, the man must be an adulterer.
1	174	One who goes about with a hatchet in hishand and makes his approach may be recognised as a destroyer of bridges (and embankments); one carrying an axe is declared a destroyer of trees.
1	175	One whose looks are suspicious is likely to have committed an assault. In all these cases witnesses may be dispensed with; only in the (last-mentioned) case of assault careful investigation is required.
1	176	Some one might make marks upon his person through hatred, to injure an enemy. In such cases it is necessary to resort to inductive reasoning, (ascertaining) the fact of the matter, and strata gems, in order to get a (reliable) test.
1	177	Those must not be examined as witnesses who are interested in the suit, nor friends, nor associates, nor enemies, nor notorious offenders, nor persons tainted (with a heavy sin).
1	178	Nor a slave, nor an impostor, nor one not admitted to Srâddhas, nor a superannuated man, nor a woman, nor a child, nor an oil-maker, nor oneintoxicated, nor a madman, nor a careless man, nor one distressed, nor a gamester, nor one who sacrifices for a whole village.
1	179	Nor one engaged in a long journey, nor a merchant who travels into transmarine countries, nor a religious ascetic, nor one sick, nor one deformed, nor one man alone, nor a learned Brahman, nor one who neglects religious customs, nor a eunuch, nor an actor.
1	180	Nor an atheist, nor a Vrâtya, nor one who has forsaken his wife or his fire, nor one who makes illicit offerings, nor an associate who eats from the same dish (as oneself), nor an adversary, nor a spy, nor a relation, nor one connected by the same womb.
1	181	Nor one who has formerly proved an evil-doer, nor a public dancer, nor one who lives bypoison, nor a snake-catcher, nor a poisoner, nor an incendiary, nor a ploughman, nor the son of a Sûdra woman, nor one who has committed a minor offence.
1	182	Nor one oppressed by fatigue, nor a ferocious man, nor one who has relinquished worldly appetites, nor one penniless, nor a member of the lowest castes, nor one leading a bad life, nor a student before his course of study is completed, nor an oilman, nor a seller of roots.
1	183	Nor one possessed by a demon, nor an enemy of the king, nor a weather-prophet, nor an astrologer, nor a malicious person, nor one self-sold, nor one who has a limb too little, nor a Bhagavritti.
1	184	Nor one who has bad nails or black teeth, nor one who betrays his friends, nor a rogue, nor a seller of spirituous liquor, nor a juggler, nor anavaricious or cruel man, nor an enemy of a company (of traders) or of an association (of clansmen).
1	185	Nor one who takes animal life, nor a leather manufacturer, nor a cripple, nor an outcast, nor a forger, nor a quack, nor an apostate, nor a robber, nor one of the king's attendants.
1	186	Nor a Brahman who sells human beings, cattle, meat, bones, honey, milk, water, or butter, nor a member of a twice-born caste guilty of usury.
1	187	Nor one who neglects his duties, nor a Kulika, nor a bard, nor one who serves low people, nor one who quarrels with his father, nor one who causes dissension. These are the incompetent witnesses.
1	188	The slaves, impostors, and other incompetent witnesses who have been enumerated above, shall be witnesses nevertheless in- suits of a specially grave character.
1	189	Whenever a heinous crime, or a robbery, or adultery, or one of the two kinds of insult has been committed, he must not inquire (too strictly) into the (character of the) witnesses.
1	190	A child also cannot be (made a witness), nor a woman, nor one man alone, nor a cheat, nor a relative, nor an enemy. These persons might give false evidence.
1	191	A child would speak falsely from ignorance, a woman from want of veracity, an impostor from habitual depravity, a relative from affection, an enemy from desire of revenge.
1	192	By consent of both parties, one man alone even may become a witness in a suit. He must be examined in public as a witness, though (he has been mentioned as) an incompetent witness.
1	193	One who, weighed down by the consciousness of his guilt looks as if he was ill, is constantly shifting his position, and runs after everybody;
1	194	Who walks irresolutely and without reason, and draws repeated sighs; who scratches the ground with his feet, and who shakes his arm and clothes;
1	195	Whose countenance changes colour, whose forehead sweats, whose lips become dry, and who looks above and about him;
1	196	Who makes long speeches which are not to the purpose as if he were in a hurry, and without being asked: such a person may be recognised as a false witness, and the king should punish that sinful man.
1	197	He who conceals his knowledge (at the timeof trial), although he has previously related (what he knows) to others, deserves specially heavy punishment, for he is more criminal than a false witness even.
1	198	(The judge), after having summoned all the witnesses, and bound them down firmly by an oath, shall examine them separately. (They should be men) of tried integrity and conversant with the circumstances of the case.
1	199	Let him cause a priest to swear by Truth, a Kshatriya by his riding animal and weapons, a Vaisya by his cows, grain, or gold, a Sûdra by all sorts of crimes.
1	200	By ancient sacred texts, extolling the excellence of Truth, and denouncing the sinfulness of Falsehood, let him inspire them with deep awe.
1	201	He who gives false testimony as a witness will enter his enemy's house, naked, with his head shorn, tormented with hunger and thirst, and deprived of sight, to beg food with a potsherd.
1	202	Naked, with his head shorn, with a potsherd (for a begging-bowl), standing hungry before the doorof his adversary, shall he constantly meet his enemies who give false testimony.
1	203	A perjured witness shall spend his nights in the same manner as a wife who has been superseded (by another), or as a man who has been worsted in playing at dice, or as one whose body is weighed down by a heavy burden.
1	204	A witness who wavers in giving evidence is sure to be fettered with a thousand bonds from the chain of Varuna.
1	205	After the lapse of a hundred years, the cord is taken off him. When he is free from the cord, the man becomes a woman.
1	206	Thus is a man liberated from this fixed bondage.  Now I will state, in order, how many kinsmen a false witness kills,
1	207	If his evidence concerns, respectively, (small) cattle, cows, horses, human beings, gold, and land. Listen to me, my friend.
1	208	He kills five by false testimony concerning (small) cattle; he kills ten by false testimony concerning kine; he kills a hundred by false testimony concerning horses; (and he kills) a thousand by false evidence concerning a human being.
1	209	He kills the born and the unborn by giving false evidence (in a cause) concerning gold; he kills everything by giving false evidence concerning land; beware, then, of giving false evidence with regard to land.
1	210	Truth is said to be the one unequalled means of purification of the soul. Truth is the ladder by which man ascends to heaven, as a ferry (plies) from one bank of a river to the other.
1	211	If truth and a thousand horse-sacrifices are balanced against one another (it will be found that) truth weighs more heavily than a thousand horse-sacrifices.
1	212	A tank is better than a hundred wells, an offering better than a hundred tanks, a son better than a hundred offerings, and truth better than a hundred sons.
1	213	It is truth which makes the earth bear all beings, truth which makes the sun rise. It is through truth that winds blow, and that the waters flow.
1	214	Truth is the greatest gift, truth is the most efficacious kind of austerity, truth is the highest duty in the world, thus it has been revealed to us.
1	215	The gods are truth simply, the human race is falsehood. He whose mind is persistent in truth, obtains a divine state in this world even.
1	216	Speak truth and discard falsehood. It is through truth that thou shalt attain heaven. Byuttering a falsehood thou wilt precipitate thyself into a most dreadful hellish abode.
1	217	And in the hells the merciless attendants of Yama, endowed with great strength, will cut off thy tongue and strike thee with swords, constantly,
1	218	And attack and pierce thee with spears, while thou art wailing helpless. When thou art standing, they will fell thee to the ground and fling thee into the flames.
