Part	+Book	Chapter	Decade	Text	Hymn
FIRST PART	BOOK I	CHAPTER I	DECADE III Agni	5	Harness, O Agni, O thou God, thy steeds which are most excellent! 
FIRST PART	BOOK I	CHAPTER I	DECADE III Agni	6	Lord of the tribes, whom all must seek, we worshipped Agni set thee down, 
FIRST PART	BOOK I	CHAPTER I	DECADE III Agni	7	Agni is head and height of heaven, the master of the earth is he 
FIRST PART	BOOK I	CHAPTER I	DECADE III Agni	8	O Agni, graciously announce this our good fortune of the Gods, 
FIRST PART	BOOK I	CHAPTER I	DECADE III Agni	10	Agni, the Sage, the Lord of Strength, hath moved around the sacred gifts, 
FIRST PART	BOOK I	CHAPTER I	DECADE III Agni	11	His heralds bear him up aloft, the God who knoweth all that lives, 
FIRST PART	BOOK I	CHAPTER I	DECADE III Agni	13	Kind be the Goddesses to lend us help, and kind that we may drink: 
FIRST PART	BOOK I	CHAPTER I	DECADE III Agni	14	Lord of the brave, whose songs dost thou in thine abundance now inspire, 
FIRST PART	BOOK I	CHAPTER I	DECADE IV Agni	1	Sing to your Agni with each song, at every sacrifice for strength. 
FIRST PART	BOOK I	CHAPTER I	DECADE IV Agni	2	Agni, protect thou us by one, protect us by the second song, 
FIRST PART	BOOK I	CHAPTER I	DECADE IV Agni	3	O Agni, with thy lofty beams, with thy pure brilliancy, O God, 
FIRST PART	BOOK I	CHAPTER I	DECADE IV Agni	4	O Agni who art worshipped well, dear let our princes be to thee, 
FIRST PART	BOOK I	CHAPTER I	DECADE IV Agni	5	Agni, praise-singer! Lord of men, God! burning up the Rakshasas, 
FIRST PART	BOOK I	CHAPTER I	DECADE IV Agni	6	Immortal Jatavedas, thou bright-hued refulgent gift of Dawn, 
FIRST PART	BOOK I	CHAPTER I	DECADE IV Agni	7	Wonderful, with thy favouring help, send us thy bounties, gracious Lord. 
FIRST PART	BOOK I	CHAPTER I	DECADE IV Agni	8	Famed art thou, Agni, far and wide, preserver, righteous, and a Sage. 
FIRST PART	BOOK I	CHAPTER I	DECADE IV Agni	9	O holy Agni, give us wealth famed among men and strengthening life! 
FIRST PART	BOOK I	CHAPTER I	DECADE IV Agni	10	To him, who dealeth out all wealth, the sweet-toned Hotar-priest of men, 
FIRST PART	BOOK I	CHAPTER I	DECADE V Agni	1	With this mine homage I invoke Agni for you, the Son of Strength, 
FIRST PART	BOOK I	CHAPTER I	DECADE V Agni	2	Thou liest in the logs that are thy mothers: mortals kindle thee. 
FIRST PART	BOOK I	CHAPTER I	DECADE V Agni	3	He hath appeared, best prosperer, in whom men lay their holy acts: 
FIRST PART	BOOK I	CHAPTER I	DECADE V Agni	4	Chief Priest is Agni at the laud, as stones and grass at sacrifice. 
FIRST PART	BOOK I	CHAPTER I	DECADE V Agni	5	Pray Agni of the piercing flame, with sacred songs, to be our help; 
FIRST PART	BOOK I	CHAPTER I	DECADE V Agni	6	Hear, Agni who hast ears to hear, with all thy train of escort Gods! 
FIRST PART	BOOK I	CHAPTER I	DECADE V Agni	7	Agni of Divodasa, God, comes forth like Indra in his might. 
FIRST PART	BOOK I	CHAPTER I	DECADE V Agni	8	Whether thou come from earth or from the lofty lucid realm of heaven, 
FIRST PART	BOOK I	CHAPTER I	DECADE V Agni	9	If, loving well the forests, thou wentest to thy maternal floods, 
FIRST PART	BOOK I	CHAPTER I	DECADE V Agni	10	O Agni, Manu stablished thee a light for all the race of men: 
FIRST PART	BOOK I	CHAPTER II	DECADE I Agni	1	The God who giveth wealth accept your full libation poured to, him! 
FIRST PART	BOOK I	CHAPTER II	DECADE I Agni	2	Let Brahmanaspati come forth, let Sunrita the Goddess come, 
FIRST PART	BOOK I	CHAPTER II	DECADE I Agni	3	Stand up erect to lend us aid, stand up like Savitar the God, 
FIRST PART	BOOK I	CHAPTER II	DECADE I Agni	4	The man who bringeth gifts to thee, bright God who fain wouldst lead to wealth, 
FIRST PART	BOOK I	CHAPTER II	DECADE I Agni	5	With hymns and holy eulogies we supplicate your Agni, Lord 
FIRST PART	BOOK I	CHAPTER II	DECADE I Agni	6	This Agni is the Lord of great prosperity and hero, strength, 
FIRST PART	BOOK I	CHAPTER II	DECADE I Agni	7	Thou, Agni, art the homestead's Lord, our Hotar-priest at sacrifice. 
FIRST PART	BOOK I	CHAPTER II	DECADE I Agni	8	We as thy friends have chosen thee, mortals a God, to be our help. 
FIRST PART	BOOK I	CHAPTER II	DECADE II Agni	1	Present oblations, make him splendid: set ye as Hotar in his place the Home's Lord, worshipped 
FIRST PART	BOOK I	CHAPTER II	DECADE II Agni	2	Verily wondrous is the tender youngling's growth who never draweth nigh to drink his mother's milk. 
FIRST PART	BOOK I	CHAPTER II	DECADE II Agni	3	Here is one light for thee, another yonder: enter the third and, be therewith united. 
FIRST PART	BOOK I	CHAPTER II	DECADE II Agni	4	For Jatavedas, worthy of our praise, will we frame with our mind this eulogy as 'twere a car; 
FIRST PART	BOOK I	CHAPTER II	DECADE II Agni	5	Agni Vaisvanara, born in course of Order, the messenger of earth, the head of heaven, 
FIRST PART	BOOK I	CHAPTER II	DECADE II Agni	6	Even as the waters from the mountain ridges, so sprang the; Gods, through lauds, from thee, O Agni. 
FIRST PART	BOOK I	CHAPTER II	DECADE II Agni	7	Win to protect you, Rudra, lord of worship, priest of both worlds, effectual sacrificer, 
FIRST PART	BOOK I	CHAPTER II	DECADE II Agni	8	The King whose face is decked with oil is kindled with homage offered by his faithful servant. 
FIRST PART	BOOK I	CHAPTER II	DECADE II Agni	9	Agni advanceth with his lofty banner: through earth and heaven the Bull hath loudly bellowed 
FIRST PART	BOOK I	CHAPTER II	DECADE II Agni	10	From the two fire-sticks have the men engendered with thoughts, urged by the hand, the glorious Agni, 
FIRST PART	BOOK I	CHAPTER II	DECADE III Agni	1	Agni is wakened by the people's fuel to meet the Dawn who cometh like a milch-cow. 
FIRST PART	BOOK I	CHAPTER II	DECADE III Agni	2	Set forth the gleaming one, the song-inspirer, not foolish with. the foolish, fort-destroyer, 
FIRST PART	BOOK I	CHAPTER II	DECADE III Agni	3	Thou art like heaven: one form is bright, one holy, like Day and Night dissimilar in colour. 
FIRST PART	BOOK I	CHAPTER II	DECADE III Agni	4	As holy food, Agni, to thine invoker give wealth in cattle, lasting, rich in marvels! 
FIRST PART	BOOK I	CHAPTER II	DECADE III Agni	5	Stablished to fill the juice with vital vigour, giver of wealth, guard of his servant's body, 
FIRST PART	BOOK I	CHAPTER II	DECADE III Agni	6	Let the song, honouring the best, with longing honour the Asura's most famous sovran, 
FIRST PART	BOOK I	CHAPTER II	DECADE III Agni	7	In the two kindling-blocks lies Jatavedas like the well-cherished germ in pregnant women,-- 
FIRST PART	BOOK I	CHAPTER II	DECADE III Agni	8	Agni, from days of old thou slayest demons: never shall Rakshasas in fight o'ercome thee. 
FIRST PART	BOOK I	CHAPTER II	DECADE IV Agni	1	Bring us most mighty splendour thou, Agni, resistless on thy way: 
FIRST PART	BOOK I	CHAPTER II	DECADE IV Agni	2	May the brave man, if full of zeal he serve and kindle Agni's flame, 
FIRST PART	BOOK I	CHAPTER II	DECADE IV Agni	3	Thy bright smoke lifts itself aloft, and far-extended shines in heaven, 
FIRST PART	BOOK I	CHAPTER II	DECADE IV Agni	4	Thou, Agni, even as Mitra, hast a princely glory of thine own. 
FIRST PART	BOOK I	CHAPTER II	DECADE IV Agni	5	At dawn let Agni, much-beloved, guest of the house, be glorified, 
FIRST PART	BOOK I	CHAPTER II	DECADE IV Agni	6	Most moving song be Agni's: shine on high, O rich in radiant light! 
FIRST PART	BOOK I	CHAPTER II	DECADE IV Agni	7	Exerting all our strength with thoughts of power we glorify in speech 
FIRST PART	BOOK I	CHAPTER II	DECADE IV Agni	8	His beam hath lofty power of life: sing praise to Agni, to the God 
FIRST PART	BOOK I	CHAPTER II	DECADE IV Agni	9	To noblest Agni, friend of man, chief Vritra-slayer, have we come- 
FIRST PART	BOOK I	CHAPTER II	DECADE IV Agni	10	Born as the loftiest Law commands, comrade of those who grew with him. 
FIRST PART	BOOK I	CHAPTER II	DECADE V Agni	1	We in King Soma place our trust, in Agni, and in Varuna, 
FIRST PART	BOOK I	CHAPTER II	DECADE V Agni	2	Hence have these men gone up on high and mounted to the heights of heaven: 
FIRST PART	BOOK I	CHAPTER II	DECADE V Agni	3	That thou mayst send us ample wealth, O Agni, we will kindler thee: 
FIRST PART	BOOK I	CHAPTER II	DECADE V Agni	4	He runs when one calls after him, This is the prayer of him who prays. 
FIRST PART	BOOK I	CHAPTER II	DECADE V Agni	5	Shoot forth, O Agni, with thy flame: demolish them on every side! 
FIRST PART	BOOK I	CHAPTER II	DECADE V Agni	6	Worship the Vasus, Agni! here, the Rudras and Adityas, all 
FIRST PART	BOOK II	CHAPTER I	DECADE I Agni	1	Agni, thy faithful servant I call upon thee with many a gift, 
FIRST PART	BOOK II	CHAPTER I	DECADE I Agni	2	To Agni, to the Hotar-priest offer your best, your lofty speech, 
FIRST PART	BOOK II	CHAPTER I	DECADE I Agni	3	O Agni, thou who art the lord of wealth in kine, thou Son of Strength, 
FIRST PART	BOOK II	CHAPTER I	DECADE I Agni	4	Most skilled in sacrifice, bring the Gods, O Agni, to the pious, man: 
FIRST PART	BOOK II	CHAPTER I	DECADE I Agni	5	Taught by seven mothers at his birth was he, for glory of the wise. 
FIRST PART	BOOK II	CHAPTER I	DECADE I Agni	6	And in the day our prayer is this: May Aditi come nigh to help, 
FIRST PART	BOOK II	CHAPTER I	DECADE I Agni	7	Worship thou Jatavedas, pray to him who willingly accepts, 
FIRST PART	BOOK II	CHAPTER I	DECADE I Agni	8	No mortal man can e'er prevail by arts of magic over him 
FIRST PART	BOOK II	CHAPTER I	DECADE I Agni	9	Agni, drive thou the wicked foe, the evil-hearted thief away, 
FIRST PART	BOOK II	CHAPTER I	DECADE I Agni	10	O hero Agni, Lord of men, on hearing this new laud of mine 
FIRST PART	BOOK II	CHAPTER I	DECADE II Agni	1	Sing forth to him the holy, most munificent, sublime with his refulgent glow, 
FIRST PART	BOOK II	CHAPTER I	DECADE II Agni	2	Agni, he conquers by thine aid that brings him store of valiant sons and does great deeds, 
FIRST PART	BOOK II	CHAPTER I	DECADE II Agni	3	Sing praise to him the Lord of light! The Gods have made the God to be their messenger, 
FIRST PART	BOOK II	CHAPTER I	DECADE II Agni	4	Anger not him who is our guest! He is the bright God Agni, praised by many a man, 
FIRST PART	BOOK II	CHAPTER I	DECADE II Agni	5	May Agni, worshipped, bring us bliss: may the gift, blessed one! and sacrifice bring bliss. 
FIRST PART	BOOK II	CHAPTER I	DECADE II Agni	6	Thee have we chosen skilfullest in sacrifice, immortal Priest among the Gods, 
FIRST PART	BOOK II	CHAPTER I	DECADE II Agni	7	Bring us that splendour, Agni, which may overcome each greedy fiend in our abode, 
FIRST PART	BOOK II	CHAPTER I	DECADE II Agni	8	Soon as the eager Lord of men is friendly unto Manu's race 
FIRST PART	BOOK II	CHAPTER I	DECADE III Indra	1	Sing this, beside the flowing juice, to him your hero, much-invoked, 
FIRST PART	BOOK II	CHAPTER I	DECADE III Indra	2	O Satakratu Indra, now rejoice with that carouse of thine 
FIRST PART	BOOK II	CHAPTER I	DECADE III Indra	3	Ye cows, protect the fount: the two mighty ones bless the sacrifice. 
FIRST PART	BOOK II	CHAPTER I	DECADE III Indra	4	Sing praises that the horse may come; sing, Srutakaksha, that the cow 
FIRST PART	BOOK II	CHAPTER I	DECADE III Indra	5	We make this Indra very strong to strike, the mighty Vritra dead: 
FIRST PART	BOOK II	CHAPTER I	DECADE III Indra	6	Based upon strength and victory and power, O Indra, is thy birth: 
FIRST PART	BOOK II	CHAPTER I	DECADE III Indra	7	The sacrifice made Indra great when he unrolled the earth, and made 
FIRST PART	BOOK II	CHAPTER I	DECADE III Indra	8	If I, O Indra, were, like thee, the single ruler over wealth 
FIRST PART	BOOK II	CHAPTER I	DECADE III Indra	9	Pressers, blend Soma juice for him, each draught most excellent, for him 
FIRST PART	BOOK II	CHAPTER I	DECADE III Indra	10	Here is the Soma juice expressed. O Vasu, drink till thou art full: 
FIRST PART	BOOK II	CHAPTER I	DECADE IV Indra	1	Surya, thou mountest up to meet the hero famous for his wealth, 
FIRST PART	BOOK II	CHAPTER I	DECADE IV Indra	2	Whatever, Vritra-slayer! thou, Surya hast risen upon to-day, 
FIRST PART	BOOK II	CHAPTER I	DECADE IV Indra	3	That Indra is our youthful friend, who with his trusty guidanceled 
FIRST PART	BOOK II	CHAPTER I	DECADE IV Indra	4	O Indra, let not ill designs surround us in the sunbeams' light 
FIRST PART	BOOK II	CHAPTER I	DECADE IV Indra	5	Indra, bring wealth that gives delight, the victor's ever-conquering wealth, 
FIRST PART	BOOK II	CHAPTER I	DECADE IV Indra	6	In mighty battle we invoke Indra, Indra is lesser fight, 
FIRST PART	BOOK II	CHAPTER I	DECADE IV Indra	7	In battle of a thousand arms Indra drank Kadru's Soma juice 
FIRST PART	BOOK II	CHAPTER I	DECADE IV Indra	8	Faithful to thee, we sing aloud, heroic Indra, songs to thee 
FIRST PART	BOOK II	CHAPTER I	DECADE IV Indra	9	Hitherward! they who light the flame and straightway trim the sacred grass, 
FIRST PART	BOOK II	CHAPTER I	DECADE IV Indra	10	Drive all our enemies away, smite down the foes who press around, 
FIRST PART	BOOK II	CHAPTER I	DECADE V Indra and others	1	I Hear, as though 'twere close at hand, the cracking of the whips they hold: 
FIRST PART	BOOK II	CHAPTER I	DECADE V Indra and others	2	Indra, these friends of ours, supplied with Soma, wait and look to thee 
FIRST PART	BOOK II	CHAPTER I	DECADE V Indra and others	3	Before his hot displeasure all the peoples, all the men bow down, 
FIRST PART	BOOK II	CHAPTER I	DECADE V Indra and others	4	We choose unto ourselves that high protection of the mighty Gods, 
FIRST PART	BOOK II	CHAPTER I	DECADE V Indra and others	5	O Brahmanaspati, make thou Kakshivan Ausija a loud 
FIRST PART	BOOK II	CHAPTER I	DECADE V Indra and others	6	Much honoured with libations may the Vritra-slayer watch for us: 
FIRST PART	BOOK II	CHAPTER I	DECADE V Indra and others	7	Send us this day, God Savitar, prosperity with progeny 
FIRST PART	BOOK II	CHAPTER I	DECADE V Indra and others	8	Where is that ever-youthful Steer, strong-necked and never yet bent down? 
FIRST PART	BOOK II	CHAPTER I	DECADE V Indra and others	9	There where the mountains downward slope, there at the meeting of the streams 
FIRST PART	BOOK II	CHAPTER I	DECADE V Indra and others	10	Praise Indra whom our songs must laud, sole sovran of mankind, the chief 
FIRST PART	BOOK II	CHAPTER II	DECADE I Indra and others	1	Indra whose jaws are strong hath drunk of worshipping Sudaksha's draught, 
FIRST PART	BOOK II	CHAPTER II	DECADE I Indra and others	2	O Lord of ample wealth, these songs of praise have called aloud to thee, 
FIRST PART	BOOK II	CHAPTER II	DECADE I Indra and others	3	Then straight they recognized the mystic name of the creative Steer, 
FIRST PART	BOOK II	CHAPTER II	DECADE I Indra and others	4	When Indra, strongest hero, brought the streams, the mighty waters down, 
FIRST PART	BOOK II	CHAPTER II	DECADE I Indra and others	5	The Cow, the streaming mother of the liberal Maruts, pours her milk, 
FIRST PART	BOOK II	CHAPTER II	DECADE I Indra and others	6	Come, Lord of rapturous joys, to our libation with thy bay steeds, come 
FIRST PART	BOOK II	CHAPTER II	DECADE I Indra and others	7	Presented strengthening gifts have sent Indra away at sacrifice, 
FIRST PART	BOOK II	CHAPTER II	DECADE I Indra and others	8	I from my Father have received deep knowledge of eternal Law: 
FIRST PART	BOOK II	CHAPTER II	DECADE I Indra and others	9	With Indra splendid feasts be ours, rich in all strengthening things, wherewith, 
FIRST PART	BOOK II	CHAPTER II	DECADE I Indra and others	10	Soma and Pushan, kind to him who travels to the Gods, provide 
FIRST PART	BOOK II	CHAPTER II	DECADE II Indra	1	Invite ye Indra with a song to drink your draught of Soma steeds, juice, 
FIRST PART	BOOK II	CHAPTER II	DECADE II Indra	2	Sing ye a song, to make him glad, to Indra, Lord of tawny 
FIRST PART	BOOK II	CHAPTER II	DECADE II Indra	3	This, even this, O Indra, we implore: as thy devoted friends 
FIRST PART	BOOK II	CHAPTER II	DECADE II Indra	4	For Indra, lover of carouse, loud be our songs about the juice 
FIRST PART	BOOK II	CHAPTER II	DECADE II Indra	5	Here, Indra, is thy Soma draught, made pure upon the sacred grass: 
FIRST PART	BOOK II	CHAPTER II	DECADE II Indra	6	As a good cow to him who milks, we call the doer of good deeds 
FIRST PART	BOOK II	CHAPTER II	DECADE II Indra	7	Hero, the Soma being shed, I pour the juice for thee to drink 
FIRST PART	BOOK II	CHAPTER II	DECADE II Indra	8	The Soma, Indra, which is shed in saucers and in cups for thee, 
FIRST PART	BOOK II	CHAPTER II	DECADE II Indra	9	In every need, in every fray we call, as friends, to succour us, 
FIRST PART	BOOK II	CHAPTER II	DECADE II Indra	10	O come ye hither, sit ye down: to Indra sing ye forth your song, 
FIRST PART	BOOK II	CHAPTER II	DECADE III Indra	1	So, Lord of affluent gifts, this juice hath been expressed for thee with strength: 
FIRST PART	BOOK II	CHAPTER II	DECADE III Indra	2	Great is our Indra from of old; greatness be his, the Thunderer 
FIRST PART	BOOK II	CHAPTER II	DECADE III Indra	3	Indra, as one with mighty arm, gather for us with thy right hand 
FIRST PART	BOOK II	CHAPTER II	DECADE III Indra	4	Praise, even as he is known, with song Indra the guardian of the kine, 
FIRST PART	BOOK II	CHAPTER II	DECADE III Indra	5	With what help will he come to us, wonderful, ever-waxing friend? 
FIRST PART	BOOK II	CHAPTER II	DECADE III Indra	6	Thou speedest down to succour us this ever-conquering God of yours 
FIRST PART	BOOK II	CHAPTER II	DECADE III Indra	7	To the assembly's wondrous Lord, the lovely friend of Indra, I 
FIRST PART	BOOK II	CHAPTER II	DECADE III Indra	8	May all thy paths beneath the sky whereby thou speddest Vyasva on, 
FIRST PART	BOOK II	CHAPTER II	DECADE III Indra	9	Bring to us all things excellent, O Satakratu, food and strength, 
FIRST PART	BOOK II	CHAPTER II	DECADE III Indra	10	Here is the Soma ready pressed: of this the Maruts, yea, of this, 
FIRST PART	BOOK II	CHAPTER II	DECADE IV Indra and others	1	Tossing about, the active ones came nigh to Indra at his birth, 
FIRST PART	BOOK II	CHAPTER II	DECADE IV Indra and others	2	Never, O Gods, do we offend, nor are we ever obstinate 
FIRST PART	BOOK II	CHAPTER II	DECADE IV Indra and others	3	Evening is come: sing loudly thou Atharvan's nobly singing son: 
FIRST PART	BOOK II	CHAPTER II	DECADE IV Indra and others	4	Now Morning with her earliest light shines forth, dear daughter of the Sky: 
FIRST PART	BOOK II	CHAPTER II	DECADE IV Indra and others	5	Armed with the bones of dead Dadhyach, Indra, with unresisted might 
FIRST PART	BOOK II	CHAPTER II	DECADE IV Indra and others	6	Come, Indra, and delight thee with the juice at all our Soma feasts, 
FIRST PART	BOOK II	CHAPTER II	DECADE IV Indra and others	7	O thou who slayest Vritras, come, O Indra, hither to our side, 
FIRST PART	BOOK II	CHAPTER II	DECADE IV Indra and others	8	That might of his shone brightly forth when Indra brought together, like 
FIRST PART	BOOK II	CHAPTER II	DECADE IV Indra and others	9	This is thine own Thou drawest near, as turns a pigeon to his mate: 
FIRST PART	BOOK II	CHAPTER II	DECADE IV Indra and others	10	May Vata breathe his balm on us, healthful, delightful to our heart: 
FIRST PART	BOOK II	CHAPTER II	DECADE V Indra and others	1	Ne'er is he injured whom the Gods Varuna, Mitra, Aryam. 
FIRST PART	BOOK II	CHAPTER II	DECADE V Indra and others	2	According to our wish for kine, for steeds and chariots, as of old, 
FIRST PART	BOOK II	CHAPTER II	DECADE V Indra and others	3	Indra, these spotted cows yield thee their butter and the milky draught, 
FIRST PART	BOOK II	CHAPTER II	DECADE V Indra and others	4	That thou much-lauded! many-named! mayst, with this thought, that longs for milk, 
FIRST PART	BOOK II	CHAPTER II	DECADE V Indra and others	5	May bright Sarasvati, endowed with plenteous wealth and spoil, enriched 
FIRST PART	BOOK II	CHAPTER II	DECADE V Indra and others	6	Why 'mid the Nahusha tribes shall sate this Indra with his Soma juice? 
FIRST PART	BOOK II	CHAPTER II	DECADE V Indra and others	7	Come, we have pressed the juice for thee; O Indra, drink this Soma here: 
FIRST PART	BOOK II	CHAPTER II	DECADE V Indra and others	8	Great, unassailable must be the heavenly favour of the Three, 
FIRST PART	BOOK II	CHAPTER II	DECADE V Indra and others	9	We, Indra, Lord of ample wealth, our guide, depend on one like thee, 
FIRST PART	BOOK III	CHAPTER I	DECADE I Indra	1	Let Soma juices make thee glad! Display thy bounty, Thunderer: 
FIRST PART	BOOK III	CHAPTER I	DECADE I Indra	2	Drink our libation, Lord of hymns! with streams of meath thou art bedewed: 
FIRST PART	BOOK III	CHAPTER I	DECADE I Indra	3	Indra hath ever thought of you and tended you with care. The God, 
FIRST PART	BOOK III	CHAPTER I	DECADE I Indra	4	Let the drops pass within thee as the rivers flow into the sea 
FIRST PART	BOOK III	CHAPTER I	DECADE I Indra	5	Indra, the singers with high praise, Indra reciters with their lauds, 
FIRST PART	BOOK III	CHAPTER I	DECADE I Indra	6	May Indra give, to aid us wealth handy that rules the skilful ones! 
FIRST PART	BOOK III	CHAPTER I	DECADE I Indra	7	Verily Indra, conquering all, drives even mighty fear away, 
FIRST PART	BOOK III	CHAPTER I	DECADE I Indra	8	These songs with every draught we pour come, lover of the song, to thee 
FIRST PART	BOOK III	CHAPTER I	DECADE I Indra	9	Indra and Wishan will we call for friendship and prosperity, 
FIRST PART	BOOK III	CHAPTER I	DECADE I Indra	10	O Indra, Vritra-slayer, naught is better, mightier than thou 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	1	Him have I magnified, our Lord in common, guardian of your folk, 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	2	Songs have outpoured themselves to thee, Indra, the strong, the guardian Lord, 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	3	Good guidance hath the mortal man whom Arya-man, the Marut host, 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	4	Bring us the wealth for which we long, O Indra, that which is concealed 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	5	Him your best Vritra-slayer, him the famous champion of mankind 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	6	Indra, may we adorn thy fame, fame of one like thee, hero! deck, 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	7	Indra, accept at break of day our Soma mixt with roasted corn, 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	8	With waters' foam thou torest off, Indra, the head of Namuchi, 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	9	Thine are these Soma juices, thine, Indra, those still to be expressed: 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	10	For thee, O Indra, Lord of light, Somas are pressed and grass is strewn: 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	1	We seeking strength, with Soma drops fill full your Indra like a well, 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	2	O Indra, even from that place come unto us with food that gives 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	3	The new-born Vritra-slayer asked his mother, as he seized his shaft, 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	4	Let us call him to aid whose hands stretch far, the highly-lauded, who 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	5	Mitra who knoweth leadeth us, and Varuna who guideth straight, 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	6	When, even as she were present here, red Dawn hath shone from far away, 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	7	Varuna, Mitra, sapient pair, pour fatness on our pastures, pour 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	8	And, at our sacrifices, these, sons, singers, have enlarged their bounds, 
FIRST PART	BOOK III	CHAPTER I	DECADE II Indra	9	Through all this world strode Vishnu: thrice his foot he planted, and the whole 
FIRST PART	BOOK III	CHAPTER I	DECADE IV Indra	1	Pass by the wrathful offerer; speed the man who pours libation, drink 
FIRST PART	BOOK III	CHAPTER I	DECADE IV Indra	2	What is the word addressed to him, God great and excellently wise? 
FIRST PART	BOOK III	CHAPTER I	DECADE IV Indra	4	Lord of each thing that giveth strength, Indra delighteth most in lauds, 
FIRST PART	BOOK III	CHAPTER I	DECADE IV Indra	5	With wealth to our libation come, be not thou angry with us, like 
FIRST PART	BOOK III	CHAPTER I	DECADE IV Indra	6	When, Vasu, wilt thou love the laud? Now let the Channel bring the stream. 
FIRST PART	BOOK III	CHAPTER I	DECADE IV Indra	7	After the Seasons. Indra, drink the Soma from the Brahman's gift: 
FIRST PART	BOOK III	CHAPTER I	DECADE IV Indra	9	O Indra, in each fight and fray give to our bodies manly strength: 
FIRST PART	BOOK III	CHAPTER I	DECADE IV Indra	10	For so thou art the brave man's friend; a hero, too, art thou, and strong: 
FIRST PART	BOOK III	CHAPTER I	DECADE V Indra	1	Like kine unmilked we call aloud, hero, to thee, and sing thy praise, 
FIRST PART	BOOK III	CHAPTER I	DECADE V Indra	2	That we may win us wealth and power we poets, verily, call on thee: 
