Adhyaya_no	Kandika_no	Text_no	Hymn
1	6	4	. He may marry her after having given a bull and a cow (to the girl's father): this (is the wedding called) Ârsha. (A son) brings purification to seven descendants and to seven ancestors on both sides.
1	6	5	. He may marry her, after a mutual agreement has been made (between the lover and the damsel): this (is the wedding called) Gândharva.
1	6	6	. He may marry her after gladdening (her father) by money: this (is the wedding called) Âsura.
1	6	7	. He may carry her off while (her relatives) sleep or pay no attention: this (is the wedding called) Paisâka.
1	6	8	. He may carry her off, killing (her relatives) and cleaving (their) heads, while she weeps and they weep: this (is the wedding called) Râkshasa.
1	7	1	Now various indeed are the customs of the (different) countries and the customs of the (different) villages: those one should observe at the wedding.
1	7	2	What, however, is commonly accepted, that we shall state.
1	7	3	. Having placed to the west of the fire a mill-stone, to the north-east (of the fire) a water-pot, he should sacrifice, while she takes hold of him. Standing, with his face turned to the west, while she is sitting and turns her face to the east, he should with (the formula), 'I seize thy hand for the sake of happiness seize her thumb if he desires that only male children may be born to him;
1	7	4	Her other fingers, (if he is) desirous of female (children);
1	7	5	The hand on the hair-side together with thethumb, (if) desirous of both (male and female children).
1	7	6	. Leading her three times round the fire and the water-pot, so that their right sides are turned towards (the fire, &c.), he murmurs, 'This am I, that art thou; that art thou, this am I; the heaven I, the earth thou; the Sâman I, the Rik thou. Come! Let us here marry. Let us beget offspring. Loving, bright, with genial mind may we live a hundred autumns.'
1	7	7	. Each time after he has lead her (so) round, he makes her tread on the stone with (the words), 'Tread on this stone; like a stone be firm. Overcome the enemies; tread the foes down.'
1	7	8	. Having 'spread under' (i.e. having first poured Âgya over her hands), her brother or a person acting in her brother's place pours fried grain twice over the wife's joined hands.
1	7	9	. Three times for descendants of Gamadagni.
1	7	10	He pours again (Âgya) over (what has been left of) the sacrificial food,
1	7	11	And over what has been cut off.
1	7	12	This is the rule about the portions to be cut off.
1	7	13	. 'To god Aryaman the girls have made sacrifice,to Agni; may he, god Aryaman, loosen her from this, and not from that place, Svâhâ!'To god Varuna the girls have made sacrifice, to Agni; may he, god Varuna, &c.'To god Pûshan the girls have made sacrifice, to Agni; may he, god Pûshan, &c.'—with (these verses recited by the bridegroom) she should sacrifice (the fried grain) without opening her joined hands, as if (she did so) with the (spoon called) Sruk.
1	7	14	. Without that leading round (the fire, she sacrifices grain) with the neb of a basket towards herself silently a fourth time.
1	7	15	Some lead the bride round each time after the fried grain has been poured out: thus the two last oblations do not follow immediately on each other.
1	7	16	He then loosens her two locks of hair, if they are made, (i.e. if) two tufts of wool are bound round her hair on the two sides,
1	7	17	With (the Rik),'I release thee from the band of Varuna' .
1	7	18	The left one with the following (Rik).
1	7	19	. He then causes her to step forward in a northeastern direction seven steps with (the words), 'For sap with one step, for juice with two steps, for thriving of wealth with three steps, for comfort with four steps, for offspring with five steps, for the seasonswith six steps. Be friend with seven steps. So be thou devoted to me. Let us acquire many sons who may reach old age!'
1	7	20	. Joining together their two heads, (the bridegroom? the Âkârya?) sprinkles them (with water) from the water-pot.
1	7	21	And she should dwell that night in the house of an old Brâhmana woman whose husband is alive and whose children are alive.
1	7	22	. When she sees the polar-star, the star Arundhatî, and the seven Rishis (ursa major), let her break the silence (and say), 'May my husband live and I get offspring.'
1	8	1	. If (the newly-married couple) have to make a journey (to their new home), let him cause her to mount the chariot with the (verse), 'May Pûshan lead thee from here holding thy hand' .
1	8	2	. With the hemistich, 'Carrying stones (the river) streams; hold fast each other'  let him cause her to ascend a ship.
1	8	3	With the following (hemistich) let him make her descend (from it).
1	8	4	. (He pronounces the verse), 'The living one they bewail' , if she weeps.
1	8	5	They constantly carry the nuptial fire in front.
1	8	6	. At lovely places, trees, and cross-ways let him murmur (the verse), 'May no waylayers meet us' .
1	8	7	At every dwelling-place (on their way) let him look at the lookers on, with (the verse), 'Good luck brings this woman' .
1	8	8	. With (the verse), 'Here may delight fulfil itself to thee through offspring'  he should make her enter the house.
1	8	9	. Having given its place to the nuptial fire, and having spread to the west of it a bull's hide with the neck to the east, with the hair outside, he makes oblations, while she is sitting on that (hide) and takes hold of him, with the four (verses), 'May Pragâpati create offspring to us' , verse by verse, and with (the verse), 'May all the gods unite' , he partakes of curds and gives (thereof) to her, or he besmears their two hearts with the rest of the Âgya (of which he has sacrificed).
1	8	10	From that time they should eat no saline food, they should be chaste, wear ornaments, sleep on the ground three nights or twelve nights;
1	8	11	Or one year, (according to) some (teachers); thus, they say, a Rishi will be born (as their son).
1	8	12	. When he has fulfilled (this) observance (and has had intercourse with his wife), he should give the bride's shift to (the Brâhmana) who knows the Sûryâ hymn ;
1	8	13	'Food to the Brâhmanas;
1	8	14	Then he should cause them to pronounce auspicious words.
1	9	1	. Beginning from the seizing of (the bride's) hand (i.e. from the wedding), he should worship the domestic (fire) himself, or his wife, or also his son, or his daughter, or a pupil.
1	9	2	(The fire) should be kept constantly.
1	9	3	When it goes out, however, the wife should fast: thus (say) some (teachers).
1	9	4	. The time for setting it in a blaze and for sacrificing in it has been explained by (the rules given with regard to) the Agnihotra,
1	9	5	. And the sacrificial food, except meat.
1	9	6	But if he likes he may (perform the sacrifice) with rice, barley, or sesamum.
1	9	7	He should sacrifice in the evening with (the formula), 'To Agni svâhâ!' in the morning with (the formula), 'To Sûrya svâhâ!' Silently the second (oblations) both times.
1	10	1	Now the oblations of cooked food on the (two) Parvan (i.e. the new and full moon) days.
1	10	2	The fasting (which takes place) thereat has been declared by (the corresponding rules regarding) the Darsapûrnamâsa sacrifices.
1	10	3	. And (so has been declared) the binding together of the fuel and of the Barhis,
1	10	4	. And the deities (to whom those oblations belong), with the exception of the Upâmsuyâga (offerings at which the formulas are repeated with low voice), and of Indra and Mahendra.
1	10	5	Other deities (may be worshipped) according to the wishes (which the sacrificer connects with his offerings).
1	10	6	For each single deity he pours out four handsful (of rice, barley, &c.), placing two purifiers (i.e. Kusa blades, on the vessel), with (the formula), 'Agreeable to such and such (a deity) I pour thee out.'
1	10	7	He then sprinkles them (those four portions of Havis with water) in the same way as he had poured them out, with (the formula), 'Agreeable to such and such (a deity) I sprinkle thee.'
1	10	8	When (the rice or barley grains) have been husked and cleansed from the husks three times, let him cook (the four portions) separately,
1	10	9	Or throwing (them) together.
1	10	10	If he cooks them separately, let him touch the grains, after he has separated them, (and say,) 'This to this god; this to this god.'
1	10	11	But if he (cooks the portions) throwing (them) together, he should (touch and) sacrifice them, after he has put (the single portions) into different vessels.
1	10	12	. The portions of sacrificial food, when theyhave been cooked, he sprinkles , he should sacrifice the two Âgya portions with (the formulas), 'To Agni svâhâ! To Soma svâhâ!'—
1	10	14	. The northern one belonging to Agni, the southern one to Soma.
1	10	15	. It is understood (in the Sruti), The two eyes indeed of the sacrifice are the Âgya portions,
1	10	16	. 'Therefore of a man who is sitting with his face to the west the southern (i.e. right) eye is northern, the northern (i.e. left) eye is southern.'
1	10	17	. In the middle (of the two Âgya portions hesacrifices the other) Havis, or more to the west, finishing (the oblations) in the east or in the north.
1	10	18	To the north-east the oblation to (Agni) Svishtakrit.
1	10	19	. He cuts off (the Avadâna portions) from the Havis from the middle and from the eastern part;
1	10	20	From the middle, the eastern part and the western part (the portions have to be cut off) by those who make five Avadânas;
1	10	21	From the northern side the portion for Svishtakrit.
1	10	22	. Here he omits the second pouring (of Âgya) over (what is left of) the sacrificial food.
1	10	23	. 'What I have done too much in this ceremony, or what I have done here too little, all that may Agni Svishtakrit, he who knows it, make well sacrificed and well offered for me. To Agni Svishtakrit, to him who offers the oblations for general expiation, so that they are well offered, to him who makes us succeed in what we desire! Make us in all that we desire successful! Svâhâ!'
1	10	24	. He pours out the full vessel on the Barhis.
1	10	25	. This is the Avabhritha.
1	10	26	This is the standard form of the Pâkayagñas.
1	10	27	What has been left of the Havis is the fee for the sacrifice.
1	11	1	Now (follows) the ritual of the animal sacrifice.
1	11	2	. Having prepared to the north of the fire the place for the Sâmitra fire, having given drink (to the animal which he is going to sacrifice), having washed the animal, having placed it to the east (of the fire) with its face to the west, having made oblations with the two Rikas, 'Agni as our messenger' , let him touch (the animal) from behind with a fresh branch on which there are leaves, with (the formula), 'Agreeable to such and such (a deity) I touch thee.'
1	11	3	He sprinkles it from before with water in which rice and barley are, with (the formula), 'Agreeable to such and such (a deity) I sprinkle thee.'
1	11	4	Having given (to the animal) to drink of that (water), he should pour out the rest (of it) along its right fore-foot.
1	11	5	Having carried fire round (it), performing that act only (without repeating a corresponding Mantra), they lead it to the north.
1	11	6	. In front of it they carry a fire-brand.
1	11	7	This is the Sâmitra (fire).
1	11	8	. With the two Vapâsrapanî ladles the 'performer' touches the animal.
1	11	9	The sacrificer (touches) the performer.
1	11	10	. To the west of the Sâmitra (fire) he (the Samitri) kills (the animal), the head of which is turned to the east or to the west, the feet to the north; and having placed a grass-blade on his side of the (animal's) navel, (the 'performer') draws out the omentum, cuts off the omentum, seizes it with the two Agnisrapanîs, sprinkles it with water, warms it at the Sâmitra (fire), takes it before that fire, roasts it, being seated to the south, goes round (the two fires), and sacrifices it.
1	11	11	. At the same fire they cook a mess of food.
1	11	12	. Having cut off the eleven Avadânas (or portions which have to be cut off) from the animal, from all its limbs, having boiled them at the Sâmitra (fire),and having warmed the heart on a spit, let him sacrifice first from the mess of cooked food ;
1	11	13	Or together with the Avadâna portions.
1	11	14	. From each of the (eleven) Avadânas he cuts off two portions.
1	11	15	. They perform the rites only (without corresponding Mantras) with the heart's spit .
1	12	1	. At a Kaitya sacrifice he should before the Svishtakrit (offering) offer a Bali to the Kaitya.
1	12	2	. If, however, (the Kaitya) is distant, (he should send his Bali) through a leaf-messenger.
1	12	3	. With the Rik, 'Where thou knowest, O tree' , let him make two lumps (of food), put them on a carrying-pole, hand them over to the messenger, and say to him, 'Carry this Bali to that (Kaitya).'
1	12	4	(He gives him the lump) which is destined for the messenger, with (the words), 'This to thee.'
1	12	5	If there is anything dangerous between (them and the Kaitya), (he gives him) some weapon also.
1	12	6	. If a navigable river is between (them and the Kaitya, he gives him) also something like a raft with (the words), 'Hereby thou shalt cross.'
1	12	7	. At the Dhanvantari sacrifice let him offer first a Bali to the Purohita, between the Brahman and the fire.
1	13	1	. The Upanishad (treats of) the Garbhalambhana, the Pumsavana, and the Anavalobhana (i.e. the ceremonies for securing the conception of a child, the male gender of the child, and for preventing disturbances which could endanger the embryo).
1	13	2	. If he does not study (that Upanishad), heshould in the third month of her pregnancy, under (the Nakshatra) Tishya, give to eat (to the wife), after she has fasted, in curds from a cow which has a calf of the same colour (with herself), two beans and one barley grain for each handful of curds.
1	13	3	To his question, 'What dost thou drink? What dost thou drink?' she should thrice reply, 'Generation of a male child! Generation of a male child!'
1	13	4	Thus three handfuls (of curds).
1	13	5	. He then inserts into her right nostril, in the shadow of a round apartment, (the sap of) an herb which is not faded,
1	13	6	. According to some (teachers) with the Pragâvat and Gîvaputra hymns.
1	13	7	Having sacrificed of a mess of cooked food sacred to Pragâpati, he should touch the place of her heart with the (verse,) 'What is hidden, O thou whose hair is well parted, in thy heart, in Pragâpati, that I know; such is my belief. May I not fall into distress that comes from sons.'
1	14	1	In the fourth month of pregnancy the Sîmantonnayana (or parting of the hair, is performed).
1	14	2	In the fortnight of the increasing moon, when the moon stands in conjunction with a Nakshatra (that has a name) of masculine gender—
1	14	3	. Then he gives its place to the fire, and having spread to the west of it a bull's hide with the neck to the east, with the hair outside, (he makes oblations,) while (his wife) is sitting on that (hide) and takes hold of him, with the two (verses), 'May Dhâtri give to his worshipper,' with the two verses, 'I invoke Râkâ' , and with (the texts), 'Negamesha,' and, 'Pragâpati, no other one than thou' .
1	14	4	He then three times parts her hair upwards (i.e. beginning from the front) with a bunch containing an even number of unripe fruits, and with a porcupine's quill that has three white spots, and with three bunches of Kusa grass, with (the words), 'Bhûr bhuvah, svar, om!'
1	14	5	Or four times.
1	14	6	He gives orders to two lute-players, 'Sing king Soma.'
1	14	7	. (They sing) 'May Soma our king bless the human race. Settled is the wheel of N.N.'—(here they name) the river near which they dwell.
1	14	8	And whatever aged Brâhmana woman, whose husbands and children are alive, tell them, that let them do.
1	14	9	A bull is the fee for the sacrifice.
1	15	1	. When a son has been born, (the father) should, before other people touch him, give him to eat from gold (i.e. from a golden vessel or with a golden spoon) butter and honey with which he has ground gold(-dust), with (the verse), 'I administer to thee the wisdom ('veda') of honey, of ghee, raised by Savitri the bountiful. Long-living, protected by the gods, live a hundred autumns in this world!'
1	15	2	Approaching (his mouth) to (the child's) two ears he murmurs the 'production of intelligence:' 'Intelligence may give to thee god Savitri, intelligence may goddess Sarasvatî, intelligence may give to thee the two divine Asvins, wreathed with lotus.'
1	15	3	. He touches (the child's) two shoulders with (the verse), 'Be a stone, be an axe, be insuperable gold. Thou indeed art the Veda, called son; so live a hundred autumns'—and with (the verses), 'Indra, give the best treasures' , Bestow on us, O bountiful one, O speedy one' .
1	15	4	And let them give him a name beginning witha sonant, with a semivowel in it, with the Visarga at its end, consisting of two syllables,
1	15	5	Or of four syllables;
1	15	6	Of two syllables, if he is desirous of firm position; of four syllables, if he is desirous of holy lustre;
1	15	7	But in every case with an even number (of syllables) for men, an uneven for women.
1	15	8	And let him also find out (for the child) a name to be used at respectful salutations (such as that due to the Âkârya at the ceremony of the initiation); that his mother and his father (alone) should know till his initiation.
1	15	9	When he returns from a journey, he embraces his son's head and murmurs, 'From limb by limb thou art produced; out of the heart thou art born. Thou indeed art the self called son; so live a hundred autumns!'—(thus) he kisses him three times on his head.
1	15	10	The rite only (without the Mantra is performed) for a girl.
1	16	1	. In the sixth month the Annaprâsana (i.e. the first feeding with solid food).
1	16	2	Goat's flesh, if he is desirous of nourishment,
1	16	3	Flesh of partridge, if desirous of holy lustre,
1	16	4	Boiled rice with ghee, if desirous of splendour:
1	16	5	(Such) food, mixed with curds, honey and ghee he should give (to the child) to eat with (the verse), 'Lord of food, give us food painless and strong;bring forward the giver; bestow power on us, on men and animals.'
1	16	6	The rite only (without the Mantra) for a girl.
1	17	1	In the third year the Kaula (i.e. the tonsure of the child's head), or according to the custom of the family.
1	17	2	To the north of the fire he places vessels which are filled respectively, with rice, barley, beans, and sesamum seeds;
1	17	3	To the west (the boy) for whom the ceremony shall be performed, in his mother's lap, bull-dung in a new vessel, and Samî leaves are placed.
1	17	4	. To the south of the mother the father (is seated) holding twenty-one bunches of Kusa grass.
1	17	5	Or the Brahman should hold them.
1	17	6	To the west of (the boy) for whom the ceremony is to be performed, (the father) stations himself and pours cold and warm water together with (the words), 'With warm water, O Vâyu, come hither!'
1	17	7	Taking of that (water), (and) fresh butter, or (some) drops of curds, he three times moistens (the boy's) head, from the left to the right, with (the formula), 'May Aditi cut thy hair; may the waters moisten thee for vigour!'
1	17	8	. Into the right part (of the hair) he puts eachtime three Kusa bunches, with the points towards (the boy) himself, with (the words), 'Herb! protect him!'
1	17	9	(With the words,) 'Axe! do no harm to him!' he presses a copper razor (on the Kusa blades),
1	17	10	And cuts (the hair) with (the verse), 'The razor with which in the beginning Savitri the knowing one has shaved (the beard) of king Soma and of Varuna, with that, ye Brâhmanas, shave now his (hair), that he may be blessed with long life, with old age.'
1	17	11	Each time that he has cut, he gives (the hairs) with their points to the east, together with Samî leaves, to the mother. She puts them down on the bull-dung.
1	17	12	'With what Dhâtri has shaven (the head) of Brihaspati, Agni and Indra, for the sake of long life, with that I shave thy (head) for the sake of long life, of glory, and of welfare'—thus a second time.
1	17	13	. 'By what he may at night further see the sun, and see it long, with that I shave thy (head) for the sake of long life, of glory, and of welfare'—thus a third time.
1	17	14	With all (the indicated) Mantras a fourth time.
1	17	15	Thus three times on the left side (of the head).
1	17	16	. Let him wipe off the edge of the razor with (the words), 'If thou shavest, as a shaver, his hair with the razor, the wounding, the well-shaped, purify his head, but do not take away his life.'
1	17	17	Let him give orders to the barber, 'With lukewarm water doing what has to be done with water, without doing harm to him, arrange (his hair) well.'
1	17	18	. Let him have the arrangement of the hair made according to the custom of his family.
1	17	19	The rite only (without the Mantras) for a girl.
1	18	1	Thereby the Godânakarman (i.e. the ceremony of shaving the beard, is declared).
1	18	2	In the sixteenth year.
1	18	3	Instead of the word 'hair' he should (each time that it occurs in the Mantras) put the word 'beard.'
1	18	4	. Here they moisten the beard.
1	18	5	. (The Mantra is), 'Purify his head and his face, but do not take away his life.'
1	18	6	. He gives orders (to the barber with the words), 'Arrange his hair, his beard, the hair of his body, and his nails, ending in the north.'
1	18	7	. Having bathed and silently stood during the rest of the day, let him break his silence in the presence of his teacher, (saying to him,) 'I give an optional gift (to thee).'
1	18	8	An ox and a cow is the sacrificial fee.
1	18	9	. Let (the teacher) impose (on the youth the observances declared below) for one year.
1	19	1	In the eighth year let him initiate a Brâhmana,
1	19	2	Or in the eighth year after the conception;
1	19	3	In the eleventh a Kshatriya;
1	19	4	In the twelfth a Vaisya.
1	19	5	Until the sixteenth (year) the time has not passed for a Brâhmana;
1	19	6	Until the twenty-second for a Kshatriya;
1	19	7	Until the twenty-fourth for a Vaisya.
1	19	8	After that (time has passed), they become patitasâvitrîka (i.e. they have lost their right of learning the Sâvitrî).
1	19	9	No one should initiate such men, nor teach them, nor perform sacrifices for them, nor have intercourse with them.
1	19	10	. (Let him initiate) the youth who is adorned and whose (hair on the) head is arranged, who wears a (new) garment that has not yet been washed, or an antelope-skin, if he is a Brâhmana, the skin of a spotted deer, if a Kshatriya, a goat's skin, if a Vaisya.
1	19	11	If they put on garments, they should put on dyed (garments): the Brâhmana a reddish yellow one, the Kshatriya a light red one, the Vaisya a yellow one.
1	19	12	Their girdles are: that of a Brâhmana made of Muñga grass, that of a Kshatriya a bow-string, that of a Vaisya woollen.
1	19	13	Their staffs are: that of a Brâhmana of Palâsa wood, that of a Kshatriya of Udumbara wood, that of a Vaisya of Bilva wood.
1	20	1	Or all (sorts of staffs are to be used) by (men of) all (castes).
1	20	2	. While (the student) takes hold of him, the teacher sacrifices and then stations himself to the north of the fire, with his face turned to the east.
1	20	3	To the east (of the fire) with his face to the west the other one.
1	20	4	(The teacher then) fills the two hollows of (his own and the student's) joined hands with water, and with the verse, 'That we choose of Savitri'  he makes with the full (hollow of his own hands the water) flow down on the full (hollow of) his, (i.e. the student's hands.) Having (thus) poured (the water over his hands) he should with his (own) hand seize his (i.e. the student's) hand together with the thumb, with (the formula), 'By the impulse of the god Savitri, with the arms of the two Asvins, with Pûshan's hands I seize thy hand, N.N.!'
1	20	5	With (the words), 'Savitri has seized thy hand, N.N.!' a second time.
1	20	6	With (the words), 'Agni is thy teacher, N.N.!' a third time.
1	20	7	He should cause him to look at the sun while the teacher says, 'God Savitri, this is thy Brahmakârin; protect him; may he not die.'
1	20	8	(And further the teacher says), 'Whose Brahmakârin art thou? The breath's Brahmakârin art thou. Who does initiate thee, and whom (does he initiate)? To whom shall I give thee in charge?'
1	20	9	With the half verse, 'A youth, well attired, dressed came hither'  he should cause him to turn round from the left to the right.
1	20	10	Reaching with his two hands over his (i.e. the student's) shoulders (the teacher) should touch the place of his heart with the following (half verse).
1	20	11	. Having wiped the ground round the fire, the student should put on a piece of wood silently. 'Silence indeed is what belongs to Pragâpati. The student becomes belonging to Pragâpati'—this is understood (in the Sruti).
1	21	1	Some (do this) with a Mantra: 'To Agni I have brought a piece of wood, to the great Gâtavedas. Through that piece of wood increase thou, O Agni; through the Brahman (may) we (increase). Svâhâ!'
1	21	2	Having put the fuel (on the fire) and havingtouched the fire, he three times wipes off his face with (the words), 'With splendour I anoint myself.'
1	21	3	'For with splendour does he anoint himself'—this is understood (in the Sruti).
1	21	4	'On me may Agni bestow insight, on me offspring, on me splendour.'On me may Indra bestow insight, on me offspring, on me strength (indriya).'On me may Sûrya bestow insight, on me offspring, on me radiance.'What thy splendour is, Agni, may I thereby become resplendent.'What thy vigour is, Agni, may I thereby become vigorous.'What thy consuming power is, Agni, may I thereby obtain consuming power'—with (these formulas) he should approach the fire, bend his knee, embrace (the teacher's feet), and say to him, 'Recite, sir! The Sâvitrî, sir, recite!'
1	21	5	Seizing with his (i.e. the student's) garment and with (his own) hands (the student's) hands (the teacher) recites the Sâvitrî, (firstly) Pâda by Pâda, (then) hemistich by hemistich, (and finally) the whole (verse).
1	21	6	He should make him recite (the Sâvitrî) as far as he is able.
1	21	7	On the place of his (i.e. the student's) heart (the teacher) lays his hand with the fingers upwards, with (the formula), 'Into my will I take thy heart; after my mind shall thy mind follow; in my word thou shalt rejoice with all thy will; may Brihaspati join thee to me.'
1	22	1	Having tied the girdle round him and given him the staff, he should impose the (observances of the) Brahmakarya on him—
1	22	2	(With the words), 'A Brahmakârin thou art. Eat water. Do the service. Do not sleep in the day-time. Devoted to the teacher study the Veda.'
1	22	3	Twelve years lasts the Brahmakarya for (each) Veda, or until he has learnt it.
1	22	4	Let him beg (food) in the evening and in the morning.
1	22	5	Let him put fuel on (the fire) in the evening and in the morning.
1	22	6	Let him beg first of a man who will not refuse,
1	22	7	Or of a woman who will not refuse.
1	22	8	(In begging he should use the words), 'Sir, give food!'
1	22	9	. Or, '(Sir, give) Anupravakanîya (food).'
1	22	10	. That (which he has received) he should announce to his teacher.
1	22	11	He should stand the rest of the day.
1	22	12	. After sunset (the student) should cook the Brâhmaudana (or boiled rice with which the Brâhmanas are to be fed) for the Anupravakanîya sacrifice (the sacrifice to be performed after a part of the Veda has been studied), and should announce to the teacher (that it is ready).
1	22	13	The teacher should sacrifice, while the student takes hold of him, with the verse, 'The wonderful lord of the abode' .
1	22	14	A second time with the Sâvitrî—
1	22	15	. And whatever else has been studied afterwards.
1	22	16	A third time to the Rishis.
1	22	17	A fourth time (the oblation) to (Agni) Svishtakrit.
1	22	18	. Having given food to the Brâhmanas he should cause them to pronounce the end of the Veda (study).
1	22	19	From that time (the student) should eat no saline food; he should observe chastity, and should sleep on the ground through three nights, or twelve nights, or one year.
