Pransa_no	PATALA_no	Section_no	Text_no	Hymn
1	1	2	8	On the south side (of the fire he sprinkleswater) from west to east with (the words), 'Aditi! Give thy consent!'—
1	1	2	9	On the west side, from south to north, with (the words), 'Anumati! Give thy consent!' On the north side, from west to east, with (the words), 'Sarasvatî! Give thy consent!'—
1	1	2	10	On all sides, so as to keep his right side turned towards (the fire), with (the Mantra), 'God Savitri! Give thy impulse!' .
1	1	2	11	Having (thus) sprinkled (water) round (the fire), and having anointed the fuel (with Âgya), he puts it on (the fire) with (the Mantra), 'This fuel is thy self, Gâtavedas! Thereby thou shalt be inflamed and shalt grow. Inflame us and make us grow; through offspring, cattle, holy lustre, and through the enjoyment of food make us increase. Svâhâ!'
1	1	2	12	He then sacrifices with the (spoon called) Darvi (the following oblations):
1	1	2	13	Approaching the Darvi (to the fire) by the northerly junction of the pegs (laid round the fire), and fixing his mind on (the formula), 'To Pragâpati, to Manu svâhâ!' (without pronouncing that Mantra), he sacrifices a straight, long, uninterrupted (stream of Âgya), directed towards the south-east.
1	1	2	14	Approaching the Darvi (to the fire) by the southern junction of the pegs (laid round the fire),[paragraph continues] (he sacrifices) a straight (stream of Âgya), directed towards the northeast, with (the Mantra which he pronounces), 'To Indra svâhâ!'
1	1	2	15	Having (thus) poured out the two Âghâra oblations, he sacrifices the two Âgyabhâgas,
1	1	2	16	With (the words), 'To Agni svâhâ!' over the easterly part of the northerly part (of the fire); with (the words), 'To Soma svâhâ!' over the easterly part of the southerly part (of the fire).
1	1	2	17	Between them he sacrifices the other (oblations).
1	1	2	18	(He makes four oblations with the following Mantras): 'Thou whom we have set to work, Gâtavedas! carry forward (our offerings). Agni! Perceive this work (i.e. the sacrifice), as it is performed (by us). Thou art a healer, a creator of medicine. Through thee may we obtain cows, horses, and men. Svâhâ!'Thou who liest down athwart, thinking, "It is I who keep (all things) asunder:" to thee who art propitious (to me), I sacrifice this stream of ghee in the fire. Svâhâ!'To the propitious goddess svâhâ!'To the accomplishing goddess svâhâ!'
1	1	3	1	This is the rite for all Darvi-sacrifices.
1	1	3	2	At the end of the Mantras constantly the word Svâhâ (is pronounced).
1	1	3	3	(Oblations) for which no Mantras are prescribed (are made merely with the words), 'To such and such (a deity) svâhâ!'—according to the deity (to whom the oblation is made).
1	1	3	4	He sacrifices with the Vyâhritis, 'Bhûh! Bhuvah! Suvah!'—with the single (three Vyâhritis) and with (the three) together.
1	1	3	5	(The Mantras for the two chief oblations are), the (verse), 'Life-giving, Agni!' , (and),'Life-giving, O god, choosing long life, thou whose face is full of ghee, whose back is full of ghee, Agni, drinking ghee, the noble ambrosia that comes from the cow, lead this (boy) to old age, as a father (leads) his son. Svâhâ!'
1	1	3	6	(Then follow oblations with the verses),'This, O Varuna' ,'For this I entreat thee' (Taitt. Samh., loc. cit.),'Thou, Agni' ,'Thus thou, Agni' (Taitt. Samh., loc. cit.),'Thou, Agni, art quick. Being quick, appointed (by us) in our mind (as our messenger), thou who art quick, earnest the offering (to the gods). O quick one, bestow medicine on us! Svâhâ!'—(and finally) the (verse),'Pragâpati!' .
1	1	3	7	(With the verse), 'What I have done too much in this sacrifice, or what I have done here deficiently, all that may Agni Svishtakrit, he who knows it, make well sacrificed and well offered for me. To Agni Svishtakrit, the offerer of well-offered (sacrifices), the offerer of everything, to him who makes us succeed in our offerings and in our wishes, svâhâ!'—he offers (the Svishtakrit oblation) over the easterly part of the northerly part (of the fire), separated from the other oblations.
1	1	3	8	Here some add as subordinate oblations, before the Svishtakrit, the Gaya, Abhyâtâna, and Râshtrabhrit (oblations).
1	1	3	9	The Gaya (oblations) he sacrifices with (the thirteen Mantras), 'Thought, svâhâ! Thinking, svâhâ!'—or, 'To thought svâhâ! To thinking svâhâ!' (&c.);
1	1	3	10	The Abhyâtâna (oblations) with (the eighteen Mantras), 'Agni is the lord of beings; may he protect me' (&c.).
1	1	3	11	(The words), 'In this power of holiness, inthis worldly power (&c.)' are added to (each section of) the Abhyâtâna formulas.
1	1	3	12	With (the last of the Abhyâtâna formulas) 'Fathers! Grandfathers!' he sacrifices or performs worship, wearing the sacrificial cord over his right shoulder.
1	1	3	13	The Râshtrabhrit (oblations he sacrifices) with (the twelve Mantras), 'The champion of truth, he whose law is truth.' After having quickly repeated (each) section, he sacrifices the first oblation with (the words), 'To him svâhâ!' the second (oblation) with (the words), 'To them svâhâ!'
1	1	3	14	Having placed a stone near the northerly junction of the pegs (which are laid round the fire), (the teacher)—
1	1	4	1	Makes the boy tread on (that stone) with his right foot, with (the verse), 'Tread on this stone; like a stone be firm. Destroy those who seek to do thee harm; overcome thy enemies.'
1	1	4	2	After (the boy) has taken off his old (garment), (the teacher) makes him put on a (new) garment that has not yet been washed, with (the verses),'The goddesses who spun, who wove, who spread out, and who drew out the skirts on both sides, may those goddesses clothe thee with long life. Blessed with life put on this garment.'Dress him; through (this) garment make him reach a hundred (years) of age; extend his life. Brihaspati has given this garment to king Soma that he may put it on.'Mayst thou live to old age; put on the garment! Be a protector of the human tribes against imprecation. Live a hundred years, full of vigour; clothe thyself in the increase of wealth.'
1	1	4	3	Having (thus) made (the boy) put on (the new garment, the teacher) recites over him (the verse),'Thou hast put on this garment for the sake of welfare; thou hast become a protector of thy friends against imprecation. Live a hundred long years; a noble man, blessed with life, mayst thou distribute wealth.'
1	1	4	4	He then winds the girdle three times from left to right round (the boy, so that it covers) his navel. (He does so only) twice, according to some (teachers). (It is done) with (the verse),'Here she has come to us who drives away sin, purifying our guard and our protection, bringing us strength by (the power of) inhalation and exhalation, the sister of the gods, this blessed girdle.'
1	1	4	5	On the north side of the navel he makes a threefold knot (in the girdle) and draws that to the south side of the navel.
1	1	4	6	He then arranges for him the skin  as an outer garment, with (the Mantras),'The firm, strong eye of Mitra, glorious splendour, powerful and flaming, a chaste, mobile vesture, this skin put on, a valiant (man), N.N.!'May Aditi tuck up thy garment, that thou mayst study the Veda, for the sake of insight and belief and of not forgetting what thou hast learnt, for the sake of holiness and of holy lustre!'
1	1	4	7	The skin of a black antelope (is worn) by a Brâhmana, the skin of a spotted deer by a Râganya, the skin of a he-goat by a Vaisya.
1	1	4	8	He then gives him in charge (to the gods), a Brâhmana with (the verse), 'We give this (boy) in charge, O Indra, to Brahman, for the sake of great learning. May he (Brahman?) lead him to old age, and may he (the boy) long watch over learning.'A Râganya (he gives in charge to the gods) with (the verse), 'We give this boy in charge, O Indra, to Brahman, for the sake of great royalty. May he lead him to old age, and may he long watch over royalty.'A Vaisya (he gives in charge) with (the verse), 'We give this boy in charge, O Indra, to Brahman, for the sake of great wealth. May he lead him to old age, and may he long watch over wealth.'
1	1	4	9	(The teacher) makes him sit down to the west of the fire, facing the north, and makes him eat the remnants of the sacrificial food, with these (Mantras), 'On thee may wisdom, on thee may offspring' ,—altering (the text of the Mantras).
1	1	4	10	Some make (the student) eat 'sprinkled butter.'
1	1	4	11	(The teacher) looks at (the student) while he is eating, with the two verses, 'At every pursuit we invoke strong (Indra)' , (and), 'Him, Agni, lead to long life and splendour' .
1	1	4	12	Some make (the boy) eat (that food with these two verses).
1	1	4	13	After (the boy) has sipped water, (the teacher) causes him to touch (water) and recites over him (the verse), 'A hundred autumns are before us, O gods, before ye have made our bodies decay, before (our)sons have become fathers; do not destroy us before we have reached (our due) age.'End of the First Patala.
1	2	5	1	'To him who comes (to us), we have come. Drive ye away death! May we walk with him safely; may he walk here in bliss; (may he) walk in bliss until (he returns) to his house'—this (verse the teacher repeats) while (the boy) walks round the fire so as to keep his right side turned towards it.
1	2	5	2	(The teacher) then causes him to say, 'I have come hither to be a student. Initiate me! I will be a student, impelled by the god Sâvitrî.'
1	2	5	3	(The teacher then) asks him:
1	2	5	4	'What is thy name?'
1	2	5	5	He says, 'N.N!'—what his name is.
1	2	5	6	(The teacher says), 'Happily, god Savitri, may I attain the goal with this N.N.'—here he pronounces (the student's) two names.
1	2	5	7	With (the verse), 'For bliss may the goddesses afford us their protection; may the waters afford drink to us. With bliss and happiness may they overflow us'—both wipe themselves off.
1	2	5	8	Then (the teacher) touches with his right hand (the boy's) right shoulder, and with his left (hand) his left (shoulder), and draws (the boy's) right arm towards himself with the Vyâhritis, the Sâvitrî verse, and with (the formula), 'By the impulse of the god Savitri, with the arms of the two Asvins, with Pûshan's hands I initiate thee, N.N.!'
1	2	5	9	He then seizes with his right hand (the boy's) right hand together with the thumb, with (the words), 'Agni has seized thy hand; Soma has seized thy hand; Savitri has seized thy hand; Sarasvatî has seized thy hand; Pûshan has seized thy hand; Brihaspati has seized thy hand; Mitra has seized thy hand; Varuna has seized thy hand; Tvashtri has seized thy hand; Dhâtri has seized thy hand; Vishnu has seized thy hand; Pragâpati has seized thy hand.'
1	2	5	10	'May Savitri protect thee. Mitra art thou by rights; Agni is thy teacher.'By the impulse of the god Savitri become Brihaspati's pupil. Eat water. Put on fuel. Do the service. Do not sleep in the day-time'—thus (the teacher) instructs him.
1	2	5	11	Then (the teacher) gradually moves his righthand down over (the boy's) right shoulder and touches the place of his heart with (the formulas), 'Thy heart shall dwell in my heart; my mind thou shalt follow with thy mind; in my word thou shalt rejoice with all thy heart; may Brihaspati join thee to me!'To me alone thou shalt adhere. In me thy thoughts shall dwell. Upon me thy veneration shall be bent. When I speak, thou shalt be silent.'
1	2	5	12	With (the words), 'Thou art the knot of all breath; do not loosen thyself'—(he touches) the place of his navel.
1	2	5	13	After (the teacher) has recited over him (the formula),'Bhûh! Bhuvah! Suvah! By offspring may I become rich in offspring! By valiant sons, rich in valiant sons! By splendour, rich in splendour! By wealth, rich in wealth! By wisdom, rich in wisdom! By pupils, rich in holy lustre!'And (again the formulas),'Bhûh! I place thee in the Rikas, in Agni, on the earth, in voice, in the Brahman, N.N.!'Bhuvah! I place thee in the Yagus, in Vâyu, in the air, in breath, in the Brahman, N.N.!'Suvah! I place thee in the Sâmans, in Sûrya, in heaven, in the eye, in the Brahman, N.N.!'May I be beloved (?) and dear to thee, N.N.![paragraph continues] May I be dear to thee, the fire (?), N.N.! Let us dwell here! Let us dwell in breath and life! Dwell in breath and life, N.N.!'—
1	2	5	14	He then seizes with his right hand (the boy's) right hand together with the thumb, with the five sections, 'Agni is long-lived.'
1	2	5	15	'May (Agni) bestow on thee long life everywhere' —
1	2	6	1	(This verse the teacher) murmurs in (the boy's) right ear;
1	2	6	2	(The verse), 'Life-giving, Agni'  in his left ear.
1	2	6	3	Both times he adds (to the verses quoted in the last Sûtras the formula), 'Stand fast in Agni and on the earth, in Vâyu and in the air, in Sûrya and in heaven. The bliss in which Agni, Vâyu, the sun, the moon, and the waters go their way, in that bliss go thy way, N.N.! Thou hast become the pupil of breath, N.N.!'
1	2	6	4	Approaching his mouth to (the boy's) mouth he murmurs, 'Intelligence may Indra give thee, intelligence the goddess Sarasvatî. Intelligence may the two Asvins, wreathed with lotus, bestow on thee.'
1	2	6	5	He then gives (the boy) in charge (to the gods and demons, with the formulas), 'To Kashaka (?) Igive thee in charge. To Antaka I give thee in charge. To Aghora ("the not frightful one") I give thee in charge. To Disease . . . to Yama . . . to Makha . . . to Vasinî ("the ruling goddess") . . . to the earth together with Vaisvânara . . . to the waters . . . to the herbs . . . to the trees . . . to Heaven and Earth . . . to welfare . . . to holy lustre . . . to the Visve devâs . . . to all beings . . . to all deities I give thee in charge.'
1	2	6	6	He now teaches him the Sâvitrî, if he has (already) been initiated before.
1	2	6	7	If he has not been initiated (before, he teaches him the Sâvitrî) after three days have elapsed.
1	2	6	8	(He does so) immediately, says Pushkarasâdi.
1	2	6	9	Having placed to the west of the fire a bunch of grass with its points directed towards the north, (the teacher) sits down thereon, facing the east, with (the formula), 'A giver of royal power art thou, a teacher's seat. May I not withdraw from thee.'
1	2	6	10	The boy raises his joined hands towards the sun, embraces (the feet of) his teacher, sits down to the south (of the teacher), addresses (him), 'Recite, sir!' and then says, 'Recite the Sâvitrî, sir!'
1	2	6	11	Having recited over (the boy the verse), 'We call thee, the lord of the hosts' , he then recites (the Sâvitrî) to him, firstly Pâda by Pâda, then hemistich by hemistich, and then the whole verse (in the following way),'Bhûs! Tat Savitur varenyam (That adorable splendour)—'Bhuvo! Bhargo devasya dhîmahi (of the divine Savitri may we obtain)—'Suvar! Dhiyo yo nah prakodayât (who should rouse our prayers).—'Bhûr bhuvas! Tat Savitur varenyam bhargo devasya dhîmahi—'Suvar! Dhiyo yo nah prakodayât.—'Bhûr bhuvah suvas! Tat Savitur . . . prakodayât.'
1	2	7	1	He then causes (the student) to put on the fire seven pieces of fresh Palâsa wood, with unbroken tops, of one span's length, which have been anointed with ghee.
1	2	7	2	One (of these pieces of wood he puts on the fire) with (the Mantra), 'To Agni I have brought a piece of wood, to the great Gâtavedas. As thou art inflamed, Agni, through that piece of wood, thus inflame me through wisdom, insight, offspring, cattle, holy lustre, and through the enjoyment of food. Svâhâ!'—
1	2	7	3	(Then he puts on the fire) two (pieces of wood with the same Mantra, using the dual instead of thesingular), 'To Agni (I have brought) two pieces of wood;'
1	2	7	4	(Then) four (pieces of wood, using the plural), 'To Agni (I have brought) pieces of wood.'
1	2	7	5	He then sprinkles (water) round (the fire) as above.
1	2	7	6	'Thou hast given thy consent;' 'Thou hast given thy impulse'—thus he changes the end of each Mantra.
1	2	7	7	He then worships the (following) deities (with the following Mantras),
1	2	7	8	Agni with (the words), 'Agni, lord of the vow, I shall keep the vow;'
1	2	7	9	Vâyu with (the words), 'Vâyu, lord of the vow, (&c.);'
1	2	7	10	Âditya (the sun) with (the words), 'Âditya, lord of the vow, (&c.);'
1	2	7	11	The lord of the vows with (the words), 'Lord of the vows, ruling over the vows (&c.).'
1	2	7	12	He then gives an optional gift to his Guru (i.e. to the teacher).
1	2	7	13	(The teacher) makes him rise with (the verse which the student recites), 'Up! with life' ; he gives him in charge (to the sun) with (the words), 'Sun! This is thy son; I give him in charge to thee;' and he worships the sun with (the Mantra), 'That bright eye created by the gods which rises in the east: may we see it a hundred autumns; may we live a hundred autumns; may werejoice a hundred autumns; may we be glad a hundred autumns; may we prosper a hundred autumns; may we hear a hundred autumns; may we speak a hundred autumns; may we live undecaying a hundred autumns; and may we long see the sun.'
1	2	7	14	'May Agni further give thee life. May Agni further grant thee bliss. May Indra with the Maruts here give (that) to thee; may the sun with the Vasus give (it) to thee'—with (this verse the teacher) gives him a staff, and then hands over to him a bowl (for collecting alms).
1	2	7	15	Then he says to him, 'Go out for alms.'
1	2	7	16	Let him beg of his mother first;
1	2	7	17	Then (let him beg) in other houses where they are kindly disposed towards him.
1	2	7	18	He brings (the food which he has received) to his Guru (i.e. to the teacher), and announces it to him by saying, '(These are) the alms.'
1	2	7	19	(The teacher accepts it) with the words, 'Good alms they are.'
1	2	7	20	'May all gods bless thee whose first garment we accept. May after thee, the prosperous one, the well-born, many brothers and friends be born'—with (this verse the teacher) takes (for himself) the former garment (of the student).
1	2	7	21	When the food (with which the Brâhmanas shall be entertained) is ready, (the student) takes some portion of boiled rice, cakes, and flour, mixes[paragraph continues] (these substances) with clarified butter, and sacrifices with (the formulas), 'To Agni svâhâ! To Soma svâhâ! To Agni, the eater of food, svâhâ! To Agni, the lord of food, svâhâ! To Pragâpati svâhâ! To the Visve devâs svâhâ! To all deities svâhâ! To Agni Svishtakrit svâhâ!'
1	2	7	22	Thus (let him sacrifice) wherever (oblations of food are prescribed) for which the deities (to whom they shall be offered) are not indicated.
1	2	7	23	If the deity is indicated, (let him sacrifice) with (the words), 'To such and such (a deity) svâhâ!' according to which deity it is.
1	2	7	24	Taking (again) some portion of the same kinds of food, he offers it as a Bali on eastward-pointed Darbha grass, with (the words), 'To Vâstupati (i.e. Vâstoshpati) svâhâ!'
1	2	7	25	After he has served those three kinds of food to the Brâhmanas, and has caused them to say, 'An auspicious day! Hail! Good luck!'—
1	2	8	1	He keeps through three days the (following) vow:
1	2	8	2	He eats no pungent or saline food and no vegetables; he sleeps on the ground; he does not drink out of an earthen vessel; he does not give the remnants of his food to a Sûdra; he does not eat honey or meat; he does not sleep in the daytime;in the morning and in the evening he brings (to his teacher) the food which he has received as alms and a pot of water; every day (he fetches) a bundle of firewood; in the morning and in the evening, or daily in the evening he puts fuel on (the fire, in the following way):
1	2	8	3	Before sprinkling (water) round (the fire), he wipes (with his wet hand) from left to right round (the fire) with the verse, 'As you have loosed, O Vasus, the buffalo-cow' , and sprinkles (water) round (the fire) as above.
1	2	8	4	(Then) he puts (four) pieces of wood (on the fire) with the single (Vyâhritis) and with (the three Vyâhritis) together, and (four other pieces) with (the following four verses),'This fuel is thine, Agni; thereby thou shalt grow and gain vigour. And may we grow and gain vigour. Svâhâ!'May Indra give me insight; may Sarasvatî, the goddess, (give) insight; may both Asvins, wreathed with lotus, bestow insight on me. Svâhâ!'The insight that dwells with the Apsaras, the mind that dwells with the Gandharvas, the divine insight and that which is born from men: may that insight, the fragrant one, rejoice in me! Svâhâ!'May insight, the fragrant one, that assumes all shapes, the gold-coloured, mobile one, come to me. Rich in sap, swelling with milk, may she, insight, the lovely-faced one, rejoice in me! Svâhâ!'
1	2	8	5	Having wiped round (the fire) in the same way, he sprinkles (water) round (the fire) as above.
1	2	8	6	He worships the fire with the Mantras, 'What thy splendour is, Agni, may I thereby' , and 'On me may insight, on me offspring' .
1	2	8	7	After the lapse of those three days  he serves in the same way the three kinds of food (stated above) to the Brâhmanas, causes them to say, 'An auspicious day! Hail! Good luck!' and discharges himself of his vow by (repeating) these (Mantras) with (the necessary) alterations, 'Agni, lord of the vow, I have kept the vow' .
1	2	8	8	He keeps the same observances afterwards (also),
1	2	8	9	Dwelling in his teacher's house. He may eat, (however,) pungent and saline food and vegetables.
1	2	8	10	He wears a staff, has his hair tied in one knot, and wears a girdle,
1	2	8	11	Or he may tie the lock on the crown of the head in a knot.
1	2	8	12	He wears (an upper garment) dyed with red Loth, or the skin (of an antelope, &c.).
1	2	8	13	He does not have intercourse with women.
1	2	8	14	(The studentship lasts) forty-eight years, ortwenty-four (years), or twelve (years), or until he has learnt (the Veda).
1	2	8	15	He should not, however, omit keeping the observances.
1	2	8	16	At the beginning and on the completion of the study of a Kânda (of the Black Yagur-veda he sacrifices) with (the verse), 'The lord of the seat, the wonderful one, the friend of Indra, the dear one, I have entreated for the gift of insight. Svâhâ!'In the second place the Rishi of the Kânda (receives an oblation).(Then follow oblations with the verses), 'This, O Varuna;' 'For this I entreat thee;' 'Thou, Agni;' 'Thus thou, Agni;' 'Thou, Agni, art quick;' 'Pragâpati!' and, 'What I have done too much in this sacrifice.' Here some add as subordinate oblations the Gaya, Abhyâtâna, and Râshtrabhrit (oblations) as above.End of the Second Patala.
1	3	9	1	After he has studied the Veda, the bath (which signifies the end of his studentship, is taken by him).
1	3	9	2	We shall explain that (bath).
1	3	9	3	During the northern course of the sun, in the time of the increasing moon, under (the Nakshatra) Rohinî, (or) Mrigasiras, (or) Tishya, (or) Uttarâ[paragraph continues] Phalgunî, (or) Hasta, (or) Kitrâ, or the two Visâkhâs: under these (Nakshatras) he may take the bath.
1	3	9	4	He goes to a place near which water is, puts wood on the fire, performs the rites down to the oblations made with the Vyâhritis, and puts a piece of Palâsa wood on (the fire) with (the verse), 'Let us prepare this song like a chariot, for Gâtavedas who deserves it, with our prayer. For his foresight in this assembly is a bliss to us. Agni! Dwelling in thy friendship may we not suffer harm. Svâhâ!'
1	3	9	5	Then he sacrifices with the Vyâhritis as above,
1	3	9	6	(And another oblation with the verse), 'The threefold age of Gamadagni, Kasyapa's threefold age, the threefold age that belongs to the gods: may that threefold age be mine. Svâhâ!'
1	3	9	7	(Then follow oblations with the verses), 'This, O Varuna,' &c. .
1	3	9	8	After he has served food to the Brâhmanas, and has caused them to say, 'An auspicious day! Hail! Good luck!' he discharges himself of his vow by (repeating) these (Mantras), 'Agni, lord of the vow, I have kept the vow.'
1	3	9	9	Having (thus) discharged himself of his vow, he worships the sun with the two (verses), 'Upwardsthat (Gâtavedas)' , and, 'The bright' (ibid.).
1	3	9	10	With (the words), '(Loosen) from us thy highest band, Varuna,' he takes off the upper garment which he has worn during his studentship, and puts on another (garment). With (the words), '(Loosen) the lowest (fetter),' (he takes off) the under garment; with (the words), '(Take) away the middle (fetter),' the girdle. With (the words), 'And may we, O Âditya, under thy law (&c.),' (he deposes) his staff. The girdle, the staff, and the black antelope's skin he throws into water, sits down to the west of the fire, facing the east, and touches the razor (with which he is going to be shaven), with (the formula), 'Razor is thy name; the axe is thy father. Adoration to thee! Do no harm to me!'
1	3	9	11	Having handed over (that razor) to the barber, he touches the water with which his hair is to be moistened, with (the formula), 'Be blissful, (O waters), when we touch you.' [(The barber) then pours together warm and cold water. Having poured warm (water) into cold (water)—]
1	3	9	12	(The barber) moistens the hair near the right ear with (the words), 'May the waters moisten thee for life, for old age and splendour' .
1	3	9	13	With (the words), 'Herb! protect him' (Taitt. Samh., loc. cit.), he puts an herb with the point upwards into (the hair).
1	3	9	14	With (the words), 'Axe! do no harm to him!' (Taitt. Samh., loc. cit.), he touches (that herb) with the razor.
1	3	9	15	With (the words), 'Heard by the gods, I shave that (hair)' (Taitt. Samh., loc. cit.), he shaves him.
1	3	9	16	With (the formula), 'If thou shavest, O shaver, my hair and my beard with the razor, the wounding, the well-shaped, make our face resplendent, but do not take away our life'—(the student who is going to take the bath), looks at the barber.
1	3	9	17	He has the beard shaven first, then the hair in his arm-pits, then the hair (on his head), then the hair of his body, then (he has) his nails (cut).
1	3	9	18	A person who is kindly disposed (towards the student), gathers the hair, the beard, the hair of the body, and the nails (that have been cut off), in a lump of bull's dung, and buries (that lump of dung) in a cow-stable, or near an Udumbara tree, or in a clump of Darbha grass, with (the words), 'Thus Ihide the sin of N.N., who belongs to the Gotra N.N.'
1	3	9	19	Having rubbed himself with powder such as is used in bathing, he cleanses his teeth with a stick of Udumbara wood—
1	3	10	1	With (the formula), 'Stand in your places for the sake of the enjoyment of food. Stand in your places for the sake of long life. Stand in your places for the sake of holy lustre. May I be blessed with long life, an enjoyer of food, adorned with holy lustre.'
1	3	10	2	Then (the teacher) makes him wash himself with lukewarm water, with the three verses, 'O waters, ye are wholesome' , with the four verses, 'The gold-coloured, clean, purifying (waters)' , and with the Anuvâka, 'The purifier, the heavenly one' .
1	3	10	3	Or (instead of performing these rites in the neighbourhood of water) they make an enclosure in a cow-stable and cover it (from all sides); that (the student) enters before sunrise, and in that (enclosure) the whole (ceremony) is performed. 'On that day the sun does not shine upon him,' some say. 'For he who shines (i.e. the sun), shines by the splendour of those who have taken the bath. Therefore the face of a Snâtaka is, as it were, resplendent (?).'
1	3	10	4	(His friends or relations) bring him all sorts ofperfumes, or ground sandal wood; he besprinkles that (with water), and worships the gods by raising his joined hands towards the east, with (the formulas), 'Adoration to Graha (the taker) and to Abhigraha (the seizer)! Adoration to Sâka and Gañgabha! Adoration to those deities who are seizers!' (Then) he anoints himself with (that salve of sandal wood) with (the verse), 'The scent that dwells with the Apsaras, and the splendour that dwells with the Gandharvas, divine and human scent: may that here enter upon me!'
1	3	10	5	They bring him a pair of (new) garments that have not yet been washed. He besprinkles them (with water) and puts on the under garment with (the formula), 'Thou art Soma's body; protect my body! Thou who art my own body, enter upon me; thou who art a blissful body, enter upon me.' Then he touches water, (puts on) the upper garment with the same (Mantra), and sits down to the west of the fire, facing the east.
